claim_id,policy_region,claim_date,claim_type,amount
249,S,2024-04-17,home,962
250,W,2024-06-07,travel,816
251,N,2024-01-30,health,578
252,E,2024-08-10,health,652
254,S,2024-10-30,travel,493
256,W,2024-03-18,home,1007
257,W,2024-07-20,travel,722
258,E,2024-06-14,home,709
259,E,2024-01-25,travel,472
260,W,2024-01-16,travel,594
261,S,2024-02-14,health,$424
262,E,2024-01-24,travel,643
263,E,2024-03-02,travel,1008
264,N,2024-07-02,health,404
265,N,2024-08-17,health,438
267,W,2024-09-06,health,772
268,S,2024-02-24,travel,974
269,W,2024-08-07,travel,730
270,N,2024-03-30,travel,700
271,N,2024-06-06,auto,525
272,N,2024-10-31,home,684
273,W,2024-07-06,home,796
274,E,2024-06-10,health,688
275,W,2024-03-04,home,764
276,S,2024-06-18,health,USD 611
277,E,2024-01-20,health,741
278,W,2024-03-24,health,624
280,E,2024-03-28,auto,597
281,E,2024-11-08,health,505
282,E,2024-11-12,travel,808
283,E,2024-08-07,auto,792
284,N,2024-02-18,health,800
285,W,2024-02-21,auto,696
286,S,2024-07-29,auto,680
287,W,2024-06-08,health,853
288,W,2024-05-30,travel,USD 983
289,W,2024-09-24,health,537
290,W,2024-01-31,home,715
291,E,2024-11-24,travel,650
293,N,2024-01-25,travel,912
294,S,2024-04-25,home,606
295,W,2024-03-09,travel,$943
296,W,2024-04-27,auto,686
298,E,2024-02-14,travel,654
299,N,2024-08-13,travel,789
300,E,2024-03-22,home,779
301,N,2024-08-24,health,459
302,S,2024-11-09,travel,$473
303,E,2024-05-01,health,549
304,N,2024-06-10,home,744
305,N,2024-11-23,health,639
306,W,2024-07-09,travel,615
307,S,2024-10-05,health,338
309,N,2024-06-02,auto,552
310,W,2024-05-12,auto,709
311,W,2024-04-12,home,746
312,S,2024-04-15,health,766
313,W,2024-06-21,auto,746
314,S,2024-04-07,travel,736
315,W,2024-02-20,travel,704
316,E,2024-02-26,health,617
317,E,2024-11-18,health,686
318,N,2024-04-03,travel,537
319,S,2024-01-09,auto,877
320,W,2024-01-06,home,641
321,N,2024-03-02,auto,880
322,E,2024-05-06,travel,619
323,N,2024-08-30,auto,588
324,E,2024-07-07,travel,858
325,E,2024-10-28,home,634
326,W,2024-06-18,health,499
327,E,2024-06-08,auto,624
328,S,2024-05-27,travel,646
329,W,2024-04-07,auto,743
330,E,2024-06-06,home,599
331,N,2024-10-10,travel,USD 903
332,N,2024-02-17,travel,$859
333,N,2024-10-17,health,811
334,E,2024-11-18,home,675
335,E,2024-10-06,auto,675
336,W,2024-01-19,home,563
339,N,2024-09-26,home,710
340,N,2024-06-02,auto,545
341,E,2024-08-28,home,542
342,E,2024-09-22,health,711
343,W,2024-06-23,health,843
344,E,2024-06-27,auto,1021
345,E,2024-01-07,travel,USD 473
346,W,2024-11-20,health,1145
347,W,2024-02-17,auto,590
348,E,2024-04-26,health,641
349,E,2024-07-03,travel,1170
350,E,2024-05-05,home,465
351,E,2024-03-07,home,618
352,W,2024-10-07,health,560
353,E,2024-10-03,home,$559
354,N,2024-02-20,health,645
356,E,2024-10-17,health,554
357,S,2024-08-29,auto,621
358,S,2024-07-15,travel,667
359,S,2024-07-26,auto,718
360,N,2024-08-11,home,608
361,W,2024-06-13,auto,545
362,W,2024-03-10,health,773
363,S,2024-03-20,travel,USD 586
364,E,2024-07-11,health,757
365,W,2024-04-20,travel,589
366,N,2024-09-10,home,$750
367,N,2024-11-16,home,693
368,E,2024-01-20,travel,870
369,E,2024-11-06,home,449
370,W,2024-07-30,home,732
371,W,2024-03-06,home,630
372,S,2024-02-14,travel,662
373,W,2024-05-25,home,700
374,E,2024-02-29,home,623
375,W,2024-07-28,auto,690
376,N,2024-11-22,travel,777
377,S,2024-07-20,travel,570
378,W,2024-07-19,home,899
379,E,2024-10-30,auto,669
380,W,2024-02-04,home,487
381,W,2024-01-05,home,832
382,S,2024-04-05,travel,$837
383,N,2024-08-24,travel,656
385,S,2024-03-10,travel,730
386,S,2024-02-15,travel,867
387,W,2024-10-02,home,771
388,N,2024-01-16,travel,846
389,S,2024-05-03,auto,705
390,N,2024-09-09,home,761
391,W,2024-05-11,travel,624
392,E,2024-10-07,home,480
393,W,2024-06-30,travel,447
394,N,2024-07-18,travel,693
395,S,2024-10-15,travel,718
396,S,2024-07-17,auto,703
397,S,2024-01-11,travel,536
398,E,2024-11-03,auto,564
399,E,2024-03-18,health,564
400,S,2024-09-02,home,590
401,E,2024-04-08,health,499
402,W,2024-07-25,travel,856
403,W,2024-08-10,travel,659
404,N,2024-02-14,health,758
405,N,2024-05-18,home,$818
406,W,2024-07-15,home,568
407,N,2024-08-06,health,672
408,W,2024-02-04,auto,803
409,E,2024-09-23,home,835
410,E,2024-03-11,travel,735
411,W,2024-10-14,home,432
412,S,2024-03-13,travel,511
413,E,2024-09-10,auto,502
414,S,2024-06-11,health,982
415,W,2024-07-31,home,698
416,W,2024-09-14,home,650
417,S,2024-02-28,health,602
418,W,2024-06-20,health,1150
419,N,2024-10-24,home,495
420,N,2024-02-22,home,1190
421,S,2024-06-14,travel,476
422,N,2024-05-31,health,USD 726
423,S,2024-02-17,auto,479
424,E,2024-09-26,health,738
425,W,2024-09-13,travel,656
426,E,2024-07-03,health,543
427,W,2024-05-27,home,636
428,S,2024-04-03,travel,644
429,E,2024-07-22,health,604
430,S,2024-02-16,travel,513
431,N,2024-06-02,auto,564
432,E,2024-02-26,auto,480
433,W,2024-03-11,auto,512
434,N,2024-07-19,home,703
435,E,2024-05-22,health,585
436,S,2024-02-27,auto,446
437,N,2024-04-24,home,592
438,N,2024-05-22,auto,521
439,S,2024-02-22,travel,894
440,N,2024-01-20,home,809
441,E,2024-04-28,auto,673
442,N,2024-02-28,travel,922
443,S,2024-01-12,auto,552
444,W,2024-08-09,auto,655
445,E,2024-03-01,auto,580
446,E,2024-06-07,home,1135
447,S,2024-01-09,auto,669
448,S,2024-11-04,travel,645
449,S,2024-07-08,auto,535
450,S,2024-11-10,health,829
453,E,2024-03-29,travel,768
454,N,2024-03-25,travel,542
455,W,2024-07-16,health,506
456,W,2024-03-04,travel,658
457,E,2024-10-12,auto,655
458,S,2024-08-30,home,554
459,N,2024-06-25,health,346
460,S,2024-05-14,health,598
461,E,2024-07-12,home,837
462,W,2024-10-28,home,619
463,N,2024-09-28,auto,653
464,S,2024-04-14,auto,739
465,W,2024-04-01,health,425
466,S,2024-01-10,home,555
467,S,2024-04-08,travel,700
468,E,2024-05-16,travel,955
469,S,2024-10-07,travel,564
470,N,2024-04-17,travel,622
471,W,2024-08-27,home,586
472,S,2024-06-09,home,630
473,S,2024-01-20,health,772
474,N,2024-05-25,home,882
475,N,2024-07-09,auto,578
476,W,2024-10-03,home,USD 628
477,S,2024-06-30,home,699
478,E,2024-08-18,home,432
479,N,2024-04-01,home,563
480,W,2024-09-22,auto,"$1,022"
481,W,2024-07-10,travel,715
482,S,2024-04-02,home,788
483,N,2024-09-06,health,550
484,S,2024-08-01,health,566
485,W,2024-04-11,auto,871
486,E,2024-01-21,auto,805
487,W,2024-07-11,auto,685
488,W,2024-06-24,home,1052
489,N,2024-09-19,travel,400
490,S,2024-11-02,home,$794
491,N,2024-05-18,travel,624
492,E,2024-04-19,travel,976
493,S,2024-03-28,home,627
494,W,2024-04-02,home,653
495,N,2024-01-15,travel,672
496,W,2024-03-12,auto,921
497,S,2024-02-16,home,533
498,N,2024-10-13,health,836
499,E,2024-05-28,auto,744
500,W,2024-07-21,travel,594
501,W,2024-08-10,home,819
502,N,2024-09-26,home,648
503,W,2024-08-02,health,891
504,N,2024-02-08,health,627
505,E,2024-08-07,home,916
506,W,2024-09-09,travel,USD 917
507,E,2024-09-03,health,588
508,N,2024-10-28,auto,560
509,W,2024-11-26,health,719
510,E,2024-11-05,home,701
511,N,2024-10-27,home,582
512,W,2024-09-05,health,788
513,N,2024-08-01,home,612
514,N,2024-02-09,home,684
515,E,2024-05-08,health,762
516,W,2024-11-16,health,706
517,E,2024-07-30,home,$426
518,E,2024-08-18,travel,649
519,N,2024-06-21,home,564
520,W,2024-06-08,health,582
521,S,2024-02-05,health,435
522,S,2024-07-21,auto,USD 1100
523,E,2024-04-20,auto,484
524,W,2024-11-25,auto,662
525,N,2024-08-06,home,844
526,S,2024-01-15,travel,733
527,S,2024-09-08,home,1135
528,E,2024-01-05,home,580
529,E,2024-07-10,auto,649
530,W,2024-04-23,travel,1047
531,S,2024-07-19,health,729
532,E,2024-01-02,home,567
533,S,2024-06-28,auto,760
534,S,2024-06-12,home,580
536,N,2024-06-06,travel,591
537,S,2024-07-13,auto,1049
538,E,2024-02-06,home,675
539,S,2024-06-06,travel,774
540,W,2024-01-11,auto,565
541,N,2024-08-23,travel,$639
542,E,2024-06-17,auto,USD 485
543,N,2024-03-29,auto,624
544,W,2024-01-18,home,674
545,W,2024-01-23,auto,717
546,N,2024-02-16,home,933
547,W,2024-09-13,home,792
548,E,2024-09-10,home,610
549,N,2024-05-01,auto,756
550,N,2024-01-08,auto,466
551,W,2024-08-13,auto,836
552,E,2024-07-31,travel,980
553,E,2024-11-22,travel,868
554,N,2024-07-07,health,695
555,W,2024-07-02,home,562
556,E,2024-06-24,home,581
557,N,2024-03-05,travel,550
558,W,2024-07-11,health,424
559,N,2024-10-10,travel,890
560,W,2024-08-14,travel,632
561,N,2024-02-19,health,704
562,S,2024-03-24,travel,521
563,E,2024-11-07,home,730
564,W,2024-08-31,auto,554
565,E,2024-10-24,auto,589
566,W,2024-02-24,travel,833
567,N,2024-01-19,health,732
568,W,2024-08-26,auto,557
569,E,2024-05-05,home,751
570,N,2024-04-06,travel,734
571,E,2024-04-18,home,623
572,S,2024-01-17,home,597
573,N,2024-05-18,home,670
574,S,2024-11-26,travel,728
575,W,2024-05-27,home,578
576,E,2024-01-16,home,692
577,E,2024-02-21,health,653
578,N,2024-07-05,travel,765
580,S,2024-01-23,travel,808
581,W,2024-06-22,auto,565
582,E,2024-10-03,travel,1006
583,W,2024-01-25,auto,716
584,N,2024-02-02,travel,937
585,E,2024-01-29,auto,799
586,N,2024-04-20,home,635
587,W,2024-05-15,auto,710
588,W,2024-07-14,auto,631
589,W,2024-07-24,travel,736
590,E,2024-09-19,auto,705
591,N,2024-04-18,auto,852
592,W,2024-01-23,auto,517
593,S,2024-06-10,auto,$631
594,S,2024-01-11,home,496
595,N,2024-08-27,health,453
596,N,2024-02-13,travel,777
597,N,2024-07-26,health,776
598,N,2024-11-07,auto,630
599,W,2024-01-25,home,1031
600,S,2024-06-04,health,706
601,N,2024-06-29,travel,684
602,W,2024-06-11,health,902
603,N,2024-05-22,auto,862
604,S,2024-10-05,home,680
605,S,2024-11-01,health,879
606,E,2024-08-18,auto,860
607,N,2024-03-28,health,675
608,W,2024-06-01,auto,830
609,S,2024-04-05,home,767
610,E,2024-11-10,health,706
611,W,2024-05-27,home,618
612,W,2024-08-17,auto,901
613,N,2024-03-24,home,677
615,S,2024-10-08,home,$696
616,N,2024-07-28,health,591
617,N,2024-11-17,home,428
618,E,2024-11-18,health,USD 690
619,N,2024-04-06,travel,907
620,W,2024-05-13,auto,549
621,S,2024-04-01,travel,612
622,E,2024-02-02,travel,546
623,E,2024-01-16,home,509
624,S,2024-02-17,auto,599
625,S,2024-02-20,home,920
626,W,2024-07-05,travel,613
627,E,2024-07-24,health,526
628,E,2024-05-16,home,$957
629,W,2024-01-12,home,628
630,N,2024-09-25,home,594
631,W,2024-07-11,travel,471
632,E,2024-01-12,health,667
633,W,2024-02-11,home,497
634,E,2024-06-30,health,802
635,W,2024-03-28,travel,"$1,015"
636,N,2024-02-02,travel,533
637,E,2024-05-11,health,620
638,E,2024-09-05,travel,587
639,W,2024-09-13,health,713
640,E,2024-11-14,auto,462
641,W,2024-07-11,home,893
642,N,2024-08-03,travel,$534
643,W,2024-11-19,home,432
644,S,2024-03-22,auto,728
645,W,2024-02-28,home,580
646,E,2024-09-07,home,1104
647,W,2024-06-16,health,710
648,E,2024-10-03,home,840
649,E,2024-05-30,health,585
650,W,2024-10-03,auto,688
651,E,2024-09-07,home,486
652,E,2024-10-19,auto,759
653,N,2024-05-26,home,757
654,E,2024-11-02,travel,747
655,E,2024-10-23,health,619
656,N,2024-09-24,home,685
657,W,2024-11-05,auto,832
658,E,2024-04-18,health,591
659,E,2024-10-10,auto,476
660,E,2024-04-08,health,627
661,W,2024-06-14,health,610
663,E,2024-04-18,home,629
664,W,2024-04-07,home,474
665,S,2024-06-02,health,419
666,E,2024-07-15,travel,580
667,E,2024-09-13,health,658
668,N,2024-01-06,auto,426
669,S,2024-10-31,home,996
670,S,2024-11-07,home,548
671,W,2024-05-12,travel,708
672,W,2024-09-29,health,587
673,E,2024-10-09,home,406
674,N,2024-07-05,home,749
675,W,2024-07-08,travel,833
676,N,2024-03-06,health,$539
677,S,2024-03-10,auto,557
678,N,2024-02-11,auto,590
679,E,2024-01-21,health,859
680,W,2024-02-29,health,USD 722
681,E,2024-07-31,health,505
682,N,2024-03-02,home,592
683,S,2024-03-16,travel,799
684,N,2024-06-25,home,USD 716
685,S,2024-05-28,travel,685
686,W,2024-08-24,home,566
687,N,2024-09-28,health,672
688,N,2024-10-30,home,865
689,N,2024-04-17,home,$617
690,S,2024-07-05,home,561
691,W,2024-05-17,home,801
692,W,2024-06-26,health,573
693,S,2024-05-17,health,USD 701
694,S,2024-02-08,home,830
695,N,2024-01-26,auto,555
696,W,2024-08-02,home,981
697,N,2024-10-25,health,917
698,N,2024-09-08,travel,409
699,S,2024-05-31,travel,920
700,N,2024-04-07,travel,692
701,N,2024-08-19,auto,457
702,W,2024-07-29,home,440
703,N,2024-03-30,auto,767
704,N,2024-01-05,travel,474
705,N,2024-09-27,travel,564
706,S,2024-09-30,home,625
707,W,2024-03-16,travel,855
708,S,2024-10-30,home,701
709,N,2024-04-04,auto,700
710,W,2024-11-06,health,642
711,S,2024-03-20,auto,595
712,E,2024-11-20,home,575
713,S,2024-03-16,health,799
714,E,2024-05-17,travel,765
715,N,2024-11-22,home,720
716,N,2024-07-14,home,597
717,W,2024-10-11,health,518
718,S,2024-08-30,home,636
719,W,2024-07-29,health,885
721,S,2024-02-06,health,686
722,W,2024-09-02,home,633
723,W,2024-10-02,home,424
724,E,2024-08-31,travel,649
725,E,2024-03-15,travel,681
726,N,2024-09-08,travel,586
727,E,2024-10-08,health,598
728,W,2024-06-03,auto,532
729,E,2024-06-09,health,638
730,W,2024-03-24,auto,USD 759
731,S,2024-02-23,home,722
732,S,2024-04-13,auto,661
733,N,2024-03-21,auto,594
734,N,2024-08-20,auto,756
735,N,2024-06-11,home,861
736,N,2024-05-09,health,744
737,S,2024-02-07,home,1033
738,N,2024-04-23,home,840
739,S,2024-10-04,travel,626
740,E,2024-05-20,home,827
741,W,2024-09-21,health,979
742,N,2024-04-20,auto,701
743,S,2024-07-30,home,593
744,E,2024-03-24,travel,958
745,N,2024-11-26,auto,596
746,E,2024-10-13,travel,495
748,S,2024-10-18,auto,442
749,E,2024-07-31,home,492
750,E,2024-02-01,home,709
751,E,2024-04-08,health,561
752,W,2024-07-28,home,605
753,N,2024-08-04,auto,1018
754,N,2024-01-02,health,502
755,N,2024-08-18,travel,638
756,S,2024-08-09,travel,619
757,E,2024-08-12,health,1030
758,E,2024-07-12,travel,787
759,E,2024-11-11,auto,467
761,W,2024-04-23,health,672
762,E,2024-10-31,auto,656
763,W,2024-09-07,home,932
764,E,2024-11-19,auto,628
765,N,2024-07-09,auto,651
766,N,2024-06-09,travel,668
767,W,2024-08-22,health,410
768,W,2024-06-17,travel,843
769,E,2024-08-06,auto,585
770,N,2024-09-07,travel,805
771,E,2024-07-16,health,544
772,E,2024-07-23,health,447
773,S,2024-05-12,health,539
774,W,2024-03-17,travel,598
775,W,2024-08-31,travel,646
776,W,2024-07-03,travel,1066
777,E,2024-02-08,health,$670
778,S,2024-05-19,travel,562
779,E,2024-11-11,travel,544
780,S,2024-07-15,travel,573
781,E,2024-09-29,travel,682
782,W,2024-02-04,travel,948
783,E,2024-08-13,travel,356
784,N,2024-03-07,home,701
785,S,2024-05-21,travel,677
786,N,2024-04-24,travel,494
787,E,2024-01-20,health,USD 436
788,N,2024-06-11,health,481
789,N,2024-11-02,travel,569
790,E,2024-04-23,health,861
791,N,2024-07-03,home,875
792,N,2024-03-05,home,634
793,N,2024-05-30,home,USD 599
794,N,2024-08-25,auto,534
795,N,2024-11-01,auto,445
796,E,2024-09-19,travel,652
797,E,2024-10-12,health,464
798,W,2024-04-11,health,606
799,N,2024-07-17,travel,634
800,E,2024-11-17,auto,622
801,E,2024-08-16,health,681
802,N,2024-02-16,home,517
803,N,2024-08-31,home,1009
804,W,2024-07-23,health,862
805,S,2024-03-04,auto,579
806,W,2024-06-01,health,597
807,S,2024-03-01,health,943
808,S,2024-09-27,home,724
809,S,2024-05-19,travel,556
810,E,2024-07-22,travel,USD 537
811,S,2024-02-19,health,568
812,W,2024-06-10,auto,426
813,E,2024-02-01,auto,609
814,E,2024-04-15,travel,595
815,W,2024-10-09,home,716
816,S,2024-09-07,travel,563
817,N,2024-10-08,travel,532
818,W,2024-03-06,home,711
819,W,2024-02-14,health,663
820,N,2024-10-21,health,648
822,N,2024-03-22,health,789
823,N,2024-05-19,auto,731
824,E,2024-08-19,health,810
825,W,2024-10-10,travel,924
826,W,2024-03-05,auto,543
827,W,2024-03-06,home,651
828,S,2024-06-20,travel,679
829,E,2024-03-26,home,706
830,E,2024-07-15,health,615
831,S,2024-08-06,home,764
832,W,2024-07-04,home,823
833,N,2024-03-01,home,450
834,S,2024-11-09,travel,663
835,N,2024-11-13,home,1104
836,S,2024-06-19,health,437
837,W,2024-09-13,health,510
838,S,2024-11-26,health,379
839,S,2024-09-20,health,505
840,S,2024-04-07,travel,740
841,E,2024-08-29,home,USD 1296
842,E,2024-02-19,auto,666
843,E,2024-02-28,travel,$748
844,W,2024-10-09,auto,612
845,S,2024-04-28,travel,$776
846,E,2024-11-24,health,598
847,S,2024-06-21,health,478
848,W,2024-09-23,health,772
850,E,2024-06-19,home,798
851,N,2024-03-08,travel,856
852,N,2024-07-25,health,393
853,W,2024-07-02,auto,944
854,N,2024-03-18,home,532
855,E,2024-03-03,home,805
856,E,2024-04-30,travel,563
857,S,2024-07-07,health,744
858,N,2024-09-13,home,573
859,E,2024-07-24,travel,463
860,E,2024-03-18,auto,$934
861,E,2024-01-08,travel,716
862,N,2024-08-03,health,819
863,S,2024-03-19,home,683
864,E,2024-07-11,travel,737
865,E,2024-06-18,home,646
866,S,2024-03-19,home,736
867,W,2024-09-18,health,787
868,S,2024-06-28,auto,680
869,E,2024-09-07,auto,785
870,E,2024-03-12,auto,748
872,W,2024-09-24,auto,357
873,E,2024-07-30,home,970
874,S,2024-09-18,auto,557
875,N,2024-11-10,auto,620
876,E,2024-10-15,health,USD 547
877,N,2024-01-14,home,564
878,E,2024-10-10,travel,$669
879,S,2024-01-01,travel,689
880,E,2024-08-27,auto,670
881,W,2024-11-04,home,740
882,N,2024-01-28,health,576
883,N,2024-10-24,auto,466
884,N,2024-10-24,home,787
885,N,2024-08-27,health,524
886,W,2024-04-09,home,684
887,N,2024-09-21,health,799
888,W,2024-05-14,travel,723
889,W,2024-10-30,health,USD 952
890,N,2024-02-11,travel,701
891,N,2024-01-19,home,773
892,N,2024-11-17,health,555
893,E,2024-03-13,travel,512
894,E,2024-10-17,home,761
895,E,2024-03-15,home,915
896,E,2024-01-04,health,$748
897,W,2024-06-27,travel,671
898,W,2024-07-11,home,USD 635
899,E,2024-01-24,auto,512
900,W,2024-08-03,home,663
901,S,2024-11-25,health,637
902,W,2024-02-08,health,587
903,E,2024-03-16,home,771
904,E,2024-09-05,travel,830
905,W,2024-01-13,auto,688
906,S,2024-01-12,travel,$704
907,W,2024-01-15,health,694
908,E,2024-01-14,travel,717
909,W,2024-07-14,auto,913
910,N,2024-04-04,health,$853
911,S,2024-09-09,travel,833
912,S,2024-09-12,travel,384
913,S,2024-01-24,auto,659
914,E,2024-05-04,home,601
915,E,2024-09-22,auto,698
916,S,2024-01-26,home,699
917,N,2024-04-25,auto,902
918,W,2024-07-14,auto,419
919,N,2024-01-25,home,551
920,E,2024-10-26,home,575
921,W,2024-07-20,health,590
922,W,2024-09-23,health,904
923,E,2024-10-28,health,655
924,S,2024-11-07,health,408
925,S,2024-07-27,home,727
