account_id,event_date,event_type
235,2024-09-16,start
236,2024-07-13,start
237,2024-06-22,start
237,2024-09-10,pause
237,2024-12-08,resume
238,2024-03-08,start
238,2024-10-30,cancel
239,2024-10-11,start
240,2024-08-01,start
241,2024-07-25,start
242,2024-02-22,start
242,2024-11-03,cancel
243,2024-07-28,start
244,2024-08-11,start
245,2024-06-05,start
245,2024-08-30,pause
245,2024-11-01,resume
246,2024-06-01,start
246,2024-08-12,pause
246,2024-10-12,resume
247,2024-03-19,start
248,2024-04-10,start
248,2024-06-03,pause
248,2024-08-25,resume
248,2024-10-08,pause
248,2024-12-21,resume
249,2024-04-18,start
249,2024-05-21,pause
249,2024-06-28,resume
249,2024-12-21,cancel
250,2024-01-21,start
251,2024-01-26,start
252,2024-09-25,start
253,2024-01-24,start
253,2024-08-09,cancel
254,2024-01-22,start
254,2024-04-17,cancel
255,2024-05-23,start
255,2024-09-17,pause
255,2024-11-16,resume
256,2024-03-27,start
256,2024-07-30,cancel
257,2024-01-26,start
257,2024-05-30,cancel
258,2024-09-01,start
258,2024-11-27,cancel
259,2024-03-18,start
259,2024-05-18,cancel
260,2024-01-27,start
260,2024-10-12,cancel
261,2024-11-13,start
262,2024-01-28,start
262,2024-03-07,cancel
263,2024-10-03,start
264,2024-06-01,start
264,2024-08-29,pause
264,2024-10-21,resume
265,2024-03-21,start
266,2024-07-31,start
267,2024-06-26,start
267,2024-08-11,cancel
268,2024-07-09,start
268,2024-09-07,cancel
269,2024-02-11,start
270,2024-04-08,start
270,2024-11-28,cancel
271,2024-03-04,start
271,2024-04-24,cancel
272,2024-10-18,start
273,2024-02-03,start
274,2024-10-11,start
275,2024-04-25,start
275,2024-08-11,pause
275,2024-09-27,resume
276,2024-04-25,start
276,2024-07-07,pause
276,2024-08-08,resume
276,2024-09-13,pause
276,2024-12-10,resume
277,2024-08-26,start
278,2024-03-20,start
279,2024-01-15,start
279,2024-06-04,cancel
280,2024-05-27,start
280,2024-07-10,pause
280,2024-08-23,resume
280,2024-11-06,pause
281,2024-07-08,start
282,2024-09-25,start
282,2024-11-27,cancel
283,2024-05-26,start
283,2024-07-14,cancel
284,2024-02-12,start
285,2024-04-24,start
285,2024-05-30,pause
285,2024-07-26,resume
285,2024-10-31,pause
285,2024-12-02,resume
286,2024-10-08,start
287,2024-04-12,start
287,2024-08-17,pause
287,2024-10-07,resume
287,2024-11-24,pause
288,2024-10-28,start
289,2024-10-11,start
290,2024-07-26,start
291,2024-08-20,start
292,2024-06-16,start
292,2024-08-20,cancel
293,2024-02-15,start
294,2024-11-24,start
295,2024-05-26,start
295,2024-08-14,pause
295,2024-09-17,resume
296,2024-11-10,start
297,2024-05-15,start
297,2024-06-07,pause
297,2024-08-02,resume
298,2024-06-19,start
298,2024-09-02,pause
298,2024-10-23,resume
299,2024-11-04,start
300,2024-09-04,start
301,2024-01-06,start
302,2024-08-12,start
302,2024-11-09,cancel
303,2024-05-29,start
303,2024-07-15,pause
303,2024-10-03,resume
303,2024-10-23,pause
303,2024-12-02,resume
304,2024-01-29,start
305,2024-07-22,start
306,2024-08-12,start
307,2024-02-20,start
308,2024-02-11,start
309,2024-01-29,start
309,2024-07-30,cancel
310,2024-06-15,start
310,2024-10-05,pause
310,2024-12-20,resume
311,2024-05-10,start
311,2024-06-09,pause
311,2024-07-15,resume
311,2024-09-25,pause
311,2024-11-19,resume
312,2024-03-30,start
313,2024-06-29,start
313,2024-11-14,pause
314,2024-10-01,start
315,2024-10-19,start
316,2024-02-16,start
316,2024-10-13,cancel
317,2024-04-13,start
317,2024-08-06,cancel
318,2024-06-24,start
318,2024-07-27,pause
318,2024-10-22,resume
319,2024-08-30,start
320,2024-10-10,start
320,2024-11-15,cancel
321,2024-02-28,start
321,2024-03-24,cancel
322,2024-01-14,start
322,2024-03-21,cancel
323,2024-08-17,start
324,2024-02-08,start
325,2024-09-02,start
326,2024-06-16,start
326,2024-10-13,pause
326,2024-12-01,resume
327,2024-10-27,start
327,2024-12-07,cancel
328,2024-04-12,start
328,2024-07-28,pause
328,2024-10-17,resume
329,2024-04-28,start
330,2024-06-23,start
330,2024-09-01,pause
330,2024-10-04,resume
330,2024-12-06,cancel
331,2024-02-11,start
332,2024-08-30,start
333,2024-10-26,start
334,2024-09-15,start
335,2024-08-01,start
336,2024-10-27,start
337,2024-10-30,start
338,2024-03-09,start
339,2024-07-31,start
340,2024-03-15,start
341,2024-11-24,start
342,2024-09-25,start
342,2024-10-29,cancel
343,2024-03-26,start
343,2024-06-23,cancel
344,2024-03-04,start
345,2024-08-17,start
346,2024-04-19,start
346,2024-07-15,pause
346,2024-09-08,resume
347,2024-09-29,start
348,2024-04-14,start
348,2024-05-26,pause
348,2024-07-25,resume
349,2024-11-18,start
350,2024-04-06,start
350,2024-05-07,pause
350,2024-06-17,resume
351,2024-03-20,start
351,2024-06-28,cancel
352,2024-08-16,start
353,2024-02-14,start
353,2024-05-03,cancel
354,2024-02-25,start
355,2024-05-10,start
355,2024-08-23,pause
355,2024-09-27,resume
356,2024-01-11,start
356,2024-11-13,cancel
357,2024-01-03,start
357,2024-07-25,cancel
358,2024-05-12,start
358,2024-06-30,pause
358,2024-09-12,resume
358,2024-11-05,pause
359,2024-10-03,start
359,2024-11-28,cancel
360,2024-02-06,start
361,2024-06-17,start
361,2024-08-18,pause
361,2024-10-06,resume
362,2024-05-28,start
362,2024-10-31,pause
362,2024-12-04,resume
363,2024-09-17,start
364,2024-11-11,start
365,2024-08-21,start
366,2024-03-21,start
367,2024-07-07,start
368,2024-06-19,start
368,2024-07-27,pause
368,2024-10-21,resume
369,2024-07-08,start
369,2024-09-17,cancel
370,2024-10-22,start
371,2024-03-27,start
371,2024-05-05,cancel
372,2024-05-22,start
372,2024-10-26,pause
373,2024-04-07,start
373,2024-06-03,pause
373,2024-07-03,resume
373,2024-10-14,pause
373,2024-12-06,resume
374,2024-03-26,start
374,2024-06-15,cancel
375,2024-05-13,start
375,2024-08-27,pause
375,2024-10-01,resume
376,2024-05-04,start
376,2024-08-17,pause
376,2024-09-29,resume
376,2024-11-30,pause
377,2024-10-29,start
378,2024-11-08,start
379,2024-01-04,start
379,2024-05-14,cancel
380,2024-08-11,start
380,2024-11-22,cancel
381,2024-03-31,start
381,2024-05-18,pause
381,2024-08-12,resume
382,2024-03-10,start
383,2024-03-05,start
383,2024-07-23,cancel
384,2024-11-22,start
385,2024-07-30,start
386,2024-03-06,start
386,2024-08-21,cancel
387,2024-07-19,start
388,2024-11-26,start
389,2024-05-04,start
389,2024-09-24,pause
389,2024-10-30,resume
390,2024-07-01,start
391,2024-03-09,start
392,2024-09-18,start
392,2024-12-17,cancel
393,2024-04-26,start
393,2024-06-10,pause
393,2024-07-12,resume
393,2024-08-30,cancel
394,2024-03-01,start
394,2024-05-20,cancel
395,2024-09-14,start
396,2024-08-21,start
397,2024-10-03,start
398,2024-05-07,start
398,2024-06-03,pause
398,2024-08-26,resume
398,2024-12-15,pause
399,2024-02-26,start
399,2024-08-01,cancel
400,2024-11-19,start
401,2024-11-22,start
402,2024-10-29,start
403,2024-03-07,start
404,2024-02-18,start
405,2024-06-20,start
405,2024-10-30,pause
406,2024-01-03,start
406,2024-03-24,cancel
407,2024-08-23,start
407,2024-10-04,cancel
408,2024-06-13,start
408,2024-09-11,pause
408,2024-10-31,resume
409,2024-09-24,start
410,2024-08-26,start
411,2024-05-06,start
411,2024-09-26,pause
411,2024-12-14,resume
412,2024-07-12,start
412,2024-12-21,cancel
413,2024-09-23,start
414,2024-09-13,start
415,2024-05-30,start
416,2024-07-09,start
417,2024-10-14,start
418,2024-05-11,start
418,2024-10-15,cancel
419,2024-04-17,start
420,2024-01-23,start
420,2024-06-09,cancel
421,2024-03-28,start
421,2024-08-03,cancel
422,2024-06-03,start
422,2024-09-22,pause
422,2024-11-19,resume
423,2024-03-06,start
424,2024-06-01,start
424,2024-10-26,pause
424,2024-12-16,resume
425,2024-06-22,start
425,2024-09-15,pause
425,2024-11-10,resume
426,2024-06-08,start
426,2024-07-14,pause
426,2024-10-12,resume
426,2024-11-13,cancel
427,2024-01-28,start
428,2024-06-15,start
428,2024-11-13,pause
429,2024-05-02,start
429,2024-09-23,pause
429,2024-11-06,resume
430,2024-07-08,start
431,2024-01-30,start
432,2024-03-16,start
432,2024-08-17,cancel
433,2024-10-09,start
434,2024-09-02,start
435,2024-06-18,start
435,2024-08-26,pause
435,2024-10-22,resume
435,2024-11-18,pause
436,2024-10-23,start
436,2024-12-15,cancel
437,2024-05-08,start
437,2024-10-14,pause
437,2024-12-01,resume
438,2024-03-20,start
439,2024-04-14,start
440,2024-03-08,start
440,2024-04-24,cancel
441,2024-01-04,start
441,2024-10-20,cancel
442,2024-06-29,start
442,2024-08-07,pause
442,2024-10-18,resume
442,2024-12-05,pause
443,2024-01-12,start
444,2024-06-15,start
444,2024-09-08,cancel
445,2024-04-30,start
445,2024-07-14,cancel
446,2024-05-31,start
446,2024-08-05,pause
446,2024-10-22,resume
447,2024-02-14,start
447,2024-04-02,cancel
448,2024-03-25,start
449,2024-08-05,start
450,2024-01-31,start
450,2024-03-16,cancel
451,2024-08-23,start
452,2024-10-21,start
453,2024-03-01,start
453,2024-06-03,cancel
454,2024-07-08,start
454,2024-11-20,cancel
455,2024-04-29,start
455,2024-07-20,pause
455,2024-09-02,resume
456,2024-02-11,start
456,2024-03-12,cancel
457,2024-04-14,start
457,2024-05-23,pause
457,2024-06-23,resume
457,2024-08-20,pause
457,2024-10-18,resume
457,2024-12-20,pause
458,2024-07-12,start
459,2024-08-29,start
460,2024-03-03,start
460,2024-08-06,cancel
461,2024-11-16,start
462,2024-05-16,start
462,2024-07-13,cancel
463,2024-02-12,start
463,2024-07-14,cancel
464,2024-11-22,start
465,2024-05-22,start
465,2024-06-25,pause
465,2024-09-10,resume
465,2024-11-26,pause
466,2024-04-17,start
466,2024-05-14,pause
466,2024-08-10,resume
467,2024-11-26,start
468,2024-03-06,start
469,2024-08-25,start
470,2024-07-18,start
471,2024-01-10,start
472,2024-10-05,start
473,2024-04-13,start
473,2024-05-29,pause
473,2024-06-30,resume
473,2024-09-09,pause
473,2024-11-18,resume
474,2024-01-27,start
475,2024-02-17,start
475,2024-04-08,cancel
476,2024-04-09,start
476,2024-07-03,pause
476,2024-09-24,resume
477,2024-03-21,start
477,2024-08-26,cancel
478,2024-05-18,start
478,2024-08-05,pause
478,2024-10-29,resume
478,2024-11-30,pause
479,2024-07-31,start
480,2024-07-01,start
481,2024-05-12,start
481,2024-12-10,pause
482,2024-01-06,start
483,2024-11-02,start
484,2024-01-18,start
485,2024-07-19,start
486,2024-10-25,start
487,2024-07-07,start
487,2024-08-30,cancel
488,2024-09-20,start
489,2024-09-21,start
490,2024-09-30,start
491,2024-04-16,start
491,2024-06-03,cancel
492,2024-09-30,start
493,2024-10-04,start
494,2024-08-18,start
495,2024-05-10,start
495,2024-08-31,pause
495,2024-11-14,resume
496,2024-10-21,start
496,2024-12-16,cancel
497,2024-11-19,start
498,2024-03-15,start
499,2024-10-08,start
500,2024-10-10,start
501,2024-03-27,start
501,2024-07-02,cancel
502,2024-08-12,start
502,2024-10-04,cancel
503,2024-08-11,start
504,2024-05-12,start
504,2024-07-20,pause
504,2024-09-29,resume
504,2024-11-22,pause
505,2024-02-28,start
506,2024-01-04,start
507,2024-08-14,start
507,2024-10-15,cancel
508,2024-06-24,start
508,2024-12-21,pause
509,2024-04-23,start
509,2024-07-19,cancel
510,2024-07-12,start
511,2024-01-30,start
511,2024-08-19,cancel
512,2024-07-24,start
513,2024-07-18,start
514,2024-10-04,start
515,2024-05-04,start
516,2024-07-28,start
517,2024-04-11,start
517,2024-08-29,pause
517,2024-11-24,resume
518,2024-03-09,start
519,2024-10-18,start
520,2024-11-10,start
521,2024-08-31,start
521,2024-11-24,cancel
522,2024-08-02,start
522,2024-09-21,cancel
523,2024-05-02,start
524,2024-03-25,start
525,2024-04-16,start
526,2024-06-14,start
527,2024-01-28,start
528,2024-02-14,start
529,2024-10-10,start
530,2024-07-27,start
531,2024-10-14,start
532,2024-01-16,start
532,2024-09-24,cancel
533,2024-11-14,start
534,2024-02-01,start
534,2024-03-29,cancel
535,2024-10-06,start
536,2024-11-11,start
537,2024-11-23,start
538,2024-10-29,start
539,2024-05-11,start
539,2024-07-17,pause
539,2024-10-08,resume
540,2024-02-04,start
540,2024-03-13,cancel
541,2024-07-11,start
542,2024-06-13,start
542,2024-11-23,pause
543,2024-05-31,start
544,2024-06-02,start
544,2024-12-06,pause
545,2024-10-01,start
546,2024-11-08,start
547,2024-07-09,start
548,2024-06-29,start
548,2024-07-23,pause
548,2024-08-27,resume
548,2024-09-20,pause
548,2024-10-29,resume
549,2024-03-25,start
550,2024-10-18,start
551,2024-07-20,start
552,2024-06-09,start
552,2024-08-31,pause
552,2024-10-20,resume
553,2024-10-28,start
554,2024-02-20,start
554,2024-05-01,cancel
555,2024-08-20,start
556,2024-02-29,start
556,2024-07-18,cancel
557,2024-07-04,start
558,2024-05-25,start
558,2024-10-11,cancel
559,2024-02-25,start
559,2024-11-04,cancel
560,2024-06-11,start
560,2024-10-26,pause
560,2024-12-11,resume
561,2024-05-30,start
561,2024-08-04,cancel
562,2024-01-17,start
562,2024-08-23,cancel
563,2024-08-03,start
564,2024-10-30,start
565,2024-07-08,start
566,2024-01-16,start
567,2024-06-24,start
568,2024-11-10,start
569,2024-07-09,start
569,2024-12-03,cancel
570,2024-01-04,start
570,2024-05-26,cancel
571,2024-02-06,start
571,2024-07-08,cancel
572,2024-06-28,start
572,2024-09-12,pause
572,2024-10-29,resume
572,2024-12-10,pause
573,2024-01-09,start
574,2024-02-19,start
574,2024-11-22,cancel
575,2024-06-21,start
576,2024-04-30,start
576,2024-06-09,pause
576,2024-07-17,resume
576,2024-12-10,pause
577,2024-08-24,start
577,2024-11-14,cancel
578,2024-10-11,start
579,2024-06-17,start
579,2024-10-26,pause
579,2024-12-03,resume
580,2024-10-14,start
581,2024-11-11,start
582,2024-08-22,start
583,2024-06-13,start
584,2024-02-07,start
585,2024-05-21,start
586,2024-09-19,start
587,2024-01-05,start
587,2024-05-20,cancel
588,2024-05-19,start
588,2024-10-18,pause
588,2024-12-25,resume
589,2024-03-15,start
589,2024-10-27,cancel
590,2024-08-16,start
591,2024-03-06,start
592,2024-08-26,start
593,2024-09-29,start
594,2024-04-28,start
594,2024-06-16,pause
594,2024-09-03,resume
595,2024-10-09,start
596,2024-03-09,start
597,2024-02-25,start
598,2024-08-31,start
598,2024-12-11,cancel
599,2024-04-30,start
599,2024-07-02,cancel
600,2024-09-15,start
600,2024-11-02,cancel
601,2024-08-13,start
602,2024-09-10,start
603,2024-09-02,start
604,2024-01-02,start
605,2024-09-27,start
606,2024-10-02,start
607,2024-04-27,start
607,2024-07-19,pause
607,2024-09-12,resume
607,2024-10-19,pause
607,2024-12-23,resume
608,2024-03-06,start
608,2024-05-15,cancel
609,2024-06-11,start
609,2024-09-06,pause
609,2024-11-14,resume
610,2024-05-24,start
610,2024-10-28,cancel
611,2024-10-30,start
612,2024-02-09,start
612,2024-08-23,cancel
613,2024-10-27,start
614,2024-02-16,start
614,2024-06-02,cancel
615,2024-01-04,start
615,2024-04-05,cancel
616,2024-01-08,start
617,2024-01-27,start
618,2024-03-14,start
618,2024-05-16,cancel
619,2024-07-23,start
620,2024-03-16,start
621,2024-09-25,start
622,2024-07-07,start
623,2024-01-11,start
623,2024-07-30,cancel
624,2024-03-22,start
625,2024-04-01,start
625,2024-06-06,cancel
626,2024-01-13,start
626,2024-03-25,cancel
627,2024-05-17,start
627,2024-08-11,cancel
628,2024-11-13,start
629,2024-09-29,start
630,2024-02-14,start
631,2024-11-15,start
632,2024-10-31,start
633,2024-10-07,start
633,2024-11-26,cancel
634,2024-07-24,start
635,2024-08-30,start
635,2024-12-05,cancel
636,2024-09-06,start
636,2024-11-01,cancel
637,2024-10-02,start
638,2024-02-01,start
638,2024-04-28,cancel
639,2024-06-30,start
640,2024-06-16,start
641,2024-05-07,start
641,2024-06-24,cancel
642,2024-05-05,start
643,2024-01-31,start
643,2024-04-22,cancel
644,2024-06-17,start
644,2024-09-05,pause
644,2024-10-30,resume
644,2024-11-29,pause
645,2024-05-21,start
645,2024-08-29,pause
645,2024-11-11,resume
645,2024-12-25,pause
646,2024-05-04,start
646,2024-06-24,pause
646,2024-09-06,resume
646,2024-10-20,pause
646,2024-11-28,resume
647,2024-04-11,start
647,2024-08-10,pause
647,2024-09-16,resume
647,2024-12-09,cancel
648,2024-01-05,start
648,2024-09-14,cancel
649,2024-04-18,start
649,2024-07-04,pause
649,2024-08-03,resume
649,2024-09-07,pause
649,2024-10-12,resume
649,2024-11-19,cancel
650,2024-05-22,start
650,2024-08-27,pause
650,2024-10-29,resume
650,2024-12-24,pause
651,2024-05-23,start
651,2024-08-17,pause
651,2024-10-31,resume
652,2024-11-05,start
653,2024-05-01,start
653,2024-06-04,pause
653,2024-07-18,resume
653,2024-09-25,pause
653,2024-11-25,resume
654,2024-05-30,start
654,2024-08-12,cancel
655,2024-05-06,start
656,2024-08-15,start
657,2024-04-15,start
657,2024-07-02,pause
657,2024-08-07,resume
657,2024-09-13,pause
657,2024-10-23,resume
658,2024-10-09,start
659,2024-03-19,start
660,2024-10-24,start
661,2024-04-01,start
661,2024-06-13,pause
661,2024-07-27,resume
661,2024-11-28,pause
662,2024-04-23,start
662,2024-09-26,pause
662,2024-11-27,resume
663,2024-04-24,start
663,2024-07-11,pause
663,2024-09-28,resume
664,2024-01-10,start
665,2024-02-20,start
665,2024-12-09,cancel
666,2024-01-25,start
667,2024-06-27,start
667,2024-09-03,pause
667,2024-11-12,resume
668,2024-07-12,start
669,2024-01-19,start
669,2024-04-02,cancel
670,2024-04-09,start
670,2024-06-18,pause
670,2024-08-26,resume
670,2024-10-09,pause
670,2024-12-18,resume
671,2024-07-09,start
672,2024-03-08,start
672,2024-05-27,cancel
673,2024-10-07,start
674,2024-03-21,start
674,2024-07-12,cancel
675,2024-10-01,start
676,2024-02-14,start
676,2024-07-27,cancel
677,2024-06-16,start
678,2024-05-28,start
678,2024-06-22,pause
678,2024-08-07,resume
678,2024-08-28,cancel
679,2024-01-28,start
679,2024-04-29,cancel
