account_id,signup_date,plan,seats
328,2024-04-12,team,9
329,2024-04-28,enterprise,36
330,2024-06-23,team,20
331,2024-02-11,team,10
332,2024-08-30,team,24
333,2024-10-26,business,16
334,2024-09-15,team,20
335,2024-08-01,enterprise,27
336,2024-10-27,enterprise,27
337,2024-10-30,team,21
338,2024-03-09,team,11
339,2024-07-31,team,28
340,2024-03-15,enterprise,29
341,2024-11-24,team,34
342,2024-09-25,business,25
343,2024-03-26,team,36
344,2024-03-04,business,12
345,2024-08-17,enterprise,4
346,2024-04-19,enterprise,29
347,2024-09-29,business,28
348,2024-04-14,enterprise,32
349,2024-11-18,team,23
350,2024-04-06,team,33
351,2024-03-20,team,29
352,2024-08-16,team,20
353,2024-02-14,business,17
354,2024-02-25,business,21
355,2024-05-10,team,26
356,2024-01-11,team,7
357,2024-01-03,enterprise,7
358,2024-05-12,business,9
359,2024-10-03,team,8
360,2024-02-06,enterprise,4
361,2024-06-17,enterprise,34
362,2024-05-28,business,16
363,2024-09-17,team,37
364,2024-11-11,team,21
365,2024-08-21,enterprise,11
366,2024-03-21,business,30
367,2024-07-07,team,29
368,2024-06-19,team,40
369,2024-07-08,team,2
370,2024-10-22,business,18
371,2024-03-27,business,36
372,2024-05-22,business,27
373,2024-04-07,team,34
374,2024-03-26,business,25
375,2024-05-13,team,29
376,2024-05-04,enterprise,32
377,2024-10-29,team,25
378,2024-11-08,team,23
379,2024-01-04,team,12
380,2024-08-11,business,12
381,2024-03-31,enterprise,30
382,2024-03-10,team,10
383,2024-03-05,enterprise,39
384,2024-11-22,team,32
385,2024-07-30,team,25
386,2024-03-06,enterprise,3
387,2024-07-19,enterprise,21
388,2024-11-26,team,21
389,2024-05-04,team,23
390,2024-07-01,enterprise,24
391,2024-03-09,team,40
392,2024-09-18,team,31
393,2024-04-26,team,28
394,2024-03-01,enterprise,10
395,2024-09-14,team,16
396,2024-08-21,business,17
397,2024-10-03,team,36
398,2024-05-07,team,28
399,2024-02-26,team,40
400,2024-11-19,team,2
401,2024-11-22,team,40
402,2024-10-29,team,12
403,2024-03-07,enterprise,14
404,2024-02-18,team,40
405,2024-06-20,business,3
406,2024-01-03,team,19
407,2024-08-23,business,21
408,2024-06-13,enterprise,27
409,2024-09-24,business,25
410,2024-08-26,team,31
411,2024-05-06,team,35
412,2024-07-12,team,13
413,2024-09-23,team,23
414,2024-09-13,team,11
415,2024-05-30,business,26
416,2024-07-09,team,3
417,2024-10-14,team,8
418,2024-05-11,enterprise,38
419,2024-04-17,team,7
420,2024-01-23,team,10
421,2024-03-28,business,35
422,2024-06-03,team,13
423,2024-03-06,team,5
424,2024-06-01,enterprise,21
425,2024-06-22,team,9
426,2024-06-08,team,9
427,2024-01-28,team,21
428,2024-06-15,enterprise,10
429,2024-05-02,business,15
430,2024-07-08,team,29
431,2024-01-30,enterprise,12
432,2024-03-16,team,11
433,2024-10-09,business,31
434,2024-09-02,business,35
435,2024-06-18,enterprise,15
436,2024-10-23,enterprise,13
437,2024-05-08,business,25
438,2024-03-20,team,15
439,2024-04-14,team,38
440,2024-03-08,team,18
441,2024-01-04,enterprise,40
442,2024-06-29,team,18
443,2024-01-12,team,40
444,2024-06-15,team,24
445,2024-04-30,team,22
446,2024-05-31,business,10
447,2024-02-14,team,3
448,2024-03-25,enterprise,4
449,2024-08-05,team,27
450,2024-01-31,enterprise,11
451,2024-08-23,enterprise,39
452,2024-10-21,business,7
453,2024-03-01,team,7
454,2024-07-08,enterprise,19
455,2024-04-29,team,30
456,2024-02-11,business,6
457,2024-04-14,enterprise,29
458,2024-07-12,business,4
459,2024-08-29,team,37
460,2024-03-03,business,28
461,2024-11-16,team,4
462,2024-05-16,team,33
463,2024-02-12,team,31
464,2024-11-22,enterprise,39
465,2024-05-22,enterprise,27
466,2024-04-17,team,28
467,2024-11-26,team,16
468,2024-03-06,business,39
469,2024-08-25,business,16
470,2024-07-18,enterprise,36
471,2024-01-10,team,12
472,2024-10-05,team,20
473,2024-04-13,team,37
474,2024-01-27,team,18
475,2024-02-17,enterprise,23
476,2024-04-09,enterprise,22
477,2024-03-21,business,28
478,2024-05-18,business,14
479,2024-07-31,enterprise,33
480,2024-07-01,team,29
481,2024-05-12,enterprise,12
482,2024-01-06,team,25
483,2024-11-02,business,28
484,2024-01-18,business,12
485,2024-07-19,team,22
486,2024-10-25,business,9
487,2024-07-07,team,11
488,2024-09-20,team,28
489,2024-09-21,team,37
490,2024-09-30,team,13
491,2024-04-16,team,27
492,2024-09-30,business,24
493,2024-10-04,enterprise,12
494,2024-08-18,enterprise,31
495,2024-05-10,team,4
496,2024-10-21,enterprise,12
497,2024-11-19,team,12
498,2024-03-15,business,14
499,2024-10-08,team,37
500,2024-10-10,team,14
501,2024-03-27,enterprise,10
502,2024-08-12,team,12
503,2024-08-11,team,24
504,2024-05-12,team,3
505,2024-02-28,team,29
506,2024-01-04,team,24
507,2024-08-14,team,38
508,2024-06-24,enterprise,16
509,2024-04-23,team,34
510,2024-07-12,team,11
511,2024-01-30,team,6
512,2024-07-24,enterprise,26
513,2024-07-18,team,18
514,2024-10-04,enterprise,18
515,2024-05-04,team,3
516,2024-07-28,team,20
517,2024-04-11,team,31
518,2024-03-09,team,9
519,2024-10-18,team,31
520,2024-11-10,team,27
521,2024-08-31,enterprise,24
522,2024-08-02,team,10
523,2024-05-02,enterprise,40
524,2024-03-25,enterprise,2
525,2024-04-16,team,37
526,2024-06-14,business,37
527,2024-01-28,team,23
528,2024-02-14,enterprise,21
529,2024-10-10,team,16
530,2024-07-27,team,36
531,2024-10-14,enterprise,35
532,2024-01-16,team,8
533,2024-11-14,enterprise,16
534,2024-02-01,team,29
535,2024-10-06,enterprise,5
536,2024-11-11,enterprise,5
537,2024-11-23,business,33
538,2024-10-29,enterprise,30
539,2024-05-11,team,27
540,2024-02-04,team,24
541,2024-07-11,team,33
542,2024-06-13,team,8
543,2024-05-31,business,35
544,2024-06-02,business,29
545,2024-10-01,enterprise,39
546,2024-11-08,business,12
547,2024-07-09,team,35
548,2024-06-29,team,34
549,2024-03-25,team,14
550,2024-10-18,business,9
551,2024-07-20,team,3
552,2024-06-09,enterprise,12
553,2024-10-28,enterprise,10
554,2024-02-20,team,2
555,2024-08-20,enterprise,14
556,2024-02-29,team,12
557,2024-07-04,enterprise,9
558,2024-05-25,business,34
559,2024-02-25,enterprise,20
560,2024-06-11,team,14
561,2024-05-30,business,18
562,2024-01-17,business,7
563,2024-08-03,team,37
564,2024-10-30,team,6
565,2024-07-08,team,18
566,2024-01-16,business,20
567,2024-06-24,business,4
568,2024-11-10,business,12
569,2024-07-09,team,28
570,2024-01-04,team,12
571,2024-02-06,business,28
572,2024-06-28,team,2
573,2024-01-09,team,27
574,2024-02-19,team,12
575,2024-06-21,business,3
576,2024-04-30,enterprise,38
577,2024-08-24,team,15
578,2024-10-11,business,18
579,2024-06-17,business,30
580,2024-10-14,business,20
581,2024-11-11,team,29
582,2024-08-22,team,2
583,2024-06-13,enterprise,13
584,2024-02-07,business,20
585,2024-05-21,enterprise,39
586,2024-09-19,business,38
587,2024-01-05,team,37
588,2024-05-19,team,6
589,2024-03-15,enterprise,22
590,2024-08-16,team,18
591,2024-03-06,enterprise,38
592,2024-08-26,team,39
593,2024-09-29,enterprise,22
594,2024-04-28,business,14
595,2024-10-09,team,34
596,2024-03-09,team,39
597,2024-02-25,team,30
598,2024-08-31,team,35
599,2024-04-30,team,24
600,2024-09-15,team,24
601,2024-08-13,team,7
602,2024-09-10,team,30
603,2024-09-02,enterprise,2
604,2024-01-02,team,13
605,2024-09-27,business,22
606,2024-10-02,team,21
607,2024-04-27,business,4
608,2024-03-06,team,32
609,2024-06-11,team,10
610,2024-05-24,team,16
611,2024-10-30,team,17
612,2024-02-09,team,38
613,2024-10-27,team,14
614,2024-02-16,enterprise,11
615,2024-01-04,enterprise,13
616,2024-01-08,enterprise,15
617,2024-01-27,team,37
618,2024-03-14,business,22
619,2024-07-23,enterprise,27
620,2024-03-16,business,2
621,2024-09-25,enterprise,35
622,2024-07-07,business,27
623,2024-01-11,enterprise,9
624,2024-03-22,team,14
625,2024-04-01,team,19
626,2024-01-13,team,7
627,2024-05-17,business,33
628,2024-11-13,enterprise,2
629,2024-09-29,team,21
630,2024-02-14,enterprise,3
631,2024-11-15,enterprise,11
632,2024-10-31,business,34
633,2024-10-07,enterprise,29
634,2024-07-24,team,38
635,2024-08-30,team,17
636,2024-09-06,team,7
637,2024-10-02,team,9
638,2024-02-01,team,23
639,2024-06-30,team,36
640,2024-06-16,enterprise,6
641,2024-05-07,team,33
642,2024-05-05,team,17
643,2024-01-31,business,18
644,2024-06-17,team,25
645,2024-05-21,team,19
646,2024-05-04,team,28
647,2024-04-11,enterprise,40
648,2024-01-05,business,29
649,2024-04-18,team,21
650,2024-05-22,business,33
651,2024-05-23,enterprise,30
652,2024-11-05,team,13
653,2024-05-01,team,30
654,2024-05-30,team,9
655,2024-05-06,enterprise,11
656,2024-08-15,business,2
657,2024-04-15,team,8
658,2024-10-09,business,19
659,2024-03-19,enterprise,35
660,2024-10-24,team,28
661,2024-04-01,business,13
662,2024-04-23,team,15
663,2024-04-24,enterprise,12
664,2024-01-10,enterprise,15
665,2024-02-20,team,16
666,2024-01-25,business,12
667,2024-06-27,enterprise,24
668,2024-07-12,business,40
669,2024-01-19,team,4
670,2024-04-09,team,33
671,2024-07-09,team,32
672,2024-03-08,team,36
673,2024-10-07,team,15
674,2024-03-21,team,24
675,2024-10-01,enterprise,35
676,2024-02-14,team,28
677,2024-06-16,team,6
678,2024-05-28,business,7
679,2024-01-28,team,35
680,2024-08-28,team,6
681,2024-06-17,team,35
682,2024-03-01,team,37
683,2024-04-07,enterprise,32
684,2024-05-24,team,35
685,2024-02-12,business,11
686,2024-05-30,business,7
687,2024-03-09,team,36
688,2024-01-31,business,25
689,2024-07-02,enterprise,7
690,2024-05-29,team,2
691,2024-01-23,business,36
692,2024-09-27,team,30
693,2024-04-05,enterprise,2
694,2024-06-01,team,37
695,2024-11-25,enterprise,24
696,2024-01-07,team,36
697,2024-08-12,team,2
698,2024-05-24,team,6
699,2024-04-29,business,31
700,2024-01-26,enterprise,39
701,2024-08-28,team,19
702,2024-05-23,enterprise,17
703,2024-08-22,team,3
704,2024-08-29,team,6
705,2024-01-02,business,29
706,2024-01-27,business,38
707,2024-10-26,team,18
708,2024-05-30,business,37
709,2024-08-21,team,8
710,2024-06-03,team,5
711,2024-02-15,team,40
712,2024-11-06,team,38
713,2024-09-07,business,19
714,2024-10-04,enterprise,30
715,2024-10-05,team,25
716,2024-03-03,enterprise,17
717,2024-01-15,enterprise,19
718,2024-06-20,enterprise,32
719,2024-04-16,team,21
720,2024-08-17,team,18
721,2024-04-18,team,40
722,2024-09-08,business,20
723,2024-08-30,enterprise,9
724,2024-10-15,team,27
725,2024-02-17,enterprise,13
726,2024-08-25,enterprise,8
727,2024-09-19,team,7
728,2024-10-20,enterprise,38
729,2024-09-09,enterprise,32
730,2024-01-18,team,36
731,2024-06-21,team,26
732,2024-05-14,team,10
733,2024-04-02,team,35
734,2024-11-09,team,8
735,2024-01-22,team,20
736,2024-05-01,business,13
737,2024-03-13,team,17
738,2024-01-22,business,23
739,2024-04-27,team,27
740,2024-06-03,business,30
741,2024-03-26,business,28
742,2024-08-24,enterprise,28
743,2024-10-24,team,31
744,2024-06-01,team,34
745,2024-07-07,enterprise,34
746,2024-08-29,team,20
747,2024-10-19,team,11
748,2024-06-02,team,27
749,2024-08-25,team,26
750,2024-02-04,business,14
751,2024-03-22,enterprise,33
752,2024-09-19,enterprise,8
753,2024-07-15,business,29
754,2024-10-17,team,38
755,2024-05-10,business,17
756,2024-11-13,business,27
757,2024-05-02,team,18
758,2024-07-01,business,22
759,2024-09-09,team,7
760,2024-03-19,team,35
761,2024-06-19,business,30
762,2024-06-23,business,30
763,2024-03-19,team,3
764,2024-04-25,team,17
765,2024-10-23,team,37
766,2024-09-03,enterprise,39
767,2024-01-05,business,3
768,2024-06-09,enterprise,29
769,2024-09-06,team,39
770,2024-11-24,enterprise,37
771,2024-02-05,business,6
772,2024-04-14,team,11
773,2024-07-06,team,33
774,2024-02-01,enterprise,11
775,2024-07-09,team,13
776,2024-01-02,team,27
777,2024-09-27,enterprise,17
778,2024-11-19,enterprise,34
779,2024-02-01,team,25
780,2024-10-18,business,6
781,2024-10-22,enterprise,32
782,2024-05-01,team,17
783,2024-01-13,team,14
784,2024-02-17,business,15
785,2024-02-19,team,25
786,2024-09-15,team,16
787,2024-01-19,team,25
788,2024-10-15,enterprise,25
789,2024-04-12,enterprise,10
790,2024-03-08,team,38
791,2024-03-14,business,26
792,2024-05-31,business,23
793,2024-09-12,enterprise,33
794,2024-02-14,business,25
795,2024-05-31,team,24
796,2024-06-16,team,38
797,2024-02-07,business,33
798,2024-03-21,enterprise,26
799,2024-01-02,enterprise,39
800,2024-03-23,enterprise,30
801,2024-09-17,team,35
802,2024-02-20,enterprise,20
803,2024-04-05,team,7
804,2024-06-09,business,6
805,2024-04-10,team,2
806,2024-04-02,enterprise,25
807,2024-10-09,business,11
808,2024-09-10,team,22
809,2024-02-25,team,35
810,2024-02-25,team,6
811,2024-03-27,team,6
812,2024-04-11,enterprise,28
813,2024-06-20,team,19
814,2024-05-11,business,4
815,2024-11-05,enterprise,14
816,2024-06-01,enterprise,25
817,2024-04-12,enterprise,3
818,2024-04-16,team,40
819,2024-04-07,team,25
820,2024-10-10,team,39
821,2024-07-28,team,9
822,2024-05-11,business,5
823,2024-10-17,enterprise,28
824,2024-05-08,team,4
825,2024-07-25,team,11
826,2024-05-30,enterprise,14
827,2024-08-10,enterprise,7
828,2024-06-14,team,24
829,2024-06-25,enterprise,38
830,2024-01-20,enterprise,38
831,2024-06-09,team,27
832,2024-02-24,team,22
833,2024-10-22,business,24
834,2024-03-27,team,33
835,2024-09-29,team,8
836,2024-01-30,team,10
837,2024-07-02,team,32
838,2024-03-30,business,16
839,2024-04-05,team,39
840,2024-11-04,team,35
841,2024-03-30,team,28
842,2024-08-28,business,11
843,2024-07-31,team,26
844,2024-02-04,business,40
845,2024-05-01,business,3
846,2024-04-06,team,18
847,2024-05-25,team,3
848,2024-11-02,business,8
849,2024-03-13,team,31
850,2024-06-18,enterprise,27
851,2024-03-20,enterprise,37
852,2024-09-22,team,28
853,2024-10-08,business,33
854,2024-07-08,business,8
855,2024-04-26,enterprise,39
856,2024-10-03,enterprise,33
857,2024-03-03,enterprise,18
858,2024-06-06,enterprise,35
859,2024-07-03,enterprise,17
860,2024-09-09,team,30
861,2024-09-02,business,31
862,2024-03-09,team,25
863,2024-07-17,enterprise,36
864,2024-06-20,enterprise,10
865,2024-07-05,team,30
866,2024-05-24,team,14
867,2024-01-01,business,17
868,2024-08-31,team,16
869,2024-11-11,team,22
870,2024-07-11,team,25
871,2024-07-09,team,8
872,2024-05-09,enterprise,10
873,2024-05-08,team,32
874,2024-11-16,team,10
875,2024-10-14,team,31
876,2024-04-09,enterprise,28
877,2024-11-11,team,29
878,2024-02-12,business,27
879,2024-03-28,team,18
880,2024-07-30,enterprise,8
881,2024-06-09,business,17
882,2024-03-18,team,31
883,2024-07-27,enterprise,4
884,2024-04-09,team,29
885,2024-02-20,enterprise,27
886,2024-06-05,business,25
887,2024-09-16,team,6
888,2024-07-19,business,21
889,2024-09-02,team,3
890,2024-05-06,enterprise,8
891,2024-11-04,team,17
892,2024-08-08,enterprise,3
893,2024-01-31,team,16
894,2024-04-25,enterprise,33
895,2024-07-24,business,39
896,2024-09-20,business,32
897,2024-06-24,team,28
898,2024-03-24,team,12
899,2024-11-22,team,33
900,2024-08-16,enterprise,20
901,2024-05-29,team,9
902,2024-03-03,team,4
903,2024-07-30,team,8
904,2024-03-13,business,30
905,2024-03-21,business,10
906,2024-11-18,team,19
907,2024-08-22,business,11
908,2024-03-31,enterprise,5
909,2024-04-20,team,26
910,2024-06-18,business,27
911,2024-02-06,team,32
912,2024-01-12,team,12
913,2024-11-11,business,5
914,2024-10-11,business,8
915,2024-01-09,team,12
916,2024-04-08,team,10
917,2024-03-12,team,25
918,2024-06-02,team,16
919,2024-05-05,enterprise,37
920,2024-11-14,business,13
921,2024-08-23,team,5
922,2024-08-24,team,22
923,2024-01-18,team,12
924,2024-10-11,team,4
925,2024-01-13,business,8
926,2024-07-24,team,13
927,2024-03-30,enterprise,27
928,2024-09-23,enterprise,35
929,2024-03-14,team,17
930,2024-02-24,team,16
931,2024-11-09,business,10
932,2024-07-31,team,8
933,2024-09-29,team,33
934,2024-07-19,business,34
935,2024-04-21,team,7
936,2024-01-01,team,20
937,2024-11-15,business,8
938,2024-11-23,enterprise,11
939,2024-01-08,team,16
940,2024-01-17,enterprise,27
941,2024-08-15,team,11
942,2024-08-31,enterprise,15
943,2024-06-05,team,14
944,2024-06-30,business,13
945,2024-09-02,team,10
946,2024-10-16,business,36
947,2024-03-18,team,39
948,2024-10-06,team,34
949,2024-09-11,team,4
950,2024-10-18,enterprise,2
951,2024-05-28,business,21
952,2024-09-07,team,3
953,2024-06-12,business,10
954,2024-10-07,team,28
955,2024-08-09,team,19
956,2024-08-23,team,32
957,2024-09-24,team,22
958,2024-09-07,team,34
959,2024-07-20,business,18
960,2024-11-09,team,19
961,2024-02-07,enterprise,29
962,2024-02-15,enterprise,28
963,2024-03-20,team,20
964,2024-01-12,enterprise,23
965,2024-08-19,team,34
966,2024-02-06,team,3
967,2024-08-10,enterprise,31
968,2024-05-25,team,2
969,2024-03-21,enterprise,39
970,2024-06-13,team,34
971,2024-06-26,business,35
972,2024-05-06,team,37
973,2024-11-11,team,7
974,2024-02-05,team,4
975,2024-07-05,team,5
976,2024-11-04,team,28
977,2024-11-15,business,25
978,2024-03-02,team,12
979,2024-11-19,team,8
980,2024-07-13,team,12
981,2024-10-02,enterprise,8
982,2024-05-03,enterprise,36
983,2024-10-09,team,34
984,2024-03-28,team,13
985,2024-02-25,team,40
986,2024-02-16,business,13
987,2024-10-22,team,4
988,2024-07-14,business,9
989,2024-06-03,team,38
990,2024-08-30,business,35
991,2024-08-02,enterprise,9
992,2024-04-03,team,6
993,2024-08-31,business,20
994,2024-07-17,team,40
995,2024-06-17,business,25
996,2024-01-05,enterprise,37
997,2024-09-10,business,20
998,2024-08-10,team,13
999,2024-09-01,business,15
1000,2024-04-13,team,36
1001,2024-08-08,team,15
1002,2024-05-04,team,32
1003,2024-09-02,team,40
1004,2024-02-25,team,36
1005,2024-08-31,team,6
1006,2024-08-15,team,40
1007,2024-02-15,enterprise,6
1008,2024-09-09,business,9
1009,2024-01-19,team,3
1010,2024-05-06,team,14
1011,2024-01-10,team,23
1012,2024-09-09,enterprise,32
1013,2024-10-24,team,36
1014,2024-11-16,team,9
