ticket_id,date,location,covers,food,drink,tip,payment
90,2024-01-06,Riverside,2,58,24,29.72,card
91,2024-01-06,Riverside,3,39,33,27.15,card
92,2024-01-06,Riverside,4,92,52,10.93,cash
93,2024-01-06,Riverside,4,72,24,17.37,card
94,2024-01-06,Airport,5,110,25,23.54,card
95,2024-01-06,Airport,6,108,36,14.19,cash
96,2024-01-06,Airport,4,64,36,19.37,card
97,2024-01-06,Airport,5,115,60,31.23,card
98,2024-01-06,Mall,2,28,16,5.84,card
99,2024-01-06,Mall,2,52,8,8.47,card
100,2024-01-06,Mall,5,80,15,6,cash
101,2024-01-06,Mall,4,52,16,5.95,cash
102,2024-01-06,Mall,5,115,70,28.04,card
103,2024-01-07,Downtown,2,40,10,7.7,card
104,2024-01-07,Downtown,1,29,8,7.23,card
105,2024-01-07,Downtown,1,13,6,1.4,cash
106,2024-01-07,Downtown,5,135,15,26.49,card
107,2024-01-07,Downtown,6,132,60,14.46,cash
108,2024-01-07,Downtown,6,174,36,38.31,card
109,2024-01-07,Riverside,2,60,12,30.79,card
110,2024-01-07,Riverside,4,96,56,22.28,card
111,2024-01-07,Riverside,1,13,4,-0.74,card
112,2024-01-07,Riverside,3,90,9,42.27,card
113,2024-01-07,Airport,3,72,27,17.9,card
114,2024-01-07,Airport,6,132,30,25.33,card
115,2024-01-07,Airport,5,150,50,25.52,cash
116,2024-01-07,Mall,1,12,12,2.53,card
117,2024-01-07,Mall,4,112,28,9.09,cash
118,2024-01-07,Mall,1,24,10,2.26,cash
119,2024-01-07,Mall,5,125,35,27.67,card
120,2024-01-07,Mall,3,90,27,15.63,card
121,2024-01-08,Downtown,2,40,6,5.28,card
122,2024-01-08,Downtown,2,42,24,9.68,card
123,2024-01-08,Downtown,2,48,20,9.6,card
124,2024-01-08,Downtown,1,20,5,3.28,card
125,2024-01-08,Riverside,4,120,32,24.41,card
126,2024-01-08,Riverside,3,54,30,12.6,card
127,2024-01-08,Riverside,6,72,84,28.09,card
128,2024-01-08,Airport,4,76,48,22.23,card
129,2024-01-08,Airport,6,174,24,22.85,card
130,2024-01-08,Airport,6,96,84,24.82,card
131,2024-01-08,Airport,3,42,30,12.25,card
132,2024-01-08,Airport,4,112,20,26.36,card
133,2024-01-08,Airport,1,21,8,5.29,card
134,2024-01-08,Mall,2,28,14,6.82,card
135,2024-01-08,Mall,4,96,52,18.1,card
136,2024-01-08,Mall,6,150,72,39.84,card
137,2024-01-09,Downtown,6,162,30,35.43,card
138,2024-01-09,Downtown,6,150,18,15.58,cash
139,2024-01-09,Downtown,4,68,28,18.33,card
140,2024-01-09,Downtown,4,48,36,15.14,card
141,2024-01-09,Downtown,3,54,27,8.77,card
142,2024-01-09,Riverside,5,65,45,35.34,card
143,2024-01-09,Riverside,4,120,20,55.36,card
144,2024-01-09,Riverside,3,57,24,16.16,card
145,2024-01-09,Airport,6,156,48,23.96,card
146,2024-01-09,Airport,2,54,24,15.11,card
147,2024-01-09,Airport,4,64,56,7.67,cash
148,2024-01-09,Mall,1,12,7,2.13,card
149,2024-01-09,,4,120,36,16.93,cash
150,2024-01-09,Mall,6,108,18,13.54,card
151,2024-01-09,Mall,5,90,50,21.71,card
152,2024-01-10,Downtown,2,36,22,8.17,card
153,2024-01-10,Downtown,6,84,18,11.33,cash
154,2024-01-10,Downtown,5,150,30,14.22,cash
155,2024-01-10,Downtown,6,72,18,17.48,card
156,2024-01-10,Downtown,3,42,18,8.25,card
157,2024-01-10,Riverside,4,84,52,50.22,card
158,2024-01-10,Riverside,1,29,11,4.69,card
159,2024-01-10,Riverside,4,56,28,6.94,cash
160,2024-01-10,Airport,4,92,52,27.14,card
161,2024-01-10,Airport,3,57,36,10.07,card
162,2024-01-10,Airport,4,116,40,18.79,cash
163,2024-01-10,Airport,4,68,24,14.71,card
164,2024-01-10,Airport,4,104,24,10.91,cash
165,2024-01-10,Mall,1,28,13,5.84,card
166,2024-01-10,Mall,4,100,52,15.79,card
167,2024-01-10,Mall,4,100,56,20.42,card
168,2024-01-10,Mall,4,92,24,19.97,card
169,2024-01-10,Mall,3,51,15,6.79,card
170,2024-01-10,Mall,4,68,44,21.86,card
171,2024-01-11,Downtown,4,92,12,9.58,cash
172,2024-01-11,Downtown,1,18,4,2.11,cash
173,2024-01-11,Downtown,1,22,13,5.36,card
174,2024-01-11,Downtown,4,60,20,5.09,cash
175,2024-01-11,Riverside,3,42,15,4.07,cash
176,2024-01-11,Riverside,1,26,5,3.32,card
177,2024-01-11,Riverside,6,84,42,45.55,card
178,2024-01-11,Riverside,4,96,20,9.86,cash
179,2024-01-11,Riverside,1,23,6,9.23,card
180,2024-01-11,Airport,5,140,45,22.28,cash
181,2024-01-11,Airport,1,28,14,3.94,cash
182,2024-01-11,Airport,2,32,8,6.02,card
183,2024-01-11,Airport,1,17,9,3.34,card
184,2024-01-11,Mall,5,90,40,14.54,cash
185,2024-01-11,Mall,2,56,22,8.62,card
186,2024-01-11,Mall,1,12,14,4.3,card
187,2024-01-11,Mall,4,88,32,15.13,card
188,2024-01-12,Downtown,2,34,6,2.59,cash
189,2024-01-12,Downtown,3,54,18,3.8,cash
190,2024-01-12,Downtown,2,34,16,7.62,card
191,2024-01-12,Downtown,6,120,72,37.48,card
192,2024-01-12,Riverside,2,24,10,4.36,card
193,2024-01-12,Riverside,1,28,4,3.37,card
194,2024-01-12,Riverside,1,15,10,2.4,cash
195,2024-01-12,Riverside,5,110,45,13.4,cash
196,2024-01-12,Riverside,3,48,12,9.99,card
197,2024-01-12,Riverside,2,56,22,8.75,cash
198,2024-01-12,Airport,2,30,22,4.99,cash
199,2024-01-12,Airport,4,52,32,4.38,cash
200,2024-01-12,Airport,1,30,6,2.14,cash
201,2024-01-12,Airport,3,54,27,10.85,card
202,2024-01-12,Airport,1,28,7,6.92,card
203,2024-01-12,Airport,1,23,8,3.62,cash
204,2024-01-12,Mall,5,95,45,18.84,card
205,2024-01-12,Mall,5,140,20,18.39,card
206,2024-01-12,Mall,4,88,56,24.27,card
207,2024-01-12,Mall,5,85,50,13.54,card
208,2024-01-12,Mall,5,95,25,13.25,card
209,2024-01-12,Mall,1,22,11,2.01,cash
210,2024-01-13,Downtown,5,105,35,9.47,cash
211,2024-01-13,Downtown,2,58,14,13.04,card
212,2024-01-13,Downtown,4,112,28,16.44,cash
213,2024-01-13,Riverside,3,63,30,38.9,card
214,2024-01-13,Riverside,3,36,18,20.73,card
215,2024-01-13,Riverside,6,162,72,68.89,card
216,2024-01-13,Airport,4,80,16,10.29,card
217,2024-01-13,Airport,3,45,42,11.6,card
218,2024-01-13,Airport,5,70,30,5.67,cash
219,2024-01-13,Airport,5,75,40,-3.99,card
220,2024-01-13,Airport,1,25,4,5.58,card
221,2024-01-13,Mall,2,48,10,5.94,cash
222,2024-01-13,Mall,1,18,11,2.27,cash
223,2024-01-13,Mall,4,112,52,18.15,card
224,2024-01-13,Mall,5,65,50,12.03,cash
225,2024-01-13,Mall,3,90,36,14.94,cash
226,2024-01-13,Mall,2,46,10,8.21,card
227,2024-01-14,Downtown,1,19,7,3.14,cash
228,2024-01-14,Downtown,4,60,48,17.74,card
229,2024-01-14,Downtown,5,60,30,10.92,cash
230,2024-01-14,Downtown,5,95,35,22.98,card
231,2024-01-14,Riverside,2,38,24,7.96,cash
232,2024-01-14,Riverside,4,108,40,14.79,cash
233,2024-01-14,Riverside,2,42,6,4.93,cash
234,2024-01-14,Riverside,1,13,5,6.65,card
235,2024-01-14,Riverside,3,84,12,12.29,card
236,2024-01-14,Airport,4,84,56,7.23,cash
237,2024-01-14,Airport,5,70,70,21.67,card
238,2024-01-14,Airport,5,80,35,12.65,card
239,2024-01-14,Airport,6,78,72,17.72,card
240,2024-01-14,Airport,3,36,9,3.98,cash
241,2024-01-14,Airport,4,80,44,9.56,cash
242,2024-01-14,Mall,2,26,8,2.13,cash
243,2024-01-14,Mall,5,65,25,11.55,card
244,2024-01-14,Mall,1,13,6,2.36,cash
245,2024-01-14,Mall,2,40,22,9.26,card
246,2024-01-14,Mall,1,29,14,2.62,cash
247,2024-01-14,Mall,4,96,36,17.29,card
248,2024-01-15,Downtown,1,13,13,4.68,card
249,2024-01-15,Downtown,6,162,72,29.73,card
250,2024-01-15,Downtown,1,25,3,5.08,card
251,2024-01-15,Downtown,2,56,28,12.64,card
252,2024-01-15,Riverside,6,108,78,68.74,card
253,2024-01-15,Riverside,6,114,24,7.81,cash
254,2024-01-15,Riverside,3,72,24,18.68,card
255,2024-01-15,Riverside,3,57,21,12.56,card
256,2024-01-15,Riverside,6,174,78,30.6,cash
257,2024-01-15,Riverside,1,20,11,3.98,cash
258,2024-01-15,Airport,2,48,8,3.32,cash
259,2024-01-15,Airport,6,144,48,20.33,card
260,2024-01-15,Airport,6,150,66,31.51,card
261,2024-01-15,Airport,2,38,14,6.19,card
262,2024-01-15,Mall,6,132,18,21.18,card
263,2024-01-15,Mall,6,132,24,20.94,card
264,2024-01-15,Mall,6,96,84,22.14,cash
265,2024-01-15,Mall,5,85,35,13.19,card
266,2024-01-15,Mall,4,60,28,10.86,card
267,2024-01-16,Downtown,6,132,48,33.91,card
268,2024-01-16,Downtown,2,58,28,14.57,card
269,2024-01-16,,6,174,54,38.75,card
270,2024-01-16,Downtown,4,84,52,23.64,card
271,2024-01-16,Downtown,5,95,15,11.69,cash
272,2024-01-16,Downtown,6,114,60,20.96,cash
273,2024-01-16,Riverside,6,168,72,87.65,card
274,2024-01-16,Riverside,4,96,28,42.09,card
275,2024-01-16,Riverside,2,44,8,16.88,card
276,2024-01-16,Riverside,3,54,42,32.73,card
277,2024-01-16,Riverside,2,52,24,31.97,card
278,2024-01-16,Airport,1,24,12,5.66,card
279,2024-01-16,Airport,4,88,32,9.25,cash
280,2024-01-16,Airport,4,104,44,20.92,card
281,2024-01-16,Mall,5,90,55,22.93,card
282,2024-01-16,Mall,4,108,16,18.1,card
283,2024-01-16,Mall,2,56,28,11.4,card
284,2024-01-16,Mall,2,58,28,5.41,cash
285,2024-01-16,Mall,4,72,12,9.09,card
286,2024-01-17,Downtown,2,38,26,6.31,cash
287,2024-01-17,Downtown,2,60,24,14.01,card
288,2024-01-17,Downtown,6,102,36,23.39,card
289,2024-01-17,Downtown,1,14,3,1.77,cash
290,2024-01-17,Downtown,2,40,8,7.44,card
291,2024-01-17,Riverside,6,138,60,22.2,card
292,2024-01-17,Riverside,4,96,52,55.69,card
293,2024-01-17,Riverside,2,56,10,6.25,cash
294,2024-01-17,Airport,2,30,22,3.95,cash
295,2024-01-17,Airport,3,45,33,13.82,card
296,2024-01-17,Airport,2,44,16,11.61,card
297,2024-01-17,Airport,5,150,55,37,card
298,2024-01-17,Airport,1,30,7,3.08,cash
299,2024-01-17,Mall,4,52,44,11.73,card
300,2024-01-17,Mall,6,138,60,13.5,cash
301,2024-01-17,Mall,6,120,78,15.57,cash
302,2024-01-17,Mall,5,95,55,18.05,card
303,2024-01-17,Mall,2,32,18,6.61,card
304,2024-01-18,Downtown,2,24,24,5.01,card
305,2024-01-18,Downtown,6,114,36,29.95,card
306,2024-01-18,Downtown,6,180,72,26.7,cash
307,2024-01-18,Downtown,3,54,30,12.03,card
308,2024-01-18,Downtown,4,56,40,11.46,card
309,2024-01-18,Riverside,6,108,36,15.45,card
310,2024-01-18,Riverside,6,120,42,68.69,card
311,2024-01-18,Riverside,3,39,12,4.06,cash
312,2024-01-18,Riverside,1,21,14,2.43,cash
313,2024-01-18,Riverside,4,72,36,12.95,cash
314,2024-01-18,Airport,3,69,9,11.8,card
315,2024-01-18,Airport,5,75,65,15.7,card
316,2024-01-18,Airport,2,48,18,7.65,cash
317,2024-01-18,Airport,1,27,3,5.47,card
318,2024-01-18,Mall,6,120,66,21.02,card
319,2024-01-18,Mall,2,38,26,11.74,card
320,2024-01-18,Mall,6,84,18,10.91,cash
321,2024-01-18,Mall,4,76,44,20.5,card
322,2024-01-19,Downtown,4,52,40,17.68,card
323,2024-01-19,Downtown,4,68,16,4.3,cash
324,2024-01-19,Downtown,4,76,40,16.6,card
325,2024-01-19,Downtown,1,22,10,6.26,card
326,2024-01-19,Downtown,6,72,18,15.98,card
327,2024-01-19,Riverside,1,12,11,1.19,cash
328,2024-01-19,Riverside,4,108,24,51.29,card
329,2024-01-19,Riverside,2,34,12,15,card
330,2024-01-19,Airport,3,81,42,12.91,card
331,2024-01-19,Airport,4,108,48,26.28,card
332,2024-01-19,Airport,1,14,4,1.86,cash
333,2024-01-19,Airport,2,48,18,13.11,card
334,2024-01-19,Airport,6,126,18,23.77,card
335,2024-01-19,Mall,1,26,8,6.27,card
336,2024-01-19,Mall,3,63,21,11.21,card
337,2024-01-19,Mall,2,50,18,4.32,cash
338,2024-01-19,Mall,3,39,33,10.33,card
339,2024-01-19,Mall,3,78,24,5.45,cash
340,2024-01-20,Downtown,2,48,24,8.79,card
341,2024-01-20,Downtown,6,108,54,18.71,card
342,2024-01-20,Downtown,5,65,45,12.34,cash
343,2024-01-20,Riverside,1,14,7,2.3,cash
344,2024-01-20,Riverside,1,24,14,11.36,card
345,2024-01-20,Riverside,2,26,18,4.07,cash
346,2024-01-20,Riverside,6,144,48,20.7,cash
347,2024-01-20,Airport,4,120,36,29.05,card
348,2024-01-20,Airport,6,162,42,11.12,cash
349,2024-01-20,Airport,5,115,20,23.32,card
350,2024-01-20,Airport,3,51,12,12.27,card
351,2024-01-20,Airport,4,56,36,9.81,cash
352,2024-01-20,Mall,6,102,36,22.35,card
353,2024-01-20,Mall,2,58,22,-3.36,card
354,2024-01-20,Mall,4,96,36,18.01,card
355,2024-01-20,Mall,5,60,30,13.22,card
356,2024-01-21,Downtown,1,15,9,1.63,cash
357,2024-01-21,Downtown,3,69,30,8.44,cash
358,2024-01-21,Downtown,3,72,9,9.4,cash
359,2024-01-21,Downtown,4,96,24,14.36,card
360,2024-01-21,Downtown,1,23,4,5.02,card
361,2024-01-21,Riverside,3,45,15,5.08,cash
362,2024-01-21,Riverside,3,51,12,19.26,card
363,2024-01-21,Riverside,6,90,24,22.11,card
364,2024-01-21,Riverside,1,16,13,5.32,card
365,2024-01-21,Riverside,3,39,21,11.28,card
366,2024-01-21,Riverside,1,29,3,2.56,cash
367,2024-01-21,Airport,4,60,36,7.68,cash
368,2024-01-21,Airport,5,150,40,21.21,card
369,2024-01-21,Airport,1,27,3,3.32,cash
370,2024-01-21,Airport,5,85,40,22.37,card
371,2024-01-21,Airport,4,80,16,11.23,card
372,2024-01-21,Mall,6,114,36,26.28,card
373,2024-01-21,Mall,6,168,42,28.44,card
374,2024-01-21,Mall,1,29,4,4.24,card
375,2024-01-21,Mall,6,114,66,24.03,card
376,2024-01-21,Mall,2,40,10,8.31,card
377,2024-01-21,Mall,3,54,39,13.14,card
378,2024-01-22,Downtown,2,56,28,7.58,cash
379,2024-01-22,Downtown,2,28,10,4.54,card
380,2024-01-22,Downtown,4,116,20,13.8,card
381,2024-01-22,Downtown,6,72,78,27.29,card
382,2024-01-22,Riverside,5,115,25,11.49,cash
383,2024-01-22,Riverside,6,102,84,27.54,card
384,2024-01-22,Riverside,5,145,65,24.36,cash
385,2024-01-22,Riverside,2,42,16,20.65,card
386,2024-01-22,Airport,6,90,48,9.67,cash
387,2024-01-22,Airport,3,84,36,14.82,cash
388,2024-01-22,Airport,1,19,4,1.58,cash
389,2024-01-22,Mall,2,30,14,5.29,card
390,2024-01-22,Mall,1,15,12,3.18,card
391,2024-01-22,Mall,5,110,35,18.68,card
392,2024-01-23,Downtown,1,19,4,3.5,card
393,2024-01-23,Downtown,6,156,84,46.45,card
394,2024-01-23,Downtown,6,132,30,25.41,card
395,2024-01-23,Downtown,2,28,8,4.3,card
396,2024-01-23,Downtown,1,16,4,3.21,card
397,2024-01-23,Downtown,4,48,28,9.34,cash
398,2024-01-23,Riverside,4,64,36,35.25,card
399,2024-01-23,Riverside,5,70,60,11.06,cash
400,2024-01-23,Riverside,1,22,8,5.27,card
401,2024-01-23,Riverside,5,70,50,15.12,cash
402,2024-01-23,Riverside,3,63,24,5.13,cash
403,2024-01-23,Airport,4,76,56,15.88,card
404,2024-01-23,Airport,5,145,45,31.16,card
405,2024-01-23,Airport,5,90,45,20.76,card
406,2024-01-23,Airport,2,28,20,6.88,card
407,2024-01-23,Mall,5,130,65,12.07,cash
408,2024-01-23,Mall,1,28,8,2.63,cash
409,2024-01-23,Mall,4,72,44,9.47,cash
410,2024-01-23,Mall,4,112,24,19.33,card
411,2024-01-23,Mall,4,92,44,13.96,card
412,2024-01-23,Mall,3,39,15,10.07,card
413,2024-01-24,Downtown,6,168,42,27.27,card
414,2024-01-24,Downtown,2,42,16,7.48,card
415,2024-01-24,Downtown,6,138,48,12.51,cash
416,2024-01-24,Downtown,5,65,25,13.89,card
417,2024-01-24,Downtown,3,69,39,14.46,card
418,2024-01-24,Riverside,1,22,11,2.11,cash
419,2024-01-24,Riverside,3,84,18,13.71,card
420,2024-01-24,Riverside,5,60,45,16.34,card
421,2024-01-24,Riverside,3,63,21,34.46,card
422,2024-01-24,Airport,5,125,60,26.07,card
423,2024-01-24,Airport,4,120,24,26.08,card
424,2024-01-24,Airport,1,21,3,2.79,cash
425,2024-01-24,Airport,3,45,30,14.9,card
426,2024-01-24,Airport,1,25,9,5.06,card
427,2024-01-24,Mall,3,60,12,10.48,card
428,2024-01-24,Mall,2,60,12,7.74,cash
429,2024-01-24,Mall,3,87,36,8.32,cash
430,2024-01-24,Mall,3,36,15,7.65,card
431,2024-01-25,Downtown,4,120,48,28.75,card
432,2024-01-25,Downtown,2,56,28,12.85,card
433,2024-01-25,Downtown,5,105,70,33.65,card
434,2024-01-25,Downtown,6,108,48,30.92,card
435,2024-01-25,Riverside,4,80,52,16.57,cash
436,2024-01-25,Riverside,6,138,72,63.35,card
437,2024-01-25,Riverside,5,150,65,80.04,card
438,2024-01-25,Airport,4,96,12,18.4,card
439,2024-01-25,Airport,6,90,42,25.08,card
440,2024-01-25,Airport,5,60,15,10.5,card
441,2024-01-25,Airport,3,42,30,5.58,cash
442,2024-01-25,Mall,3,75,30,10.13,cash
443,2024-01-25,Mall,3,39,18,4.11,cash
444,2024-01-25,Mall,1,22,4,2.98,card
445,2024-01-25,Mall,6,138,78,21.65,card
446,2024-01-25,Mall,5,80,25,10.4,cash
447,2024-01-25,Mall,4,92,24,11.78,cash
448,2024-01-26,Downtown,4,96,52,17.44,card
449,2024-01-26,Downtown,5,95,40,15.88,cash
450,2024-01-26,Downtown,6,90,84,25.34,card
451,2024-01-26,Downtown,6,108,60,32.98,card
452,2024-01-26,Downtown,5,105,70,17.54,cash
453,2024-01-26,Downtown,1,29,4,4.49,card
454,2024-01-26,Riverside,1,23,6,3.31,cash
455,2024-01-26,Riverside,3,87,39,8.53,cash
456,2024-01-26,Riverside,4,88,40,21.76,card
457,2024-01-26,Riverside,3,51,36,8.19,cash
458,2024-01-26,Airport,4,64,24,7.25,cash
459,2024-01-26,Airport,2,36,16,4.99,cash
460,2024-01-26,Airport,6,90,66,9.2,cash
461,2024-01-26,Airport,1,23,3,4.18,card
462,2024-01-26,Airport,2,60,6,12.25,card
463,2024-01-26,Mall,3,51,21,5.65,cash
464,2024-01-26,Mall,4,48,20,10.83,card
465,2024-01-26,Mall,2,48,12,11.2,card
466,2024-01-27,Downtown,6,102,66,22.38,card
467,2024-01-27,Downtown,2,24,6,5,card
468,2024-01-27,Downtown,2,26,20,2.75,cash
469,2024-01-27,Downtown,6,120,48,21.66,cash
470,2024-01-27,Downtown,1,28,13,4.74,cash
471,2024-01-27,Downtown,3,39,15,4.74,cash
472,2024-01-27,Riverside,1,20,6,9.86,card
473,2024-01-27,Riverside,5,130,20,47.24,card
474,2024-01-27,Riverside,5,115,35,13.34,cash
475,2024-01-27,Riverside,6,102,66,17.7,card
476,2024-01-27,Riverside,2,32,6,11.05,card
477,2024-01-27,Airport,6,114,54,10.52,cash
478,2024-01-27,Airport,5,90,65,16,cash
479,2024-01-27,Airport,3,78,30,17.84,card
480,2024-01-27,Mall,4,116,36,16.18,card
481,2024-01-27,Mall,4,48,12,7.44,card
482,2024-01-27,Mall,1,14,11,2.97,card
483,2024-01-27,Mall,1,15,5,3.11,card
484,2024-01-27,Mall,5,95,15,16.15,card
485,2024-01-28,Downtown,5,85,65,27.67,card
486,2024-01-28,Downtown,5,130,65,33.08,card
487,2024-01-28,Downtown,3,57,27,10.83,card
488,2024-01-28,Downtown,5,80,65,25.25,card
489,2024-01-28,Downtown,5,95,20,14.72,card
490,2024-01-28,Downtown,1,19,14,2.63,cash
491,2024-01-28,Riverside,5,150,65,38,card
492,2024-01-28,Riverside,6,126,84,27.87,card
493,2024-01-28,Riverside,5,115,70,13.02,cash
494,2024-01-28,Airport,3,69,18,16.88,card
495,2024-01-28,Airport,6,138,66,25.1,card
496,2024-01-28,Airport,6,156,66,18.65,cash
497,2024-01-28,Airport,6,126,30,19.28,cash
498,2024-01-28,,4,104,48,22.73,card
499,2024-01-28,,4,56,48,12.04,card
500,2024-01-28,Mall,1,30,12,6.34,card
501,2024-01-28,Mall,1,24,9,4.14,cash
502,2024-01-28,Mall,6,162,72,43.68,card
503,2024-01-29,Downtown,1,28,8,2.78,cash
504,2024-01-29,Downtown,5,125,45,20.75,card
505,2024-01-29,Downtown,6,114,54,10.22,cash
506,2024-01-29,Downtown,2,48,10,6.22,card
507,2024-01-29,Downtown,1,18,3,2.57,card
508,2024-01-29,Riverside,5,85,55,40.85,card
509,2024-01-29,Riverside,6,78,30,32.21,card
510,2024-01-29,Riverside,4,60,12,25.4,card
511,2024-01-29,Airport,1,19,14,5.93,card
512,2024-01-29,Airport,2,54,26,12.5,card
513,2024-01-29,Airport,4,48,24,13.84,card
514,2024-01-29,Mall,3,78,15,9.31,cash
515,2024-01-29,Mall,4,108,56,19,cash
516,2024-01-29,Mall,2,44,20,3.83,cash
517,2024-01-30,Downtown,1,30,8,4.35,cash
518,2024-01-30,Downtown,6,108,54,25.05,card
519,2024-01-30,Downtown,6,132,30,24.67,card
520,2024-01-30,Riverside,6,96,72,-17.69,cash
521,2024-01-30,Riverside,2,34,22,20.25,card
522,2024-01-30,Riverside,3,42,9,6.28,cash
523,2024-01-30,Riverside,5,150,55,68.74,card
524,2024-01-30,Riverside,3,90,42,9.82,cash
525,2024-01-30,Riverside,5,115,20,43.98,card
526,2024-01-30,Airport,3,39,15,4.83,cash
527,2024-01-30,Airport,4,96,40,19.4,card
528,2024-01-30,Airport,5,120,20,27.37,card
529,2024-01-30,Mall,4,48,16,8.12,card
530,2024-01-30,Mall,3,51,27,7.98,cash
531,2024-01-30,Mall,3,78,42,12.8,card
532,2024-01-31,Downtown,5,120,55,21.65,cash
533,2024-01-31,Downtown,3,63,27,12.96,card
534,2024-01-31,Downtown,5,75,30,15.77,card
535,2024-01-31,Downtown,1,18,4,2.93,card
536,2024-01-31,Riverside,1,12,5,2.27,card
537,2024-01-31,Riverside,4,96,40,24.66,card
538,2024-01-31,Riverside,3,48,39,16.57,card
539,2024-01-31,Riverside,1,16,6,4.38,card
540,2024-01-31,Riverside,3,87,15,7.4,cash
541,2024-01-31,Airport,2,52,10,7.48,card
