trip_id,driver_id,start_ts,end_ts,distance_km,fare,rating
46,172,2024-02-09T05:14,2024-02-09T05:45,13.2,21.17,4.6
47,28,2024-04-04T05:33,2024-04-04T06:14,13,22.45,3.2
48,394,2024-02-03T11:38,2024-02-03T12:33,30,43.25,4.4
49,100,2024-01-03T12:27,2024-01-03T12:58,21.3,30.08,4.1
50,120,2024-04-14T20:43,2024-04-14T20:48,2.9,5.94,3.1
51,66,2024-01-23T16:52,2024-01-23T17:43,25.5,37.7,3.7
52,1,2024-02-04T18:52,2024-02-04T19:32,0,13.4,4.0
53,383,2024-04-14T07:14,2024-04-14T07:20,2.5,5.65,3.6
54,188,2024-04-24T18:01,2024-04-24T18:47,22,33.1,3.2
55,76,2024-02-10T19:08,2024-02-10T19:37,13.6,21.31,4.3
56,136,2024-01-30T17:02,2024-01-30T17:31,14.1,21.86,4.1
57,40,2024-04-20T14:51,2024-04-20T15:42,27.5,39.9,4.1
58,91,2024-02-21T12:59,2024-02-21T13:10,4.7,8.82,4.5
59,234,2024-02-17T12:22,2024-02-17T13:14,22.8,34.88,4.6
60,34,2024-03-08T09:36,2024-03-08T09:53,6.7,11.92,3.6
61,357,2024-01-16T07:58,2024-01-16T08:25,12.3,19.58,4.7
62,35,2024-03-24T13:59,2024-03-24T14:29,19.3,27.73,3.5
63,247,2024-03-04T10:31,2024-03-04T10:55,10.4,17.04,4.7
64,278,2024-01-21T06:04,2024-01-21T06:46,27,38,3.2
65,359,2024-01-01T05:12,2024-01-01T05:17,1.9,4.84,4.7
66,300,2024-04-17T20:52,2024-04-17T21:11,8.2,13.87,3.7
67,214,2024-02-12T06:00,2024-02-12T06:51,23.3,35.28,4.4
68,359,2024-02-21T12:57,2024-02-21T13:13,8.8,14.08,3.1
69,376,2024-02-03T10:08,2024-02-03T10:59,20.8,32.53,4.5
70,366,2024-01-27T10:27,2024-01-27T11:06,14,23.25,3.9
71,35,2024-03-04T05:14,2024-03-04T05:55,13.8,23.33,3.3
72,280,2024-01-01T19:28,2024-01-01T20:21,28.6,41.41,3.3
73,351,2024-04-26T17:36,2024-04-26T17:48,6.8,11.28,4.7
74,399,2024-02-08T10:59,2024-02-08T11:46,22.5,33.8,4.9
75,242,2024-02-19T10:29,2024-02-19T11:15,26.1,37.61,4.9
76,61,2024-03-27T10:05,2024-03-27T10:46,23.7,34.22,4.1
77,175,2024-01-22T12:43,2024-01-22T13:31,33.5,46.05,3.3
78,169,2024-01-02T10:44,2024-01-02T11:19,13.8,22.43,3.1
79,36,2024-03-10T11:11,2024-03-10T11:31,8.4,14.24,3.7
80,268,2024-03-24T11:06,2024-03-24T11:26,8.7,14.57,3.2
81,42,2024-04-07T12:47,2024-04-07T13:30,25.1,36.06,4.9
82,187,2024-02-12T17:45,2024-02-12T17:53,2.6,6.06,4.7
83,164,2024-01-14T17:49,2024-01-14T18:34,18.7,29.32,4.4
84,364,2024-04-04T05:08,2024-04-04T05:51,24.6,35.51,3.6
85,36,2024-04-27T18:18,2024-04-27T18:28,6,10.1,4.1
86,275,2024-04-28T20:40,2024-04-28T20:46,2.5,5.65,3.8
87,212,2024-04-02T05:17,2024-04-02T05:35,8.9,14.49,4.8
88,86,2024-02-13T13:12,2024-02-13T13:39,12.4,19.69,4.1
89,140,2024-02-05T06:50,2024-02-05T07:38,16.3,27.13,4.5
90,347,2024-04-06T17:07,2024-04-06T17:20,8.7,13.52,4.0
91,329,2024-04-14T15:37,2024-04-14T15:46,5,8.85,3.5
92,246,2024-02-14T11:15,2024-02-14T12:06,16.4,27.69,4.3
93,266,2024-01-03T19:37,2024-01-03T19:53,8.1,13.31,3.8
94,235,2024-04-21T10:00,2024-04-21T10:09,6.1,10.06,4.6
95,168,2024-01-07T19:59,2024-01-07T20:30,19.6,28.21,4.5
96,162,2024-03-29T14:21,2024-03-29T14:54,22.7,31.92,4.4
97,316,2024-04-16T07:26,2024-04-16T07:54,11.2,18.52,3.2
98,118,2024-01-04T21:23,2024-01-04T21:37,5.9,10.59,4.4
99,264,2024-04-17T06:52,2024-04-17T07:17,8.1,14.66,4.5
100,108,2024-01-06T12:00,2024-01-06T12:14,8.4,13.34,3.7
101,267,2024-04-13T19:19,2024-04-13T19:25,3.8,7.08,4.0
102,394,2024-04-21T07:17,2024-04-21T07:33,7.3,12.43,3.7
103,223,2024-01-20T12:55,2024-01-20T13:10,9.2,14.37,3.8
104,391,2024-03-12T21:01,2024-03-12T21:18,7,12.25,3.2
105,274,2024-03-20T17:09,2024-03-20T17:16,4.7,8.22,4.5
106,168,2024-02-26T07:17,2024-02-26T08:09,19.2,30.92,3.2
107,150,2024-01-16T13:05,2024-01-16T13:30,13.1,20.16,3.8
108,253,2024-03-19T06:14,2024-03-19T06:19,2.2,5.17,3.3
109,13,2024-01-14T16:25,2024-01-14T16:31,2.7,5.87,4.0
110,367,2024-04-09T11:14,2024-04-09T11:25,6.5,10.8,3.3
111,88,2024-02-29T20:15,2024-02-29T20:25,6.2,10.32,4.5
112,202,2024-01-21T18:56,2024-01-21T19:25,18,26.15,4.2
113,28,2024-02-03T19:43,2024-02-03T20:38,38.1,52.16,4.3
114,276,2024-04-29T10:53,2024-04-29T11:45,25.1,37.41,4.4
115,296,2024-01-26T10:45,2024-01-26T10:55,4.9,8.89,3.4
116,159,2024-03-26T19:31,2024-03-26T19:43,4.8,9.08,4.7
117,326,2024-02-22T09:25,2024-02-22T10:11,27.6,39.26,3.4
118,311,2024-03-19T18:52,2024-03-19T19:30,25.8,36.08,4.8
119,340,2024-01-16T09:32,2024-01-16T09:43,3.3,7.28,4.9
120,239,2024-03-20T18:00,2024-03-20T18:32,15,23.3,3.4
121,177,2024-04-17T16:40,2024-04-17T17:33,35.2,48.67,4.2
122,200,2024-02-14T05:34,2024-02-14T06:01,9.6,16.61,3.2
123,216,2024-02-17T17:44,2024-02-17T18:08,8.6,15.06,3.3
124,153,2024-04-17T15:32,2024-04-17T16:07,23.1,32.66,3.2
125,352,2024-02-28T16:08,2024-02-28T16:38,10.4,17.94,3.4
126,204,2024-01-07T20:21,2024-01-07T21:09,20.6,31.86,3.3
127,297,2024-03-28T16:26,2024-03-28T17:02,24,33.8,4.1
128,34,2024-03-11T13:37,2024-03-11T14:27,27.8,40.08,3.7
129,180,2024-01-12T13:42,2024-01-12T14:08,14.9,22.29,3.5
130,154,2024-03-31T13:38,2024-03-31T13:54,8,13.2,3.4
131,102,2024-02-25T13:09,2024-02-25T13:27,10.2,15.92,4.4
132,290,2024-02-24T07:39,2024-02-24T08:13,22.4,31.74,4.5
133,231,2024-04-05T10:05,2024-04-05T10:21,10.5,15.95,3.0
134,318,2024-03-31T10:23,2024-03-31T11:08,21.8,32.73,4.8
135,293,2024-02-23T14:18,2024-02-23T14:23,1.7,4.62,3.4
136,80,2024-02-01T14:56,2024-02-01T15:13,10.3,15.88,3.4
137,229,2024-04-16T07:09,2024-04-16T07:14,2.2,5.17,3.5
138,86,2024-01-03T17:37,2024-01-03T18:15,15.8,25.08,4.0
139,297,2024-03-24T07:06,2024-03-24T07:40,16.9,25.69,3.6
140,22,2024-03-18T20:18,2024-03-18T20:48,12.2,19.92,3.1
141,178,2024-04-01T07:02,2024-04-01T07:34,15.1,23.41,3.0
142,93,2024-04-22T16:27,2024-04-22T17:01,17.5,26.35,4.8
143,352,2024-04-20T17:27,2024-04-20T17:33,3.8,7.08,4.8
144,311,2024-01-30T06:11,2024-01-30T06:36,8.1,14.66,3.9
145,328,2024-03-06T20:29,2024-03-06T20:35,3.6,6.86,4.8
146,149,2024-02-05T05:10,2024-02-05T05:42,21.1,30.01,3.9
147,377,2024-04-07T10:30,2024-04-07T10:43,4.9,9.34,4.7
148,279,2024-01-22T17:05,2024-01-22T17:50,24.5,35.7,4.0
149,354,2024-03-09T18:03,2024-03-09T18:50,28.2,40.07,3.5
150,213,2024-03-30T10:04,2024-03-30T10:19,7.4,12.39,3.6
151,67,2024-01-21T17:29,2024-01-21T17:50,13.9,20.44,4.1
152,170,2024-04-02T08:16,2024-04-02T08:31,4.5,9.2,3.7
153,165,2024-03-17T07:17,2024-03-17T08:03,18.2,28.92,3.4
154,378,2024-02-13T13:50,2024-02-13T13:59,4.8,8.63,3.1
155,217,2024-04-15T21:32,2024-04-15T22:02,10.1,17.61,4.7
156,341,2024-03-19T12:20,2024-03-19T13:12,21.7,33.67,4.8
157,341,2024-01-15T19:19,2024-01-15T20:03,16,26.2,3.9
158,284,2024-03-25T18:29,2024-03-25T19:05,12.9,21.59,4.6
159,67,2024-03-09T19:54,2024-03-09T20:38,15,25.1,3.4
160,292,2024-01-18T06:46,2024-01-18T07:16,13.9,21.79,3.9
161,188,2024-04-17T21:19,2024-04-17T21:38,7.8,13.43,4.7
162,364,2024-01-08T09:10,2024-01-08T10:00,27.6,39.86,3.4
163,273,2024-02-03T12:02,2024-02-03T12:07,3.5,6.6,3.7
164,313,2024-04-28T15:49,2024-04-28T16:12,12.7,19.42,3.1
165,221,2024-04-30T05:17,2024-04-30T06:03,32.1,44.21,4.9
166,103,2024-01-15T19:17,2024-01-15T19:47,15.5,23.55,3.7
167,303,2024-03-30T13:45,2024-03-30T14:40,19.1,31.26,4.7
168,171,2024-02-01T13:29,2024-02-01T13:36,3.9,7.34,4.8
169,278,2024-01-25T19:21,2024-01-25T19:38,6.5,11.7,3.3
170,132,2024-04-06T12:52,2024-04-06T13:39,24,35.45,3.5
171,256,2024-03-16T14:05,2024-03-16T14:41,22.6,32.26,4.5
172,1,2024-04-13T10:52,2024-04-13T11:17,0,7.35,3.7
173,83,2024-03-05T09:34,2024-03-05T10:14,17.5,27.25,4.1
174,326,2024-02-17T21:10,2024-02-17T21:34,14.7,21.77,4.0
175,77,2024-03-29T06:36,2024-03-29T07:03,14.6,22.11,4.9
176,149,2024-02-26T18:01,2024-02-26T18:47,15.1,25.51,4.0
177,228,2024-04-18T20:31,2024-04-18T21:15,22.4,33.24,4.9
178,222,2024-04-25T08:13,2024-04-25T08:23,5,9,4.4
179,33,2024-01-05T11:15,2024-01-05T12:08,25.6,38.11,3.3
180,262,2024-01-28T12:11,2024-01-28T12:57,19.3,30.13,4.8
181,338,2024-01-15T11:53,2024-01-15T11:59,4.2,7.52,3.6
182,182,2024-02-21T08:50,2024-02-21T09:17,16.2,23.87,4.8
183,334,2024-02-14T11:08,2024-02-14T11:47,25.4,35.79,4.1
184,242,2024-01-25T19:40,2024-01-25T20:33,27.4,40.09,4.5
185,180,2024-02-05T13:59,2024-02-05T14:07,3.3,6.83,3.4
186,237,2024-03-06T07:04,2024-03-06T07:17,8.4,13.19,3.9
187,295,2024-02-12T20:52,2024-02-12T21:00,4.8,8.48,3.8
188,178,2024-04-03T21:33,2024-04-03T21:58,9,15.65,4.6
189,3,2024-04-08T19:51,2024-04-08T20:37,19.2,30.02,4.2
190,168,2024-04-09T12:18,2024-04-09T12:49,20.5,29.2,4.9
191,110,2024-01-17T06:46,2024-01-17T07:20,11.7,19.97,4.5
192,168,2024-01-08T20:21,2024-01-08T21:01,24.5,34.95,4.2
193,292,2024-01-08T15:25,2024-01-08T15:30,2,4.95,3.2
194,366,2024-03-14T11:08,2024-03-14T11:41,20.4,29.39,3.8
195,146,2024-01-09T13:59,2024-01-09T14:15,6.2,11.22,3.2
196,270,2024-04-03T14:40,2024-04-03T15:21,22.6,33.01,4.2
197,140,2024-04-24T08:34,2024-04-24T09:06,18.6,27.26,4.9
198,297,2024-01-14T08:41,2024-01-14T08:47,3.4,6.64,4.8
199,119,2024-01-18T05:11,2024-01-18T06:05,18.4,30.34,4.4
200,387,2024-04-01T16:48,2024-04-01T17:16,13.2,20.72,3.1
201,86,2024-01-15T11:52,2024-01-15T12:45,34.8,48.23,4.6
202,187,2024-04-18T17:37,2024-04-18T17:53,9.3,14.63,3.6
203,30,2024-01-18T20:57,2024-01-18T21:18,12.1,18.46,3.3
204,88,2024-03-22T08:21,2024-03-22T09:03,18.6,28.76,4.2
205,144,2024-02-02T16:58,2024-02-02T17:27,11.3,18.78,4.1
206,109,2024-03-06T20:40,2024-03-06T21:29,19,30.25,4.6
207,76,2024-02-19T10:13,2024-02-19T10:36,13,19.75,3.6
208,123,2024-04-16T07:05,2024-04-16T07:50,18.2,28.77,3.0
209,354,2024-03-18T16:13,2024-03-18T16:38,15.2,22.47,3.1
210,222,2024-02-18T20:50,2024-02-18T21:02,3.7,7.87,3.4
211,40,2024-01-22T05:56,2024-01-22T06:30,22.1,31.41,5.0
212,113,2024-03-21T15:39,2024-03-21T15:59,7.5,13.25,3.4
213,338,2024-03-22T05:51,2024-03-22T06:19,15.6,23.36,4.2
214,131,2024-04-06T13:33,2024-04-06T13:43,5,9,3.3
215,17,2024-04-12T13:58,2024-04-12T14:22,8.4,14.84,3.2
216,181,2024-01-04T08:44,2024-01-04T09:07,12.6,19.31,4.8
217,182,2024-03-03T19:13,2024-03-03T19:59,25.3,36.73,4.7
218,177,2024-04-16T13:55,2024-04-16T14:42,24,35.45,4.3
219,47,2024-02-23T15:40,2024-02-23T15:45,2,4.95,4.1
220,99,2024-01-02T08:53,2024-01-02T09:27,18,26.9,4.8
221,239,2024-04-06T06:57,2024-04-06T07:33,13.6,22.36,3.6
222,243,2024-04-30T05:59,2024-04-30T06:49,20.5,32.05,4.2
223,291,2024-01-02T17:26,2024-01-02T17:38,5.6,9.96,3.3
224,362,2024-03-18T17:24,2024-03-18T17:40,8.2,13.42,4.5
225,261,2024-02-06T14:05,2024-02-06T14:12,4.3,7.78,3.6
226,98,2024-03-16T13:42,2024-03-16T14:24,25,35.8,3.2
227,119,2024-01-23T13:35,2024-01-23T13:43,2.5,5.95,4.9
228,388,2024-02-18T17:09,2024-02-18T17:37,9.6,16.76,4.9
229,255,2024-04-06T20:33,2024-04-06T20:41,3.8,7.38,3.2
230,52,2024-04-17T10:36,2024-04-17T10:49,4.4,8.79,3.8
231,133,2024-04-01T12:54,2024-04-01T13:17,11.7,18.32,3.7
232,239,2024-01-29T14:02,2024-01-29T14:34,17.9,26.49,3.3
233,262,2024-04-19T12:03,2024-04-19T12:36,18.1,26.86,3.9
234,346,2024-03-17T17:55,2024-03-17T18:48,35.7,49.22,3.3
235,302,2024-02-06T12:08,2024-02-06T12:17,5.6,9.51,3.6
236,276,2024-01-22T16:50,2024-01-22T17:07,8.6,14.01,3.6
237,263,2024-01-03T14:24,2024-01-03T14:35,6.1,10.36,4.8
238,64,2024-01-05T07:55,2024-01-05T08:18,8.9,15.24,3.9
239,238,2024-04-21T16:08,2024-04-21T16:46,24.8,34.98,4.2
240,329,2024-03-04T05:39,2024-03-04T05:55,6.3,11.33,4.5
241,210,2024-02-05T08:03,2024-02-05T08:35,22,31,4.6
242,370,2024-04-10T12:32,2024-04-10T13:22,16.6,27.76,4.1
243,385,2024-01-01T05:08,2024-01-01T05:24,9.9,15.29,3.6
244,396,2024-03-03T05:39,2024-03-03T06:05,13.1,20.31,4.7
245,182,2024-03-24T06:11,2024-03-24T06:39,11.7,19.07,3.8
246,67,2024-01-02T20:22,2024-01-02T20:28,3,6.2,4.2
247,139,2024-01-05T15:23,2024-01-05T16:00,24.2,34.17,3.2
248,70,2024-03-22T15:52,2024-03-22T16:31,27.2,37.77,3.1
249,264,2024-01-16T13:00,2024-01-16T13:12,6.3,10.73,3.3
250,287,2024-01-27T12:24,2024-01-27T13:19,32.9,46.44,4.4
251,87,2024-03-06T16:42,2024-03-06T17:30,21.5,32.85,4.7
252,285,2024-03-14T09:56,2024-03-14T10:12,10.1,15.51,4.3
253,151,2024-03-15T12:17,2024-03-15T12:36,9.6,15.41,4.8
254,298,2024-03-09T19:31,2024-03-09T20:07,17.9,27.09,4.5
255,380,2024-04-30T20:20,2024-04-30T20:32,4.8,9.08,3.4
256,195,2024-02-24T08:50,2024-02-24T09:16,9.1,15.91,4.9
257,82,2024-03-03T19:22,2024-03-03T20:02,19.5,29.45,3.6
258,48,2024-01-13T18:30,2024-01-13T18:52,7.1,13.11,4.2
259,21,2024-04-16T16:50,2024-04-16T17:26,17.8,26.98,4.9
260,367,2024-04-11T08:33,2024-04-11T08:57,8.2,14.62,3.4
261,297,2024-04-12T13:30,2024-04-12T14:00,14.4,22.34,3.0
262,220,2024-04-09T16:44,2024-04-09T16:54,3.6,7.46,3.2
263,290,2024-04-01T11:03,2024-04-01T11:30,13.7,21.12,3.1
264,310,2024-02-20T13:16,2024-02-20T14:03,17.4,28.19,4.6
265,209,2024-03-19T16:52,2024-03-19T17:38,24.1,35.41,3.9
266,223,2024-01-29T08:34,2024-01-29T09:03,15.8,23.73,3.3
267,277,2024-02-17T20:26,2024-02-17T21:03,12.6,21.41,3.3
268,322,2024-04-29T06:52,2024-04-29T07:40,29.4,41.54,3.8
269,118,2024-02-18T20:41,2024-02-18T20:47,3.6,6.86,3.4
270,100,2024-02-27T20:29,2024-02-27T21:09,26.7,37.37,3.4
271,161,2024-01-01T20:20,2024-01-01T20:43,10.9,17.44,3.8
272,65,2024-01-16T13:04,2024-01-16T13:50,14.3,24.63,3.9
273,238,2024-03-03T08:01,2024-03-03T08:39,25.1,35.31,3.8
274,370,2024-01-05T11:08,2024-01-05T12:01,25.7,38.22,3.4
275,193,2024-03-02T19:31,2024-03-02T20:16,24.9,36.14,3.9
276,264,2024-02-22T10:45,2024-02-22T11:10,9,15.65,5.0
277,253,2024-04-19T06:57,2024-04-19T07:43,14.7,25.07,4.3
278,182,2024-04-27T10:17,2024-04-27T10:48,17.7,26.12,3.7
279,220,2024-04-14T15:53,2024-04-14T16:26,15.7,24.22,3.3
280,331,2024-02-06T21:13,2024-02-06T21:43,18.7,27.07,4.3
281,198,2024-03-11T07:11,2024-03-11T07:19,3.1,6.61,4.4
282,210,2024-04-03T12:42,2024-04-03T12:52,3,6.8,5.0
283,128,2024-02-26T15:38,2024-02-26T16:22,19.7,30.27,4.6
284,315,2024-02-05T17:09,2024-02-05T17:33,8.9,15.39,4.0
285,261,2024-02-10T06:48,2024-02-10T06:59,4.5,8.6,4.9
286,260,2024-03-24T10:39,2024-03-24T10:57,9.8,15.48,4.3
287,7,2024-03-12T16:05,2024-03-12T16:40,0,23.73,3.0
288,371,2024-04-13T18:57,2024-04-13T19:09,7.4,11.94,4.0
289,28,2024-04-07T10:10,2024-04-07T10:50,12.2,21.42,4.5
290,242,2024-03-29T20:53,2024-03-29T21:00,2.4,5.69,4.9
291,328,2024-02-13T20:44,2024-02-13T21:39,26.4,39.29,4.3
292,394,2024-02-18T13:31,2024-02-18T14:10,26.9,37.44,4.3
293,238,2024-04-02T08:22,2024-04-02T08:59,13.1,21.96,3.3
294,242,2024-04-27T07:47,2024-04-27T08:01,6.2,10.92,3.4
295,12,2024-01-31T10:51,2024-01-31T11:19,14.9,22.59,4.9
296,201,2024-03-10T19:19,2024-03-10T19:25,3.4,6.64,3.2
297,276,2024-03-06T06:35,2024-03-06T06:56,10,16.15,3.5
298,288,2024-01-30T14:39,2024-01-30T14:53,8.5,13.45,3.9
299,237,2024-03-30T07:13,2024-03-30T07:59,27.4,39.04,3.3
300,387,2024-02-18T12:00,2024-02-18T12:25,12.7,19.72,4.6
301,51,2024-04-14T20:27,2024-04-14T21:22,19.5,31.7,3.6
302,244,2024-01-03T10:10,2024-01-03T10:30,8.3,14.13,4.5
303,250,2024-02-18T21:09,2024-02-18T21:51,18.7,28.87,4.3
304,124,2024-03-05T06:35,2024-03-05T06:46,4.2,8.27,4.6
305,320,2024-01-26T15:32,2024-01-26T16:09,23.3,33.18,4.4
306,328,2024-04-30T14:22,2024-04-30T15:05,23.5,34.3,4.9
307,371,2024-02-12T12:47,2024-02-12T13:35,16.5,27.35,3.3
308,91,2024-03-16T08:10,2024-03-16T08:31,14.6,21.21,3.9
309,209,2024-04-26T13:15,2024-04-26T14:07,15.8,27.18,4.2
310,336,2024-04-27T16:47,2024-04-27T17:00,6.7,11.32,4.2
311,135,2024-03-21T07:28,2024-03-21T07:39,6.1,10.36,3.3
312,44,2024-01-30T16:56,2024-01-30T17:42,19.9,30.79,3.5
313,275,2024-01-05T18:19,2024-01-05T18:38,8.7,14.42,3.8
314,108,2024-02-25T21:13,2024-02-25T21:35,12.6,19.16,3.2
315,184,2024-01-01T05:30,2024-01-01T05:52,13.9,20.59,4.8
316,252,2024-02-23T06:18,2024-02-23T06:31,4.9,9.34,4.4
317,117,2024-02-10T06:30,2024-02-10T06:54,14.6,21.66,3.4
318,268,2024-04-22T16:04,2024-04-22T16:22,9.3,14.93,3.5
319,298,2024-03-01T08:00,2024-03-01T08:19,6.8,12.33,4.3
320,154,2024-01-21T10:36,2024-01-21T10:45,3.4,7.09,4.8
321,216,2024-03-09T13:39,2024-03-09T14:17,18.2,27.72,4.1
322,204,2024-04-18T20:54,2024-04-18T21:09,6.8,11.73,4.6
323,41,2024-04-29T10:35,2024-04-29T11:17,23.9,34.59,3.5
324,244,2024-03-02T05:18,2024-03-02T06:08,34.9,47.89,3.2
325,4,2024-02-12T08:51,2024-02-12T09:10,7.9,13.54,3.3
326,317,2024-01-28T11:37,2024-01-28T12:04,8.9,15.84,3.2
327,205,2024-03-10T10:58,2024-03-10T11:33,16.8,25.73,4.9
328,266,2024-03-02T16:05,2024-03-02T16:39,18.2,27.12,3.7
329,255,2024-04-10T08:53,2024-04-10T09:11,8,13.5,4.7
330,243,2024-01-02T18:12,2024-01-02T18:17,2.1,5.06,4.5
331,52,2024-01-07T08:04,2024-01-07T08:25,13.9,20.44,3.6
332,337,2024-04-28T10:38,2024-04-28T11:20,18.8,28.98,4.4
333,167,2024-04-18T06:00,2024-04-18T06:32,17.4,25.94,3.1
334,177,2024-02-20T09:41,2024-02-20T10:19,11.6,20.46,4.6
335,28,2024-04-11T07:40,2024-04-11T07:52,7.9,12.49,4.3
336,354,2024-04-20T11:32,2024-04-20T12:03,13.7,21.72,3.4
337,318,2024-03-11T12:28,2024-03-11T12:46,10.4,16.14,3.5
338,313,2024-01-25T07:49,2024-01-25T08:18,18.6,26.81,4.1
339,73,2024-03-28T10:56,2024-03-28T11:26,11.8,19.48,3.3
340,298,2024-01-19T16:28,2024-01-19T17:16,26.5,38.35,4.8
341,134,2024-01-28T15:38,2024-01-28T16:19,27.7,38.62,4.0
342,257,2024-02-14T21:00,2024-02-14T21:29,16.8,24.83,3.8
343,279,2024-01-25T05:23,2024-01-25T06:02,19.1,28.86,3.1
344,302,2024-03-06T16:23,2024-03-06T16:32,4.4,8.19,3.6
345,295,2024-01-13T15:45,2024-01-13T16:00,6.4,11.29,4.5
346,197,2024-02-06T12:51,2024-02-06T13:43,34.4,47.64,4.8
347,121,2024-02-19T12:58,2024-02-19T13:14,8.1,13.31,4.5
348,294,2024-01-16T20:43,2024-01-16T21:22,13.3,22.48,3.2
349,322,2024-01-22T09:45,2024-01-22T10:12,12.1,19.36,4.8
350,400,2024-03-07T09:15,2024-03-07T10:03,19.6,30.76,3.1
351,213,2024-01-30T18:00,2024-01-30T18:49,22.1,33.66,3.2
352,354,2024-04-18T21:08,2024-04-18T22:01,23.6,35.91,3.5
353,303,2024-04-22T05:16,2024-04-22T05:42,12.6,19.76,4.1
354,241,2024-01-05T10:25,2024-01-05T10:55,18.7,27.07,4.7
355,187,2024-02-19T08:49,2024-02-19T09:43,25.9,38.59,3.8
356,201,2024-01-12T10:30,2024-01-12T11:22,18.2,29.82,4.3
357,331,2024-01-31T14:56,2024-01-31T15:01,2.2,5.17,3.6
358,352,2024-04-27T08:27,2024-04-27T08:32,2.2,5.17,4.1
359,300,2024-03-19T16:25,2024-03-19T16:57,21.3,30.23,4.7
360,207,2024-01-18T07:07,2024-01-18T07:20,6.7,11.32,3.6
361,71,2024-02-21T14:03,2024-02-21T14:55,19.4,31.14,3.7
362,290,2024-01-28T09:52,2024-01-28T10:47,36.2,50.07,3.5
363,366,2024-04-23T16:21,2024-04-23T17:09,25.5,37.25,4.5
364,331,2024-01-05T17:25,2024-01-05T18:03,12.8,21.78,3.3
365,59,2024-01-18T12:01,2024-01-18T12:30,14.2,21.97,3.4
366,145,2024-02-09T13:29,2024-02-09T13:45,10.8,16.28,3.9
367,5,2024-04-10T11:02,2024-04-10T11:39,0,14.2,3.7
368,373,2024-04-12T13:28,2024-04-12T13:53,15.3,22.58,4.1
369,371,2024-03-18T19:04,2024-03-18T19:17,4.6,9.01,5.0
