date,store,category,units,unit_price,discount_pct,payment_method
2024-01-10,Ajah,Pots,2,3000,0,cash
2024-01-10,Ajah,Furniture,2,26000,0,transfer
2024-01-10,Maryland,Tools,5,8000,0.05,card
2024-01-10,Maryland,Plants,3,4500,0,transfer
2024-01-10,Maryland,Tools,1,8000,0,card
2024-01-11,Ikeja,Soil,5,2200,0,transfer
2024-01-11,Ikeja,Soil,5,2200,0,card
2024-01-11,Ikeja,Other,4,1500,0.1,transfer
2024-01-11,Lekki,Tools,2,8000,0,card
2024-01-11,Yaba,Tools,4,8000,0,transfer
2024-01-11,Surulere,Soil,2,2200,0.1,card
2024-01-11,Surulere,Plants,1,4500,0.1,card
2024-01-11,Ajah,Pots,2,3000,0,card
2024-01-11,Maryland,Plants,3,4500,0,cash
2024-01-11,Maryland,Soil,1,2200,0,transfer
2024-01-11,Maryland,Tools,1,8000,0.05,card
2024-01-12,Ikeja,Tools,4,8000,0,transfer
2024-01-12,Lekki,Furniture,5,26000,0,transfer
2024-01-12,Lekki,Tools,1,8000,0.25,cash
2024-01-12,Yaba,Plants,6,4500,0,card
2024-01-12,Yaba,Other,1,1500,0.05,cash
2024-01-12,Yaba,Tools,5,8000,0,transfer
2024-01-12,Surulere,Soil,2,2200,0,cash
2024-01-12,Ajah,Tools,5,8000,0.05,transfer
2024-01-12,Ajah,Other,1,1500,0.05,transfer
2024-01-12,Ajah,Plants,6,4500,0.05,transfer
2024-01-12,Maryland,Soil,5,2200,0.05,cash
2024-01-13,Ikeja,Plants,2,4500,0,cash
2024-01-13,Lekki,Plants,4,4500,0.1,cash
2024-01-13,Lekki,Pots,6,3000,0.3,cash
2024-01-13,Lekki,Furniture,6,26000,0.05,card
2024-01-13,Lekki,Furniture,0,3000,0,cash
2024-01-13,Yaba,Furniture,5,26000,0,card
2024-01-13,Yaba,Pots,2,3000,0,transfer
2024-01-13,Surulere,Furniture,6,26000,0,transfer
2024-01-13,Surulere,Furniture,3,26000,0.05,transfer
2024-01-13,Surulere,Furniture,4,26000,0.1,card
2024-01-13,Ajah,Soil,2,2200,0.05,transfer
2024-01-13,Ajah,Soil,3,2200,0,transfer
2024-01-13,Ajah,Tools,2,8000,0,card
2024-01-13,Maryland,Furniture,3,26000,0,card
2024-01-13,Maryland,Pots,4,3000,0.05,card
2024-01-13,Maryland,Furniture,5,26000,0,transfer
2024-01-14,Ikeja,Plants,5,4500,0,card
2024-01-14,Ikeja,Plants,1,4500,0,card
2024-01-14,Lekki,Tools,4,8000,0,card
2024-01-14,Lekki,Plants,3,4500,0,card
2024-01-14,Lekki,Pots,1,3000,0.1,cash
2024-01-14,Yaba,Other,6,1500,0,cash
2024-01-14,Surulere,Other,4,1500,0.05,transfer
2024-01-14,Surulere,Furniture,3,26000,0,card
2024-01-14,Surulere,Other,1,1500,0.05,transfer
2024-01-14,Ajah,Other,3,1500,0,card
2024-01-14,Ajah,Other,6,1500,0,card
2024-01-14,Maryland,Soil,1,2200,0,transfer
2024-01-14,Maryland,Plants,3,4500,0.05,cash
2024-01-14,Maryland,Tools,1,8000,0,transfer
2024-01-15,Ikeja,Other,4,1500,0.05,cash
2024-01-15,Ikeja,Tools,2,8000,0,transfer
2024-01-15,Ikeja,Furniture,2,26000,0.05,cash
2024-01-15,Lekki,Pots,3,3000,0,transfer
2024-01-15,Yaba,Furniture,3,26000,0,card
2024-01-15,Yaba,Other,4,1500,0.05,transfer
2024-01-15,Surulere,Other,1,1500,0,cash
2024-01-15,Surulere,Pots,1,3000,0,transfer
2024-01-15,Ajah,Other,5,1500,0,card
2024-01-15,Ajah,Soil,2,2200,0.1,transfer
2024-01-15,Ajah,Furniture,2,26000,0,card
2024-01-15,Maryland,Plants,6,4500,0,card
2024-01-15,Maryland,Other,1,1500,0.05,cash
2024-01-15,Maryland,Tools,6,8000,0,card
2024-01-16,Ikeja,Pots,4,3000,0.1,transfer
2024-01-16,Ikeja,Soil,1,2200,0,transfer
2024-01-16,Lekki,Plants,6,4500,0.2,cash
2024-01-16,Lekki,Furniture,3,26000,0,transfer
2024-01-16,Lekki,Other,3,1500,0.1,card
2024-01-16,Yaba,Pots,6,3000,0,cash
2024-01-16,Yaba,Pots,2,3000,0,card
2024-01-16,Surulere,Soil,6,2200,0.1,card
2024-01-16,Surulere,Pots,1,3000,0,card
2024-01-16,Ajah,Pots,4,3000,0.05,cash
2024-01-16,Maryland,Other,3,1500,0.05,transfer
2024-01-17,Ikeja,Plants,3,4500,0,card
2024-01-17,Ikeja,Tools,1,8000,0,card
2024-01-17,Ikeja,Soil,4,2200,0,card
2024-01-17,Lekki,Furniture,4,26000,0,cash
2024-01-17,Lekki,Tools,1,8000,0,card
2024-01-17,Lekki,Plants,1,4500,0,card
2024-01-17,Yaba,Pots,1,3000,0,transfer
2024-01-17,Surulere,Other,5,1500,0,transfer
2024-01-17,Surulere,Pots,5,3000,0,card
2024-01-17,Surulere,Pots,4,,0.05,cash
2024-01-17,Ajah,Furniture,4,26000,0,cash
2024-01-17,Ajah,Other,6,1500,0.1,card
2024-01-17,Maryland,Furniture,2,26000,0,card
2024-01-18,Ikeja,Soil,5,2200,0,transfer
2024-01-18,Ikeja,Other,4,1500,0.1,cash
2024-01-18,Ikeja,Soil,1,2200,0.05,transfer
2024-01-18,Lekki,Pots,5,3000,0.05,card
2024-01-18,Yaba,Pots,4,3000,0,cash
2024-01-18,Yaba,Tools,6,8000,0,card
2024-01-18,Surulere,Furniture,2,,0,card
2024-01-18,Ajah,Furniture,2,26000,0,transfer
2024-01-18,Ajah,Other,5,1500,0.05,card
2024-01-18,Maryland,Plants,6,4500,0,card
2024-01-18,Maryland,Furniture,5,26000,0,card
2024-01-19,Ikeja,Other,2,1500,0,cash
2024-01-19,Ikeja,Tools,1,8000,0.05,cash
2024-01-19,Ikeja,Soil,1,2200,0,card
2024-01-19,Lekki,Tools,2,8000,0,cash
2024-01-19,Yaba,Soil,4,2200,0.1,card
2024-01-19,Surulere,Furniture,1,26000,0,card
2024-01-19,Ajah,Pots,3,3000,0,transfer
2024-01-19,Ajah,Plants,1,4500,0,cash
2024-01-19,Maryland,Furniture,3,26000,0,card
2024-01-19,Maryland,Other,1,1500,0.1,transfer
2024-01-20,Ikeja,Pots,2,3000,0,transfer
2024-01-20,Ikeja,Pots,5,3000,0.1,card
2024-01-20,Lekki,Furniture,2,26000,0.1,cash
2024-01-20,Lekki,Other,2,1500,0.1,cash
2024-01-20,Lekki,Furniture,6,26000,0.1,card
2024-01-20,Yaba,Furniture,2,26000,0,cash
2024-01-20,Surulere,Plants,3,4500,0,transfer
2024-01-20,Surulere,Tools,1,8000,0,card
2024-01-20,Surulere,Soil,6,2200,0,transfer
2024-01-20,Ajah,Other,6,1500,0,cash
2024-01-20,Ajah,Tools,1,8000,0,transfer
2024-01-20,Maryland,Plants,5,4500,0.05,cash
2024-01-20,Maryland,Tools,6,8000,0,transfer
2024-01-20,Maryland,Other,6,1500,0,card
2024-01-21,Ikeja,Soil,6,2200,0.05,cash
2024-01-21,Ikeja,Tools,1,8000,0.05,card
2024-01-21,Lekki,Other,5,1500,0.3,cash
2024-01-21,Lekki,Pots,3,3000,0.05,card
2024-01-21,Lekki,Tools,0,8000,0,cash
2024-01-21,Lekki,Soil,0,3000,0,cash
2024-01-21,Yaba,Other,3,1500,0.1,transfer
2024-01-21,Yaba,Plants,4,4500,0,transfer
2024-01-21,Yaba,Furniture,5,26000,0,cash
2024-01-21,Surulere,Other,5,1500,0,cash
2024-01-21,Surulere,Tools,2,8000,0,card
2024-01-21,Surulere,Other,2,1500,0.1,cash
2024-01-21,Ajah,Furniture,3,26000,0.05,transfer
2024-01-21,Ajah,Soil,1,2200,0,cash
2024-01-21,Ajah,Pots,6,3000,0.1,cash
2024-01-21,Maryland,Tools,2,8000,0.1,transfer
2024-01-21,Maryland,Furniture,3,26000,0.1,transfer
2024-01-21,Maryland,Tools,3,8000,0,cash
2024-01-22,Ikeja,Soil,1,2200,0.05,card
2024-01-22,Ikeja,Other,6,1500,0,transfer
2024-01-22,Ikeja,Furniture,4,26000,0.05,cash
2024-01-22,Lekki,Plants,1,4500,0.1,card
2024-01-22,Yaba,Pots,1,3000,0,transfer
2024-01-22,Surulere,Furniture,1,26000,0,transfer
2024-01-22,Surulere,Other,4,1500,0,transfer
2024-01-22,Ajah,Furniture,1,26000,0.1,transfer
2024-01-22,Maryland,Other,2,1500,0,transfer
2024-01-22,Maryland,Plants,3,4500,0.05,transfer
2024-01-23,Ikeja,Tools,3,8000,0,cash
2024-01-23,Lekki,Pots,1,3000,0,card
2024-01-23,Lekki,Soil,3,2200,0,card
2024-01-23,Lekki,Furniture,1,26000,0,card
2024-01-23,Yaba,Plants,0,4500,0.05,card
2024-01-23,Surulere,Soil,5,2200,0.1,transfer
2024-01-23,Surulere,Furniture,4,26000,0.1,card
2024-01-23,Ajah,Furniture,1,26000,0,card
2024-01-23,Maryland,Pots,6,3000,0.1,card
2024-01-23,Maryland,Tools,4,8000,0,card
2024-01-24,Ikeja,Furniture,4,26000,0,cash
2024-01-24,Ikeja,Furniture,4,26000,0,card
2024-01-24,Lekki,Tools,3,8000,0.05,transfer
2024-01-24,Yaba,Furniture,5,26000,0.1,card
2024-01-24,Surulere,Pots,1,3000,0.1,cash
2024-01-24,Surulere,Plants,6,4500,0,transfer
2024-01-24,Surulere,Plants,6,4500,0.05,transfer
2024-01-24,Ajah,Furniture,2,26000,0,card
2024-01-24,Maryland,Other,5,1500,0.1,cash
2024-01-24,Maryland,Soil,5,,0,cash
2024-01-24,Maryland,Tools,2,8000,0,transfer
2024-01-25,Ikeja,Tools,3,8000,0,transfer
2024-01-25,Lekki,Plants,2,4500,0,card
2024-01-25,Lekki,Tools,4,,0.05,card
2024-01-25,Yaba,Soil,1,2200,0,cash
2024-01-25,Yaba,Soil,1,2200,0,transfer
2024-01-25,Surulere,Tools,2,8000,0.1,cash
2024-01-25,Surulere,Soil,4,2200,0,transfer
2024-01-25,Surulere,Furniture,5,26000,0,transfer
2024-01-25,Ajah,Other,5,1500,0.05,transfer
2024-01-25,Ajah,Soil,1,2200,0,cash
2024-01-25,Ajah,Plants,2,4500,0.05,card
2024-01-25,Maryland,Furniture,3,,0,transfer
2024-01-25,Maryland,Other,2,1500,0.1,cash
2024-01-26,Ikeja,Pots,1,3000,0,card
2024-01-26,Ikeja,Other,3,1500,0,card
2024-01-26,Lekki,Pots,2,3000,0,transfer
2024-01-26,Lekki,Tools,0,8000,0,cash
2024-01-26,Yaba,Furniture,3,26000,0.05,cash
2024-01-26,Yaba,Tools,4,8000,0,card
2024-01-26,Yaba,Furniture,5,26000,0,transfer
2024-01-26,Surulere,Soil,3,2200,0.05,transfer
2024-01-26,Surulere,Soil,3,2200,0,card
2024-01-26,Ajah,Pots,6,3000,0,card
2024-01-26,Maryland,Soil,4,2200,0.1,card
2024-01-26,Maryland,Furniture,1,26000,0,cash
2024-01-27,Ikeja,Tools,5,8000,0,transfer
2024-01-27,Ikeja,Pots,3,3000,0,card
2024-01-27,Ikeja,Plants,5,4500,0,card
2024-01-27,Lekki,Pots,2,3000,0.35,cash
2024-01-27,Lekki,Plants,1,4500,0,card
2024-01-27,Yaba,Tools,3,8000,0.05,card
2024-01-27,Yaba,Soil,6,2200,0,transfer
2024-01-27,Surulere,Tools,1,8000,0,cash
2024-01-27,Ajah,Other,6,1500,0.05,transfer
2024-01-27,Ajah,Other,4,1500,0,cash
2024-01-27,Ajah,Soil,5,2200,0.05,transfer
2024-01-27,Maryland,Furniture,6,26000,0.1,cash
2024-01-27,Maryland,Other,6,1500,0,card
2024-01-27,Maryland,Soil,2,2200,0,cash
2024-01-28,Ikeja,Other,4,1500,0.05,transfer
2024-01-28,Ikeja,Plants,3,4500,0,cash
2024-01-28,Ikeja,Furniture,4,26000,0,cash
2024-01-28,Lekki,Furniture,2,26000,0.35,cash
2024-01-28,Lekki,Plants,1,4500,0,card
2024-01-28,Lekki,Furniture,1,26000,0,transfer
2024-01-28,Lekki,Tools,0,8000,0,cash
2024-01-28,Yaba,Tools,4,8000,0,card
2024-01-28,Yaba,Furniture,4,26000,0,card
2024-01-28,Yaba,Plants,2,4500,0,card
2024-01-28,Surulere,Furniture,6,26000,0,cash
2024-01-28,Surulere,Plants,1,4500,0.1,card
2024-01-28,Surulere,Other,5,1500,0.05,transfer
2024-01-28,Ajah,Pots,2,3000,0.1,transfer
2024-01-28,Ajah,Plants,6,4500,0.05,card
2024-01-28,Maryland,Pots,2,3000,0.1,card
2024-01-28,Maryland,Furniture,5,26000,0.1,transfer
2024-01-28,Maryland,Tools,1,8000,0.1,transfer
2024-01-29,Ikeja,Plants,4,4500,0.1,cash
2024-01-29,Ikeja,Furniture,2,26000,0,transfer
2024-01-29,Lekki,Other,5,1500,0,card
2024-01-29,Lekki,Soil,1,2200,0,transfer
2024-01-29,Yaba,Tools,4,8000,0.1,card
2024-01-29,Yaba,Plants,2,4500,0,transfer
2024-01-29,Yaba,Plants,1,4500,0.1,transfer
2024-01-29,Surulere,Other,2,1500,0,transfer
2024-01-29,Ajah,Furniture,6,26000,0,card
2024-01-29,Maryland,Pots,5,3000,0,cash
2024-01-29,Maryland,Furniture,4,26000,0,card
2024-01-29,Maryland,Pots,3,3000,0,card
2024-01-30,Ikeja,Plants,5,4500,0,card
2024-01-30,Ikeja,Other,6,1500,0,card
2024-01-30,Lekki,Other,1,1500,0,card
2024-01-30,Lekki,Tools,5,8000,0,card
2024-01-30,Lekki,Furniture,0,3000,0,cash
2024-01-30,Lekki,Soil,0,4500,0,cash
2024-01-30,Lekki,Other,0,4500,0,cash
2024-01-30,Yaba,Other,4,1500,0.05,card
2024-01-30,Yaba,Soil,6,2200,0,transfer
2024-01-30,Surulere,Plants,6,4500,0,cash
2024-01-30,Ajah,Tools,1,8000,0.05,cash
2024-01-30,Ajah,Other,1,1500,0.1,cash
2024-01-30,Maryland,Tools,3,8000,0.1,card
2024-01-31,Ikeja,Plants,5,4500,0.05,transfer
2024-01-31,Ikeja,Soil,5,2200,0,card
2024-01-31,Ikeja,Furniture,1,26000,0,cash
2024-01-31,Lekki,Tools,3,8000,0,card
2024-01-31,Lekki,Pots,4,,0,transfer
2024-01-31,Yaba,Tools,6,8000,0,card
2024-01-31,Surulere,Tools,3,8000,0.05,transfer
2024-01-31,Surulere,Soil,2,2200,0,card
2024-01-31,Surulere,Other,5,1500,0,transfer
2024-01-31,Ajah,Furniture,6,26000,0,cash
2024-01-31,Ajah,Tools,2,8000,0,transfer
2024-01-31,Maryland,Furniture,1,26000,0.05,transfer
2024-01-31,Maryland,Furniture,6,26000,0,transfer
2024-01-31,Maryland,Other,5,1500,0.1,card
2024-02-01,Ikeja,Plants,2,4500,0.05,cash
2024-02-01,Ikeja,Soil,4,2200,0,cash
2024-02-01,Lekki,Plants,2,4500,0,transfer
2024-02-01,Lekki,Tools,5,8000,0.1,card
2024-02-01,Yaba,Other,6,1500,0,card
2024-02-01,Yaba,Plants,5,4500,0,cash
2024-02-01,Yaba,Pots,6,3000,0.05,cash
2024-02-01,Surulere,Soil,6,2200,0.05,card
2024-02-01,Ajah,Plants,4,4500,0.05,cash
2024-02-01,Ajah,Tools,1,8000,0.05,cash
2024-02-01,Maryland,Plants,3,4500,0,cash
2024-02-01,Maryland,Pots,6,3000,0.05,transfer
2024-02-02,Ikeja,Furniture,6,26000,0,transfer
2024-02-02,Lekki,Tools,3,8000,0.05,transfer
2024-02-02,Yaba,Other,3,1500,0.05,cash
2024-02-02,Yaba,Tools,6,8000,0,cash
2024-02-02,Yaba,Soil,5,2200,0.05,card
2024-02-02,Surulere,Soil,4,2200,0,cash
2024-02-02,Surulere,Furniture,1,26000,0,transfer
2024-02-02,Ajah,Tools,3,8000,0.05,cash
2024-02-02,Maryland,Furniture,6,26000,0,transfer
2024-02-02,Maryland,Soil,2,2200,0,transfer
2024-02-02,Maryland,Furniture,6,26000,0,transfer
2024-02-03,Ikeja,Other,6,1500,0,card
2024-02-03,Ikeja,Furniture,3,26000,0,cash
2024-02-03,Lekki,Plants,5,4500,0,cash
2024-02-03,Lekki,Soil,1,2200,0.1,transfer
2024-02-03,Lekki,Pots,3,3000,0.1,card
2024-02-03,Yaba,Tools,2,8000,0,transfer
2024-02-03,Yaba,Plants,4,4500,0,cash
2024-02-03,Yaba,Pots,3,3000,0,card
2024-02-03,Surulere,Other,4,1500,0,cash
2024-02-03,Surulere,Other,6,1500,0.1,card
2024-02-03,Surulere,Tools,4,8000,0,card
2024-02-03,Ajah,Plants,6,4500,0,cash
2024-02-03,Ajah,Pots,2,3000,0.05,transfer
2024-02-03,Ajah,Other,5,1500,0.1,transfer
2024-02-03,Maryland,Plants,5,4500,0,transfer
2024-02-04,Ikeja,Pots,4,3000,0,card
2024-02-04,Ikeja,Soil,1,2200,0.05,card
2024-02-04,Lekki,Plants,5,4500,0.1,cash
2024-02-04,Lekki,Tools,0,4500,0,cash
2024-02-04,Lekki,Furniture,0,3000,0,cash
2024-02-04,Lekki,Furniture,0,3000,0,cash
2024-02-04,Yaba,Pots,5,3000,0,card
2024-02-04,Yaba,Plants,2,4500,0.1,card
2024-02-04,Surulere,Other,2,1500,0.05,card
2024-02-04,Surulere,Soil,4,2200,0.1,card
2024-02-04,Surulere,Soil,5,2200,0.1,cash
2024-02-04,Ajah,Furniture,3,26000,0.1,cash
2024-02-04,Maryland,Pots,4,3000,0,card
2024-02-04,Maryland,Tools,4,8000,0.1,card
2024-02-05,Ikeja,Pots,3,3000,0.05,transfer
2024-02-05,Ikeja,Other,3,1500,0,cash
2024-02-05,Ikeja,Pots,1,3000,0,cash
2024-02-05,Lekki,Pots,6,3000,0.1,card
2024-02-05,Lekki,Pots,5,3000,0,transfer
2024-02-05,Lekki,Tools,0,3000,0,cash
2024-02-05,Yaba,Tools,1,8000,0,transfer
2024-02-05,Yaba,Furniture,2,26000,0,transfer
2024-02-05,Surulere,Tools,4,8000,0,cash
2024-02-05,Surulere,Plants,5,4500,0.1,transfer
2024-02-05,Ajah,Pots,1,3000,0.1,transfer
2024-02-05,Maryland,Pots,4,3000,0,cash
2024-02-05,Maryland,Furniture,2,26000,0,cash
2024-02-05,Maryland,Pots,4,3000,0,transfer
2024-02-06,Ikeja,Plants,5,4500,0.05,card
2024-02-06,Lekki,Pots,5,3000,0.05,card
2024-02-06,Leki,Other,2,1500,0,cash
2024-02-06,Yaba,Plants,2,4500,0,cash
2024-02-06,Yaba,Tools,2,8000,0,cash
2024-02-06,Surulere,Tools,4,8000,0,card
2024-02-06,Surulere,Plants,4,4500,0,transfer
2024-02-06,Surulere,Plants,6,4500,0,cash
2024-02-06,Ajah,Plants,4,4500,0,transfer
2024-02-06,Ajah,Soil,4,2200,0,cash
2024-02-06,Ajah,Pots,4,3000,0.05,cash
2024-02-06,Maryland,Soil,6,2200,0,card
2024-02-06,Maryland,Furniture,4,26000,0.1,cash
2024-02-06,Maryland,Plants,2,4500,0.1,card
2024-02-07,Ikeja,Plants,5,4500,0,cash
2024-02-07,Lekki,Plants,4,4500,0.05,transfer
2024-02-07,Lekki,Soil,6,2200,0.1,transfer
2024-02-07,Lekki,Plants,3,4500,0,cash
2024-02-07,Yaba,Soil,2,2200,0.1,cash
2024-02-07,Surulere,Furniture,3,26000,0.1,cash
2024-02-07,Surulere,Tools,4,8000,0.05,cash
2024-02-07,Ajah,Other,1,1500,0.1,card
2024-02-07,Ajah,Tools,1,8000,0.05,card
2024-02-07,Ajah,Pots,3,3000,0.1,cash
2024-02-07,Maryland,Other,5,1500,0,cash
2024-02-08,Ikeja,Pots,5,3000,0.1,transfer
2024-02-08,Ikeja,Tools,1,8000,0.05,transfer
2024-02-08,Lekki,Pots,1,3000,0,card
2024-02-08,Lekki,Other,4,1500,0.35,cash
2024-02-08,Yaba,Furniture,1,26000,0.1,card
2024-02-08,Yaba,Soil,6,2200,0,cash
2024-02-08,Yaba,Other,3,1500,0,cash
2024-02-08,Surulere,Soil,2,2200,0,transfer
2024-02-08,Ajah,Furniture,6,26000,0,card
2024-02-08,Ajah,Furniture,5,26000,0,card
2024-02-08,Maryland,Pots,2,3000,0.05,card
2024-02-08,Maryland,Tools,4,8000,0,transfer
