listing_id,city,listed_date,sold_date,bedrooms,area,price
113,Ibadan,2024-03-18,2024-06-09,5,212,912000
114,Lagos,2024-10-31,2024-01-13,3,123,549000
115,Ibadan,2024-10-23,2024-04-16,2,85,279000
116,Lagos,2024-11-11,2024-01-25,5,210,903000
117,Abuja,2024-01-10,2024-02-11,2,82,172000
118,Lagos,2024-01-23,2024-02-21,2,117,572000
119,Ibadan,2024-05-09,2024-07-27,2,101,358000
120,Ibadan,2024-05-13,2024-05-30,1,70,411000
121,Ibadan,2024-10-09,2024-04-06,5,232,1070000
122,Ibadan,2024-05-08,2024-10-12,1,77,182000
123,Abuja,2024-11-28,2024-01-15,4,174,664000
124,Lagos,2024-03-10,2024-06-07,3,139,601000
125,PH,2024-06-17,2024-10-09,5,199,957000
126,Abuja,2024-03-08,2024-06-14,4,160,403000
127,PH,2024-08-16,2024-10-31,1,44,203000
128,PH,2024-11-29,2024-03-08,4,169,883000
129,PH,2024-03-22,2024-07-22,4,164,697000
130,PH,2024-03-30,2024-07-01,2,95,345000
131,Abuja,2024-02-01,2024-02-21,5,205,626000
132,Ibadan,2024-12-19,2024-01-29,5,195,658000
133,Lagos,2024-05-26,2024-06-15,5,190,883000
134,PH,2024-12-25,2024-05-29,5,206,877000
135,Abuja,2024-05-09,2024-09-20,5,226,848000
136,PH,2024-03-18,2024-07-19,3,153,385000
137,PH,2024-08-23,2024-09-30,3,111,584000
138,Lagos,2024-03-10,2024-06-20,4,196,907000
139,Abuja,2024-05-12,2024-07-31,2,93,245000
140,Lagos,2024-10-03,2024-02-05,5,236,1076000
141,Lagos,2024-09-22,2024-03-16,5,231,830000
142,Abuja,2024-02-03,2024-05-14,4,153,499000
143,Ibadan,2024-06-04,2024-11-07,3,123,487000
144,Abuja,2024-07-28,2024-11-03,4,182,517000
145,PH,2024-08-09,2024-10-02,5,217,674000
146,Abuja,2024-05-21,2024-06-08,4,160,550000
147,PH,2024-08-12,2024-12-21,5,216,1143000
148,Ibadan,2024-10-11,2024-12-21,5,214,713000
149,Lagos,2024-04-11,2024-09-12,1,30,87000
150,Ibadan,2024-05-20,2024-10-02,5,202,496000
151,PH,2024-01-26,2024-06-07,2,78,268000
152,PH,2024-09-25,2024-12-09,5,230,1090000
153,PH,2024-02-07,2024-06-16,2,103,565000
154,PH,2024-10-15,2024-03-17,4,176,611000
155,PH,2024-01-24,2024-07-07,4,190,625000
156,Abuja,2024-08-23,2024-02-12,5,236,799000
157,Ibadan,2024-08-13,2024-09-26,1,50,265000
158,Ibadan,2024-01-18,2024-04-05,2,108,299000
159,Lagos,2024-02-09,2024-06-30,5,211,597000
160,Lagos,2024-08-02,2024-01-02,2,117,475000
161,Ibadan,2024-05-18,2024-07-12,2,1066,636000
162,PH,2024-05-26,2024-08-24,3,111,578000
163,Lagos,2024-06-30,2024-09-28,2,96,534000
164,Lagos,2024-02-15,2024-04-29,5,232,1102000
165,Ibadan,2024-10-14,2024-01-31,4,150,558000
166,Ibadan,2024-04-08,2024-05-29,2,101,459000
167,Ibadan,2024-09-08,2024-03-07,3,155,854000
168,PH,2024-05-26,2024-10-03,4,162,577000
169,PH,2024-05-21,2024-10-05,4,190,950000
170,PH,2024-01-04,2024-03-03,4,151,568000
171,Lagos,2024-07-28,2024-10-11,3,145,649000
172,Abuja,2024-05-26,2024-11-02,4,174,642000
173,Abuja,2024-04-06,2024-07-13,4,165,425000
174,Ibadan,2024-04-15,2024-08-28,4,194,611000
175,Lagos,2024-10-30,2024-04-08,2,83,314000
176,Lagos,2024-08-10,2024-09-07,3,134,664000
177,Ibadan,2024-07-15,2024-01-04,3,1249,407000
178,Abuja,2024-02-26,2024-05-16,3,153,364000
179,PH,2024-01-06,2024-02-10,4,1701,402000
180,PH,2024-01-16,2024-07-02,5,224,777000
181,Abuja,2024-04-04,2024-03-29,5,197,504000
182,PH,2024-04-15,2024-07-05,4,199,614000
183,Abuja,2024-03-10,2024-08-02,1,41,13000
184,Abuja,2024-02-06,2024-06-23,1,431,159000
185,Lagos,2024-12-02,2024-04-14,4,158,767000
186,Abuja,2024-11-30,2024-01-27,5,199,826000
187,PH,2024-02-16,2024-03-28,4,170,882000
188,Lagos,2024-10-09,2024-03-03,5,207,716000
189,PH,2024-01-23,2024-05-21,1,51,172000
190,Abuja,2024-01-08,2024-03-14,2,112,414000
191,Ibadan,2024-06-26,2024-07-18,3,142,377000
192,Ibadan,2024-08-12,2024-11-17,4,169,611000
193,Abuja,2024-04-18,2024-08-19,1,74,365000
194,PH,2024-03-05,2024-04-04,5,233,1242000
195,Ibadan,2024-03-11,2024-08-07,3,132,654000
196,Ibadan,2024-08-15,2024-08-30,5,202,1041000
197,Ibadan,2024-05-05,2024-08-03,2,104,397000
198,Lagos,2024-10-29,2024-10-12,3,1464,466000
199,Abuja,2024-01-23,2024-03-09,1,64,269000
200,Lagos,2024-03-30,2024-08-24,2,775,213000
201,Ibadan,2024-07-13,2024-07-07,3,113,626000
202,PH,2024-04-30,2024-05-13,4,165,709000
203,Abuja,2024-09-10,2024-10-31,1,73,207000
204,PH,2024-10-17,2024-12-16,4,189,882000
205,Ibadan,2024-06-26,2024-11-25,3,148,509000
206,Lagos,2024-04-27,2024-09-28,2,103,371000
207,Ibadan,2024-05-28,2024-08-01,2,106,366000
208,Ibadan,2024-06-16,2024-09-18,5,199,890000
209,PH,2024-01-27,2024-05-27,3,119,355000
210,Lagos,2024-11-21,2024-01-15,2,87,408000
211,PH,2024-06-08,2024-11-24,4,195,549000
212,Lagos,2024-09-22,2024-11-24,1,78,407000
213,Abuja,2024-05-07,2024-06-05,2,104,357000
214,Lagos,2024-06-01,2024-10-18,4,188,646000
215,Lagos,2024-01-02,2024-03-19,2,90,298000
216,Lagos,2024-08-09,2024-09-26,3,142,727000
217,Ibadan,2024-07-27,2024-10-23,5,234,1017000
218,Lagos,2024-09-07,2024-11-01,2,108,511000
219,Ibadan,2024-01-02,2024-04-19,2,116,218000
220,Abuja,2024-09-15,2024-01-06,1,31,204000
221,Abuja,2024-03-27,2024-06-18,3,132,521000
222,Abuja,2024-04-18,2024-05-14,3,125,255000
223,Ibadan,2024-11-15,2024-04-17,4,179,610000
224,Abuja,2024-02-21,2024-06-22,3,155,620000
225,PH,2024-12-18,2024-02-07,3,153,744000
226,Abuja,2024-10-07,2024-03-13,5,194,928000
227,Lagos,2024-10-07,2024-04-02,4,178,827000
228,Abuja,2024-02-22,2024-05-13,1,62,395000
229,Lagos,2024-08-24,2024-11-25,1,80,246000
230,Abuja,2024-03-27,2024-06-22,2,89,293000
231,Lagos,2024-02-29,2024-04-04,5,234,603000
232,Ibadan,2024-06-30,2024-10-22,2,118,343000
233,Ibadan,2024-04-26,2024-05-24,5,231,997000
234,Ibadan,2024-07-10,2024-12-28,5,217,747000
235,PH,2024-04-04,2024-08-28,4,196,527000
236,Ibadan,2024-08-16,2024-12-12,3,139,832000
237,Lagos,2024-07-30,2024-10-02,3,118,416000
238,Lagos,2024-11-03,2024-02-13,1,69,196000
239,Abuja,2024-02-18,2024-06-14,3,124,375000
240,Abuja,2024-01-21,2024-04-22,3,156,560000
241,Ibadan,2024-06-14,2024-09-22,2,84,298000
242,Lagos,2024-02-24,2024-05-27,4,195,583000
243,PH,2024-05-14,2024-08-17,2,89,394000
244,PH,2024-12-19,2024-04-24,2,108,323000
245,PH,2024-01-18,2024-03-19,1,65,344000
246,Abuja,2024-01-17,2024-02-11,1,74,162000
247,PH,2024-12-13,2024-03-02,1,40,113000
248,PH,2024-02-29,2024-04-20,1,80,251000
249,PH,2024-12-11,2024-02-07,1,65,264000
250,Abuja,2024-03-02,2024-06-14,5,221,834000
251,PH,2024-05-25,2024-08-08,5,233,765000
252,Ibadan,2024-11-25,2024-03-12,3,122,644000
253,PH,2024-05-02,2024-06-01,5,200,1013000
254,PH,2024-05-02,2024-10-25,4,184,942000
255,Lagos,2024-08-27,2024-11-23,2,91,418000
256,Lagos,2024-05-07,2024-07-31,1,59,170000
257,Abuja,2024-11-26,2024-02-23,5,2239,931000
258,Abuja,2024-06-07,2024-08-02,1,73,335000
259,Abuja,2024-04-07,2024-07-25,4,1905,763000
260,PH,2024-08-21,2024-01-31,1,41,120000
261,Ibadan,2024-06-26,2024-11-20,5,202,598000
262,Lagos,2024-04-21,2024-05-19,2,116,678000
263,Abuja,2024-06-11,2024-09-25,1,35,80000
264,PH,2024-02-06,2024-03-22,5,200,787000
265,Abuja,2024-12-06,2024-03-13,4,1884,641000
266,Ibadan,2024-02-19,2024-07-24,2,85,326000
267,Abuja,2024-01-17,2024-02-02,1,31,59000
268,Ibadan,2024-07-28,2024-12-24,4,153,576000
269,Lagos,2024-01-15,2024-05-23,4,158,420000
270,PH,2024-02-07,2024-05-11,5,233,801000
271,Ibadan,2024-02-16,2024-04-26,4,193,682000
272,Lagos,2024-08-07,2024-09-29,1,56,176000
273,Lagos,2024-05-24,2024-07-06,4,160,581000
274,Abuja,2024-01-04,2024-04-24,4,169,517000
275,Abuja,2024-06-02,2024-09-13,4,170,638000
276,PH,2024-01-20,2024-02-14,4,161,466000
277,PH,2024-10-23,2024-01-24,5,205,622000
278,Ibadan,2024-12-09,2024-01-24,2,94,379000
279,Lagos,2024-05-30,2024-07-25,4,179,577000
280,Lagos,2024-09-28,2024-03-05,1,47,87000
281,Abuja,2024-12-04,2024-03-29,4,174,739000
282,Ibadan,2024-05-20,2024-05-12,1,80,272000
283,Lagos,2024-12-22,2024-04-24,5,193,825000
284,PH,2024-02-07,2024-05-27,2,73,135000
285,Ibadan,2024-06-16,2024-08-26,5,190,530000
286,Abuja,2024-02-13,2024-04-15,2,99,404000
287,Ibadan,2024-08-13,2024-11-26,4,193,925000
288,Lagos,2024-06-25,2024-09-18,4,172,769000
289,Ibadan,2024-06-29,2024-08-05,2,83,236000
290,Ibadan,2024-03-21,2024-05-01,1,79,337000
291,Abuja,2024-09-23,2024-02-18,4,191,1113000
292,Lagos,2024-07-15,2024-11-17,1,37,203000
293,PH,2024-03-24,2024-06-17,5,210,523000
294,Lagos,2024-11-25,2024-03-26,4,180,705000
295,Ibadan,2024-02-23,2024-06-06,5,2217,740000
296,Abuja,2024-03-27,2024-07-23,3,128,553000
297,Abuja,2024-10-06,2024-03-04,1,47,82000
298,Ibadan,2024-03-15,2024-07-22,4,179,859000
299,PH,2024-10-03,2024-12-22,3,1378,531000
300,PH,2024-05-23,2024-10-12,4,192,604000
301,Abuja,2024-06-15,2024-06-09,1,70,385000
302,PH,2024-06-12,2024-09-16,3,158,632000
303,PH,2024-08-09,2024-08-29,2,85,439000
304,Lagos,2024-03-31,2024-06-14,5,225,1107000
305,PH,2024-06-13,2024-08-24,2,96,426000
306,Ibadan,2024-11-29,2024-02-01,4,150,652000
307,Ibadan,2024-03-10,2024-03-22,4,173,465000
308,PH,2024-08-30,2024-02-13,2,120,663000
309,PH,2024-07-14,2024-08-14,4,180,1027000
310,Lagos,2024-12-06,2024-06-02,4,175,642000
311,Ibadan,2024-05-05,2024-08-01,5,206,971000
312,Ibadan,2024-03-28,2024-07-03,2,80,201000
313,Lagos,2024-06-06,2024-08-11,4,1679,944000
314,Abuja,2024-12-02,2024-05-30,3,117,449000
315,Abuja,2024-04-10,2024-09-14,1,34,117000
316,Abuja,2024-05-19,2024-06-08,3,157,714000
317,Ibadan,2024-09-08,2024-12-12,4,157,917000
318,Abuja,2024-05-20,2024-08-19,4,173,700000
319,Ibadan,2024-11-24,2024-05-04,4,195,628000
320,Ibadan,2024-02-18,2024-04-28,4,159,450000
321,Abuja,2024-01-01,2024-01-16,1,69,200000
322,Ibadan,2024-03-03,2024-07-19,4,200,971000
323,PH,2024-08-28,2024-01-21,3,115,422000
324,Abuja,2024-08-05,2024-11-16,1,60,236000
325,PH,2024-03-08,2024-07-11,5,211,1051000
326,Ibadan,2024-03-31,2024-08-03,3,135,590000
327,Lagos,2024-01-08,2024-06-24,2,95,391000
328,Ibadan,2024-04-08,2024-07-27,1,59,361000
329,Ibadan,2024-06-21,2024-12-12,3,158,437000
330,Abuja,2024-09-11,2024-10-13,5,196,638000
331,Ibadan,2024-03-25,2024-04-22,3,127,573000
332,Ibadan,2024-01-14,2024-05-15,5,218,899000
333,Abuja,2024-01-01,2024-04-27,4,195,634000
334,Ibadan,2024-09-30,2024-12-28,2,99,338000
335,Abuja,2024-08-03,2024-08-30,5,225,912000
336,PH,2024-03-05,2024-06-25,2,74,164000
337,PH,2024-08-12,2024-09-04,2,100,377000
338,Ibadan,2024-07-20,2024-12-29,3,129,738000
339,Lagos,2024-09-19,2024-10-08,1,58,208000
340,PH,2024-05-15,2024-07-27,3,117,535000
341,Lagos,2024-08-04,2024-12-27,2,1033,549000
342,Lagos,2024-06-03,2024-11-23,4,197,831000
343,Lagos,2024-04-28,2024-10-09,3,111,303000
344,PH,2024-07-04,2024-10-01,5,199,1081000
345,PH,2024-09-13,2024-02-05,3,122,481000
346,PH,2024-02-13,2024-08-06,5,232,626000
347,PH,2024-03-17,2024-02-27,3,112,403000
348,Lagos,2024-01-09,2024-06-06,3,156,554000
349,PH,2024-02-18,2024-07-06,5,226,619000
350,Abuja,2024-03-13,2024-04-29,1,42,146000
351,Lagos,2024-02-04,2024-04-26,1,603,317000
352,Lagos,2024-09-14,2024-11-14,1,66,270000
353,Ibadan,2024-08-14,2024-02-05,5,190,1016000
354,Lagos,2024-05-29,2024-11-10,5,235,892000
355,Ibadan,2024-10-12,2024-01-02,1,54,231000
356,PH,2024-03-02,2024-07-21,3,136,460000
357,Abuja,2024-01-07,2024-02-28,5,229,1130000
358,Lagos,2024-02-25,2024-03-20,4,155,633000
359,PH,2024-03-09,2024-07-22,2,89,203000
360,Abuja,2024-10-09,2024-11-24,5,238,1026000
361,PH,2024-06-12,2024-08-29,1,66,367000
362,Abuja,2024-06-09,2024-08-29,1,50,244000
363,PH,2024-07-29,2024-11-16,2,120,489000
364,Abuja,2024-06-09,2024-10-06,4,173,670000
365,Lagos,2024-10-08,2024-04-06,1,32,161000
366,Lagos,2024-09-02,2024-11-22,4,188,861000
367,Abuja,2024-06-10,2024-08-19,4,193,520000
368,Ibadan,2024-10-07,2024-02-22,2,105,420000
369,Abuja,2024-01-04,2024-02-01,4,200,751000
370,PH,2024-10-14,2024-11-16,3,116,500000
371,Abuja,2024-11-22,2024-01-10,4,186,800000
372,Ibadan,2024-07-16,2024-11-07,3,1206,536000
373,Ibadan,2024-01-23,2024-07-20,3,1270,272000
374,Abuja,2024-07-05,2024-12-08,4,196,942000
375,PH,2024-12-02,2024-05-19,2,119,446000
376,Lagos,2024-05-28,2024-08-11,4,200,1045000
377,Ibadan,2024-08-24,2024-01-11,3,114,481000
378,PH,2024-07-16,2024-12-05,2,85,311000
379,Abuja,2024-01-19,2024-04-07,2,73,252000
380,PH,2024-11-04,2024-04-30,1,59,202000
381,PH,2024-07-17,2024-08-12,4,176,752000
382,Lagos,2024-03-28,2024-08-02,5,230,937000
383,Ibadan,2024-04-22,2024-07-25,1,79,320000
384,Lagos,2024-08-06,2024-12-23,4,2067,1006000
385,Lagos,2024-09-24,2024-03-10,3,160,581000
386,Abuja,2024-08-08,2024-12-13,4,179,849000
387,Ibadan,2024-06-17,2024-10-11,5,220,871000
388,PH,2024-02-29,2024-04-13,3,121,299000
389,Abuja,2024-02-21,2024-03-17,5,198,678000
390,Lagos,2024-06-19,2024-11-19,2,70,316000
391,PH,2024-05-29,2024-08-29,4,164,842000
392,Lagos,2024-06-07,2024-10-03,2,818,255000
393,Abuja,2024-05-06,2024-05-26,1,47,121000
394,Ibadan,2024-06-07,2024-11-13,3,113,519000
395,PH,2024-06-11,2024-06-01,1,840,268000
396,Lagos,2024-05-23,2024-07-27,1,40,232000
397,PH,2024-09-14,2024-10-04,5,194,983000
398,PH,2024-05-21,2024-06-18,4,189,1015000
399,PH,2024-12-01,2024-04-18,3,128,588000
400,Ibadan,2024-07-24,2024-12-01,5,193,991000
401,Ibadan,2024-06-15,2024-08-24,3,141,592000
402,Ibadan,2024-08-19,2024-12-04,2,84,386000
403,Ibadan,2024-01-18,2024-04-15,4,153,381000
404,Ibadan,2024-12-24,2024-06-09,3,137,691000
405,PH,2024-08-29,2024-01-29,1,59,253000
406,Lagos,2024-09-18,2024-11-12,2,84,433000
407,PH,2024-12-26,2024-01-18,4,162,658000
408,Abuja,2024-12-10,2024-04-16,4,167,742000
409,Lagos,2024-07-22,2024-08-11,4,199,896000
410,Lagos,2024-08-17,2024-02-12,3,132,404000
411,Abuja,2024-04-23,2024-06-18,2,120,377000
412,Lagos,2024-09-17,2024-01-06,3,133,628000
413,Abuja,2024-01-22,2024-06-21,1,63,185000
414,Abuja,2024-02-14,2024-04-21,1,30,60000
415,Lagos,2024-03-01,2024-05-24,3,114,273000
416,PH,2024-05-29,2024-06-09,4,194,642000
417,Lagos,2024-11-05,2024-11-29,3,110,366000
418,Abuja,2024-08-19,2024-12-29,5,219,947000
419,Lagos,2024-03-11,2024-06-27,3,143,422000
420,Ibadan,2024-08-17,2024-09-08,5,197,861000
421,Ibadan,2024-01-21,2024-06-29,4,180,682000
422,PH,2024-06-03,2024-07-19,1,65,318000
423,Lagos,2024-02-29,2024-04-24,3,154,726000
424,Abuja,2024-08-15,2024-12-02,2,83,229000
425,Abuja,2024-02-17,2024-04-17,3,154,707000
426,PH,2024-09-08,2024-12-24,3,141,598000
427,Abuja,2024-11-17,2024-03-06,5,222,711000
428,Abuja,2024-02-25,2024-08-14,5,199,1031000
429,Abuja,2024-04-01,2024-06-17,3,153,668000
430,Ibadan,2024-06-25,2024-07-23,4,198,881000
431,Lagos,2024-07-14,2024-08-01,5,2185,981000
432,Lagos,2024-05-26,2024-06-28,3,139,537000
433,PH,2024-06-06,2024-07-10,5,231,1224000
434,Lagos,2024-05-03,2024-09-05,4,169,654000
435,Lagos,2024-11-22,2024-03-09,1,38,186000
436,PH,2024-05-07,2024-08-28,2,97,368000
437,Ibadan,2024-12-12,2024-02-23,4,2153,938000
438,PH,2024-05-29,2024-09-13,5,204,1129000
439,Lagos,2024-08-25,2024-11-04,4,177,533000
440,Ibadan,2024-06-06,2024-07-27,5,201,686000
441,PH,2024-03-18,2024-07-18,3,120,603000
442,Abuja,2024-02-19,2024-05-22,3,1485,335000
443,Lagos,2024-01-30,2024-01-21,1,60,190000
444,Lagos,2024-10-14,2024-12-03,3,148,506000
445,Ibadan,2024-12-22,2024-02-29,4,154,486000
446,Ibadan,2024-04-14,2024-09-07,1,60,163000
447,Abuja,2024-04-28,2024-09-08,4,2013,1073000
448,Abuja,2024-10-19,2024-10-18,4,166,590000
449,Ibadan,2024-07-26,2024-08-22,4,155,851000
450,Lagos,2024-11-30,2024-05-07,2,113,352000
451,Lagos,2024-08-24,2024-01-30,5,207,1108000
452,PH,2024-10-14,2024-03-29,3,124,423000
453,Lagos,2024-02-17,2024-04-30,4,156,557000
454,Lagos,2024-10-25,2024-12-20,3,134,651000
455,PH,2024-05-21,2024-06-19,4,158,623000
456,PH,2024-03-26,2024-06-25,4,164,668000
457,PH,2024-11-06,2024-03-27,4,190,861000
458,Abuja,2024-04-01,2024-08-24,3,129,552000
459,Ibadan,2024-11-06,2024-04-15,5,221,982000
460,PH,2024-08-24,2024-01-21,3,155,780000
461,PH,2024-10-11,2024-03-13,3,131,456000
462,Abuja,2024-08-26,2024-11-07,1,48,281000
463,Ibadan,2024-07-11,2024-09-04,5,233,975000
464,Lagos,2024-08-03,2024-12-25,2,93,540000
465,PH,2024-10-06,2024-01-27,5,217,971000
466,PH,2024-08-06,2024-10-23,1,37,185000
467,Lagos,2024-06-22,2024-07-14,2,112,362000
468,Ibadan,2024-05-13,2024-08-05,3,130,740000
469,Abuja,2024-07-10,2024-01-04,1,36,78000
470,Lagos,2024-06-30,2024-08-09,4,178,533000
471,Abuja,2024-11-04,2024-12-24,5,220,978000
472,Lagos,2024-01-12,2024-04-04,4,162,799000
473,PH,2024-08-07,2024-10-04,1,68,398000
474,PH,2024-08-31,2024-11-07,1,66,355000
475,Ibadan,2024-06-02,2024-07-28,1,46,96000
476,Lagos,2024-12-01,2024-03-04,5,238,901000
477,Abuja,2024-06-04,2024-09-23,2,111,675000
478,Abuja,2024-02-07,2024-04-09,4,159,340000
479,Ibadan,2024-11-02,2024-03-11,5,221,943000
480,PH,2024-11-23,2024-04-24,3,111,418000
481,Abuja,2024-01-24,2024-03-13,3,1539,679000
482,PH,2024-12-04,2024-04-15,2,861,256000
483,Ibadan,2024-02-23,2024-05-27,4,182,857000
484,Ibadan,2024-05-21,2024-09-13,2,107,334000
485,Lagos,2024-09-20,2024-11-01,1,72,262000
486,Lagos,2024-06-24,2024-11-26,3,152,656000
487,Abuja,2024-01-17,2024-04-24,1,48,220000
488,Lagos,2024-08-19,2024-10-31,5,202,1094000
489,Abuja,2024-07-12,2024-10-25,2,80,445000
490,Lagos,2024-07-18,2024-08-11,4,159,475000
491,Ibadan,2024-02-26,2024-08-17,1,62,162000
492,Abuja,2024-09-20,2024-12-13,4,195,674000
493,Abuja,2024-07-21,2024-01-14,2,83,319000
494,PH,2024-08-13,2024-10-18,2,101,501000
495,Ibadan,2024-10-13,2024-03-03,5,2347,955000
496,PH,2024-10-23,2024-01-08,4,165,612000
497,PH,2024-01-18,2024-02-08,1,37,105000
498,Abuja,2024-12-07,2024-03-05,2,112,461000
499,Ibadan,2024-03-21,2024-04-16,5,212,814000
500,Ibadan,2024-09-17,2024-12-21,5,222,765000
501,Ibadan,2024-06-24,2024-06-15,5,199,1136000
