date,store,category,sku,movement_type,qty,counted_delta
2024-01-02,S4,Home,HO-226,sale,-2,0
2024-01-02,S4,Grocery,GR-848,receipt,19,0
2024-01-02,S4,Apparel,AP-879,sale,-3,0
2024-01-02,S4,Electronics,EL-307,count,0,1
2024-01-02,S4,Grocery,GR-343,sale,-2,0
2024-01-02,S4,Apparel,AP-266,sale,-5,0
2024-01-02,S4,Apparel,AP-290,receipt,23,0
2024-01-02,S4,Home,HO-963,return,2,0
2024-01-02,S5,Grocery,GR-554,receipt,40,0
2024-01-02,S5,Apparel,AP-837,count,0,2
2024-01-02,S5,Home,HO-204,count,0,2
2024-01-02,S5,Grocery,GR-821,return,3,0
2024-01-02,S5,Home,HO-567,count,0,1
2024-01-02,S5,Electronics,EL-326,count,0,-1
2024-01-02,S5,Home,HO-131,receipt,26,0
2024-01-02,S5,Electronics,EL-286,sale,-1,0
2024-01-02,S5,Apparel,AP-375,sale,-5,0
2024-01-02,S5,Home,HO-109,count,0,-1
2024-01-02,S5,Electronics,EL-800,sale,-3,0
2024-01-02,S5,Apparel,AP-153,count,0,1
2024-01-02,S5,Electronics,EL-304,return,3,0
2024-01-02,S5,Grocery,GR-660,sale,-1,0
2024-01-02,S5,Apparel,AP-417,count,0,0
2024-01-03,S1,Electronics,EL-771,count,0,1
2024-01-03,S1,Home,HO-854,return,2,0
2024-01-03,S1,Grocery,GR-783,receipt,12,0
2024-01-03,S1,Apparel,AP-336,return,1,0
2024-01-03,S1,Apparel,AP-151,return,1,0
2024-01-03,S1,Grocery,GR-500,return,3,0
2024-01-03,S1,Grocery,GR-572,sale,-5,0
2024-01-03,S1,Grocery,GR-345,sale,-5,0
2024-01-03,S1,Home,HO-188,sale,-2,0
2024-01-03,S1,Grocery,GR-717,count,0,1
2024-01-03,S1,Home,HO-296,sale,-5,0
2024-01-03,S1,Grocery,GR-362,sale,-3,0
2024-01-03,S2,Electronics,EL-937,receipt,15,0
2024-01-03,S2,Grocery,GR-543,return,3,0
2024-01-03,S2,Apparel,AP-159,return,3,0
2024-01-03,S2,Home,HO-956,count,0,-1
2024-01-03,S2,Electronics,EL-233,sale,-3,0
2024-01-03,S2,Grocery,GR-512,count,0,-2
2024-01-03,S2,Home,HO-139,sale,-6,0
2024-01-03,S2,Electronics,EL-746,sale,-2,0
2024-01-03,S2,Electronics,EL-528,sale,-1,0
2024-01-03,S3,Home,HO-864,sale,-1,0
2024-01-03,S3,Grocery,GR-969,sale,-3,0
2024-01-03,S3,Grocery,GR-847,count,0,1
2024-01-03,S3,Electronics,EL-366,count,0,-4
2024-01-03,S3,Apparel,AP-853,sale,-5,0
2024-01-03,S3,Apparel,AP-910,sale,-5,0
2024-01-03,S3,Grocery,GR-843,sale,-3,0
2024-01-03,S3,Home,HO-330,return,1,0
2024-01-03,S3,Electronics,EL-821,count,0,-6
2024-01-03,S3,Apparel,AP-855,sale,-6,0
2024-01-03,S3,Apparel,AP-909,sale,-3,0
2024-01-03,S3,Apparel,AP-987,sale,-1,0
2024-01-03,S4,Grocery,GR-297,count,0,-2
2024-01-03,S4,Home,HO-239,sale,-2,0
2024-01-03,S4,Electronics,EL-191,count,0,-1
2024-01-03,S4,Grocery,GR-718,return,1,0
2024-01-03,S4,Grocery,GR-951,sale,-3,0
2024-01-03,S4,Electronics,EL-945,receipt,33,0
2024-01-03,S4,Electronics,EL-493,count,0,2
2024-01-03,S4,Apparel,AP-470,sale,-5,0
2024-01-03,S4,Apparel,AP-437,sale,-2,0
2024-01-03,S4,Grocery,GR-833,sale,-4,0
2024-01-03,S4,Grocery,GR-325,sale,-3,0
2024-01-03,S4,Grocery,GR-707,count,0,2
2024-01-03,S4,Home,HO-451,sale,-4,0
2024-01-03,S4,Apparel,AP-561,return,2,0
2024-01-03,S4,Grocery,GR-691,receipt,36,0
2024-01-03,S4,Grocery,GR-615,sale,-6,0
2024-01-03,S5,Apparel,AP-790,sale,-5,0
2024-01-03,S5,Apparel,AP-361,receipt,16,0
2024-01-03,S5,Apparel,AP-744,receipt,56,0
2024-01-03,S5,Apparel,AP-746,sale,-3,0
2024-01-03,S5,Grocery,GR-956,count,0,0
2024-01-03,S5,Home,HO-708,count,0,1
2024-01-03,S5,Apparel,AP-869,count,0,2
2024-01-03,S5,Home,HO-704,receipt,58,0
2024-01-03,S5,Home,HO-717,sale,-6,0
2024-01-03,S5,Apparel,AP-161,sale,-5,0
2024-01-03,S5,Electronics,EL-659,count,0,2
2024-01-03,S5,Home,HO-584,return,2,0
2024-01-03,S5,Electronics,EL-197,count,0,1
2024-01-04,S1,Home,HO-542,return,3,0
2024-01-04,S1,Grocery,GR-606,count,0,0
2024-01-04,S1,Apparel,AP-892,sale,-5,0
2024-01-04,S1,Apparel,AP-481,sale,-2,0
2024-01-04,S1,Home,HO-804,sale,-5,0
2024-01-04,S1,Home,HO-528,sale,-4,0
2024-01-04,S1,Apparel,AP-552,return,2,0
2024-01-04,S1,Grocery,GR-795,sale,-1,0
2024-01-04,S1,Electronics,EL-364,sale,-5,0
2024-01-04,S1,Grocery,GR-349,receipt,40,0
2024-01-04,S1,Home,HO-582,sale,-6,0
2024-01-04,S1,Apparel,AP-842,return,1,0
2024-01-04,S1,Apparel,AP-999,return,2,0
2024-01-04,S1,Apparel,AP-245,sale,-3,0
2024-01-04,S1,Electronics,EL-235,receipt,31,0
2024-01-04,S2,Apparel,AP-498,sale,-1,0
2024-01-04,S2,Apparel,AP-413,receipt,37,0
2024-01-04,S2,Grocery,GR-603,receipt,29,0
2024-01-04,S2,Electronics,EL-261,sale,-2,0
2024-01-04,S2,Grocery,GR-850,sale,-3,0
2024-01-04,S2,Grocery,GR-290,sale,-2,0
2024-01-04,S2,Home,HO-413,count,0,-1
2024-01-04,S2,Electronics,EL-744,sale,-2,0
2024-01-04,S2,Home,HO-501,sale,-5,0
2024-01-04,S2,Home,HO-348,sale,-2,0
2024-01-04,S2,Grocery,GR-130,return,2,0
2024-01-04,S2,Grocery,GR-773,return,3,0
2024-01-04,S2,Electronics,EL-735,sale,-3,0
2024-01-04,S3,Home,HO-691,receipt,12,0
2024-01-04,S3,Apparel,AP-811,sale,-5,0
2024-01-04,S3,Apparel,AP-356,sale,-5,0
2024-01-04,S3,Grocery,GR-526,sale,-4,0
2024-01-04,S3,Home,HO-787,sale,-2,0
2024-01-04,S3,Home,HO-155,receipt,45,0
2024-01-04,S3,Apparel,AP-921,receipt,44,0
2024-01-04,S3,Home,HO-659,return,1,0
2024-01-04,S3,Apparel,AP-873,receipt,57,0
2024-01-04,S3,Apparel,AP-579,sale,-5,0
2024-01-04,S3,Grocery,GR-938,sale,-2,0
2024-01-04,S3,Electronics,EL-467,receipt,35,0
2024-01-04,S3,Apparel,AP-205,sale,-5,0
2024-01-04,S3,Apparel,AP-621,count,0,-1
2024-01-04,S3,Apparel,AP-167,sale,-4,0
2024-01-04,S3,Apparel,AP-232,sale,-1,0
2024-01-04,S4,Home,HO-446,sale,-5,0
2024-01-04,S4,Home,HO-163,count,0,0
2024-01-04,S4,Apparel,AP-183,receipt,28,0
2024-01-04,S4,Electronics,EL-906,return,3,0
2024-01-04,S4,Grocery,GR-116,count,0,0
2024-01-04,S4,Home,HO-726,return,2,0
2024-01-04,S4,Home,HO-534,sale,-5,0
2024-01-04,S4,Grocery,GR-384,return,2,0
2024-01-04,S4,Apparel,AP-775,receipt,15,0
2024-01-04,S4,Home,HO-375,count,0,1
2024-01-04,S4,Apparel,AP-215,receipt,25,0
2024-01-04,S4,Home,HO-485,sale,-5,0
2024-01-04,S4,Home,HO-446,sale,-3,0
2024-01-04,S4,Home,HO-533,receipt,42,0
2024-01-04,S4,Home,HO-527,return,2,0
2024-01-04,S5,Home,HO-416,count,0,0
2024-01-04,S5,Home,HO-662,sale,-4,0
2024-01-04,S5,Electronics,EL-510,return,3,0
2024-01-04,S5,Grocery,GR-813,sale,-3,0
2024-01-04,S5,Apparel,AP-692,sale,-5,0
2024-01-04,S5,Home,HO-556,return,1,0
2024-01-04,S5,Home,HO-756,return,2,0
2024-01-04,S5,Home,HO-990,count,0,2
2024-01-04,S5,Home,HO-329,receipt,28,0
2024-01-05,S1,Apparel,AP-844,receipt,44,0
2024-01-05,S1,Electronics,EL-732,sale,-5,0
2024-01-05,S1,Apparel,AP-154,count,0,-2
2024-01-05,S1,Home,HO-794,sale,-4,0
2024-01-05,S1,Apparel,AP-178,return,2,0
2024-01-05,S1,Home,HO-532,sale,-3,0
2024-01-05,S1,Electronics,EL-271,receipt,46,0
2024-01-05,S1,Grocery,GR-140,return,2,0
2024-01-05,S1,Home,HO-445,sale,-5,0
2024-01-05,S1,Grocery,GR-259,sale,-4,0
2024-01-05,S1,Grocery,GR-681,sale,-2,0
2024-01-05,S1,Grocery,GR-986,sale,-5,0
2024-01-05,S2,Home,HO-183,receipt,60,0
2024-01-05,S2,Grocery,GR-850,receipt,45,0
2024-01-05,S2,Electronics,EL-346,sale,-2,0
2024-01-05,S2,Electronics,EL-349,return,1,0
2024-01-05,S2,Apparel,AP-326,count,0,-2
2024-01-05,S2,Home,HO-855,receipt,18,0
2024-01-05,S2,Grocery,GR-910,sale,-6,0
2024-01-05,S2,Electronics,EL-365,receipt,47,0
2024-01-05,S3,Home,HO-746,return,1,0
2024-01-05,S3,Home,HO-940,count,0,-1
2024-01-05,S3,Grocery,GR-135,return,3,0
2024-01-05,S3,Electronics,EL-268,sale,-2,0
2024-01-05,S3,Grocery,GR-477,sale,-4,0
2024-01-05,S3,Grocery,GR-632,count,0,0
2024-01-05,S3,Home,HO-267,count,0,-2
2024-01-05,S3,Apparel,AP-760,sale,-5,0
2024-01-05,S3,Grocery,GR-796,receipt,25,0
2024-01-05,S3,Grocery,GR-625,sale,-3,0
2024-01-05,S3,Grocery,GR-195,sale,-2,0
2024-01-05,S3,Apparel,AP-808,sale,-6,0
2024-01-05,S3,Electronics,EL-149,count,0,-3
2024-01-05,S4,Home,HO-211,sale,-5,0
2024-01-05,S4,Apparel,AP-780,receipt,14,0
2024-01-05,S4,Grocery,GR-341,sale,-5,0
2024-01-05,S4,Home,HO-538,count,0,-1
2024-01-05,S4,Electronics,EL-635,count,0,1
2024-01-05,S4,Electronics,EL-192,sale,-1,0
2024-01-05,S4,Home,HO-495,sale,-2,0
2024-01-05,S4,Electronics,EL-295,return,2,0
2024-01-05,S4,Apparel,AP-562,sale,-4,0
2024-01-05,S4,Home,HO-773,receipt,50,0
2024-01-05,S4,Home,HO-969,sale,-4,0
2024-01-05,S4,Home,HO-668,sale,-5,0
2024-01-05,S4,Home,HO-318,sale,-5,0
2024-01-05,S4,Grocery,GR-409,sale,-4,0
2024-01-05,S5,Electronics,EL-352,count,0,1
2024-01-05,S5,Home,HO-472,receipt,22,0
2024-01-05,S5,Electronics,EL-702,sale,-3,0
2024-01-05,S5,Apparel,AP-362,count,0,1
2024-01-05,S5,Apparel,AP-512,sale,-1,0
2024-01-05,S5,Electronics,EL-338,sale,-1,0
2024-01-05,S5,Electronics,EL-145,count,0,-2
2024-01-05,S5,Electronics,EL-632,sale,-4,0
2024-01-06,S1,Electronics,EL-491,sale,-6,0
2024-01-06,S1,Apparel,AP-122,return,3,0
2024-01-06,S1,Home,HO-217,count,0,-1
2024-01-06,S1,Home,HO-213,return,1,0
2024-01-06,S1,Home,HO-265,return,2,0
2024-01-06,S1,Apparel,AP-473,count,0,-1
2024-01-06,S1,Grocery,GR-725,sale,-4,0
2024-01-06,S1,Apparel,AP-926,sale,-1,0
2024-01-06,S1,Apparel,AP-647,sale,-4,0
2024-01-06,S1,Home,HO-185,sale,-2,0
2024-01-06,S1,Apparel,AP-749,sale,-6,0
2024-01-06,S1,Electronics,EL-782,return,2,0
2024-01-06,S1,Grocery,GR-109,sale,-2,0
2024-01-06,S1,Apparel,AP-366,return,3,0
2024-01-06,S1,Electronics,EL-334,sale,-1,0
2024-01-06,S1,Electronics,EL-299,sale,-6,0
2024-01-06,S2,Home,HO-297,sale,-1,0
2024-01-06,S2,Home,HO-461,sale,-1,0
2024-01-06,S2,Apparel,AP-319,receipt,52,0
2024-01-06,S2,Electronics,EL-864,sale,-2,0
2024-01-06,S2,Home,HO-410,sale,-6,0
2024-01-06,S2,Home,HO-925,sale,-3,0
2024-01-06,S2,Home,HO-813,sale,-5,0
2024-01-06,S2,Apparel,AP-393,return,3,0
2024-01-06,S2,Electronics,EL-605,sale,-5,0
2024-01-06,S2,Apparel,AP-937,sale,-5,0
2024-01-06,S2,Electronics,EL-964,receipt,31,0
2024-01-06,S2,Electronics,EL-222,sale,-3,0
2024-01-06,S2,Home,HO-390,sale,-2,0
2024-01-06,S3,Home,HO-955,sale,-3,0
2024-01-06,S3,Electronics,EL-516,receipt,48,0
2024-01-06,S3,Electronics,EL-683,sale,-4,0
2024-01-06,S3,Grocery,GR-254,sale,-6,0
2024-01-06,S3,Apparel,AP-869,receipt,55,0
2024-01-06,S3,Electronics,EL-810,sale,-1,0
2024-01-06,S3,Electronics,EL-648,sale,-2,0
2024-01-06,S3,Home,HO-112,sale,-5,0
2024-01-06,S3,Home,HO-878,return,1,0
2024-01-06,S3,Apparel,AP-497,sale,-6,0
2024-01-06,S3,Electronics,EL-700,sale,-1,0
2024-01-06,S3,Grocery,GR-467,sale,-6,0
2024-01-06,S3,Grocery,GR-234,sale,-2,0
2024-01-06,S3,Home,HO-677,return,3,0
2024-01-06,S3,Home,HO-405,receipt,32,0
2024-01-06,S4,Electronics,EL-957,count,0,1
2024-01-06,S4,Grocery,GR-645,return,3,0
2024-01-06,S4,Apparel,AP-494,sale,-3,0
2024-01-06,S4,Apparel,AP-664,sale,-6,0
2024-01-06,S4,Apparel,AP-174,sale,-3,0
2024-01-06,S4,Home,HO-219,sale,-4,0
2024-01-06,S4,Electronics,EL-457,receipt,12,0
2024-01-06,S4,Electronics,EL-647,return,2,0
2024-01-06,S4,Grocery,GR-448,sale,-1,0
2024-01-06,S4,Apparel,AP-331,receipt,47,0
2024-01-06,S4,Home,HO-447,sale,-4,0
2024-01-06,S4,Electronics,EL-869,sale,-2,0
2024-01-06,S4,Home,HO-495,return,3,0
2024-01-06,S4,Home,HO-262,count,0,-2
2024-01-06,S4,Grocery,GR-342,sale,-1,0
2024-01-06,S4,Grocery,GR-995,sale,-6,0
2024-01-06,S5,Apparel,AP-132,sale,-5,0
2024-01-06,S5,Grocery,GR-551,sale,-4,0
2024-01-06,S5,Electronics,EL-939,sale,-2,0
2024-01-06,S5,Electronics,EL-579,sale,-6,0
2024-01-06,S5,Grocery,GR-131,return,2,0
2024-01-06,S5,Home,HO-311,sale,-2,0
2024-01-06,S5,Home,HO-666,sale,-1,0
2024-01-06,S5,Electronics,EL-191,receipt,30,0
2024-01-06,S5,Apparel,AP-873,return,3,0
2024-01-06,S5,Electronics,EL-178,sale,-4,0
2024-01-06,S5,Apparel,AP-107,sale,-2,0
2024-01-06,S5,Home,HO-372,sale,-4,0
2024-01-06,S5,Apparel,AP-197,receipt,38,0
2024-01-06,S5,Apparel,AP-122,return,3,0
2024-01-07,S1,Home,HO-122,count,0,2
2024-01-07,S1,Home,HO-940,sale,-1,0
2024-01-07,S1,Home,HO-312,return,3,0
2024-01-07,S1,Home,HO-116,count,0,-2
2024-01-07,S1,Home,HO-878,sale,-1,0
2024-01-07,S1,Apparel,AP-148,return,2,0
2024-01-07,S1,Electronics,EL-757,sale,-6,0
2024-01-07,S1,Home,HO-995,return,1,0
2024-01-07,S2,Home,HO-253,sale,-1,0
2024-01-07,S2,Electronics,EL-942,sale,-4,0
2024-01-07,S2,Apparel,AP-113,sale,-3,0
2024-01-07,S2,Electronics,EL-658,sale,-3,0
2024-01-07,S2,Home,HO-292,return,2,0
2024-01-07,S2,Electronics,EL-578,return,2,0
2024-01-07,S2,Grocery,GR-772,count,0,-1
2024-01-07,S2,Electronics,EL-421,sale,-4,0
2024-01-07,S2,Apparel,AP-640,sale,-6,0
2024-01-07,S2,Grocery,GR-552,sale,-5,0
2024-01-07,S2,Electronics,EL-891,sale,-1,0
2024-01-07,S2,Electronics,EL-869,receipt,24,0
2024-01-07,S3,Home,HO-332,receipt,48,0
2024-01-07,S3,Grocery,GR-682,receipt,29,0
2024-01-07,S3,Electronics,EL-198,sale,-1,0
2024-01-07,S3,Electronics,EL-657,receipt,36,0
2024-01-07,S3,Grocery,GR-666,receipt,32,0
2024-01-07,S3,Grocery,GR-461,sale,-3,0
2024-01-07,S3,Electronics,EL-381,return,2,0
2024-01-07,S3,Apparel,AP-680,receipt,52,0
2024-01-07,S3,Electronics,EL-687,return,2,0
2024-01-07,S3,Electronics,EL-885,count,0,-6
2024-01-07,S3,Electronics,EL-172,sale,-1,0
2024-01-07,S3,Grocery,GR-479,sale,-1,0
2024-01-07,S3,Electronics,EL-403,sale,-3,0
2024-01-07,S3,Home,HO-664,sale,-2,0
2024-01-07,S3,Home,HO-976,sale,-6,0
2024-01-07,S4,Grocery,GR-658,return,1,0
2024-01-07,S4,Home,HO-447,count,0,2
2024-01-07,S4,Electronics,EL-739,count,0,0
2024-01-07,S4,Apparel,AP-154,count,0,-2
2024-01-07,S4,Apparel,AP-966,return,3,0
2024-01-07,S4,Electronics,EL-385,return,3,0
2024-01-07,S4,Home,HO-347,sale,-3,0
2024-01-07,S4,Electronics,EL-610,sale,-2,0
2024-01-07,S4,Electronics,EL-489,receipt,14,0
2024-01-07,S4,Electronics,EL-572,count,0,1
2024-01-07,S4,Apparel,AP-506,count,0,-2
2024-01-07,S4,Apparel,AP-845,return,3,0
2024-01-07,S4,Electronics,EL-988,count,0,0
2024-01-07,S5,Grocery,GR-912,return,3,0
2024-01-07,S5,Apparel,AP-685,sale,-5,0
2024-01-07,S5,Electronics,EL-449,return,3,0
2024-01-07,S5,Home,HO-485,count,0,-1
2024-01-07,S5,Electronics,EL-677,sale,-1,0
2024-01-07,S5,Apparel,AP-283,return,1,0
2024-01-07,S5,Home,HO-244,sale,-1,0
2024-01-07,S5,Apparel,AP-712,sale,-6,0
2024-01-07,S5,Grocery,GR-135,receipt,11,0
2024-01-07,S5,Electronics,EL-722,receipt,46,0
2024-01-07,S5,Electronics,EL-991,count,0,0
2024-01-07,S5,Apparel,AP-446,sale,-1,0
2024-01-07,S5,Apparel,AP-267,receipt,45,0
2024-01-07,S5,Electronics,EL-291,sale,-6,0
2024-01-07,S5,Home,HO-915,sale,-4,0
2024-01-07,S5,Home,HO-766,sale,-2,0
2024-01-08,S1,Apparel,AP-263,receipt,10,0
2024-01-08,S1,Home,HO-761,count,0,-1
2024-01-08,S1,Grocery,GR-156,sale,-2,0
2024-01-08,S1,Electronics,EL-354,sale,-2,0
2024-01-08,S1,Electronics,EL-954,sale,-1,0
2024-01-08,S1,Electronics,EL-406,sale,-4,0
2024-01-08,S1,Home,HO-481,sale,-1,0
2024-01-08,S1,Apparel,AP-340,sale,-4,0
2024-01-08,S1,Grocery,GR-920,sale,-2,0
2024-01-08,S1,Grocery,GR-979,count,0,2
2024-01-08,S1,Electronics,EL-553,return,3,0
2024-01-08,S1,Grocery,GR-826,return,1,0
2024-01-08,S1,Apparel,AP-417,sale,-1,0
2024-01-08,S2,Apparel,AP-708,return,3,0
2024-01-08,S2,Home,HO-767,sale,-4,0
2024-01-08,S2,Grocery,GR-644,receipt,28,0
2024-01-08,S2,Grocery,GR-816,receipt,11,0
2024-01-08,S2,Grocery,GR-221,sale,-3,0
2024-01-08,S2,Grocery,GR-472,sale,-6,0
2024-01-08,S2,Electronics,EL-378,sale,-2,0
2024-01-08,S2,Apparel,AP-769,sale,-5,0
2024-01-08,S2,Grocery,GR-225,receipt,34,0
2024-01-08,S2,Home,HO-346,sale,-5,0
2024-01-08,S2,Grocery,GR-714,count,0,2
2024-01-08,S2,Apparel,AP-836,count,0,2
2024-01-08,S2,Grocery,GR-480,sale,-6,0
2024-01-08,S2,Apparel,AP-821,sale,-2,0
2024-01-08,S2,Home,HO-972,return,3,0
2024-01-08,S3,Electronics,EL-524,sale,-6,0
2024-01-08,S3,Apparel,AP-698,sale,-1,0
2024-01-08,S3,Home,HO-876,sale,-5,0
2024-01-08,S3,Electronics,EL-446,count,0,-5
2024-01-08,S3,Apparel,AP-543,return,3,0
2024-01-08,S3,Apparel,AP-704,return,2,0
2024-01-08,S3,Grocery,GR-490,receipt,33,0
2024-01-08,S3,Home,HO-830,sale,-4,0
2024-01-08,S3,Grocery,GR-626,sale,-4,0
2024-01-08,S4,Home,HO-149,sale,-1,0
2024-01-08,S4,Apparel,AP-512,sale,-3,0
2024-01-08,S4,Electronics,EL-642,receipt,20,0
2024-01-08,S4,Home,HO-938,count,0,-2
2024-01-08,S4,Grocery,GR-311,count,0,2
2024-01-08,S4,Home,HO-126,receipt,30,0
2024-01-08,S4,Home,HO-525,return,1,0
2024-01-08,S4,Apparel,AP-155,sale,-5,0
2024-01-08,S4,Apparel,AP-671,sale,-4,0
2024-01-08,S4,Grocery,GR-506,count,0,2
2024-01-08,S4,Apparel,AP-418,sale,-6,0
2024-01-08,S5,Electronics,EL-485,sale,-2,0
2024-01-08,S5,Electronics,EL-328,receipt,43,0
2024-01-08,S5,Electronics,EL-632,receipt,30,0
2024-01-08,S5,Home,HO-748,sale,-4,0
2024-01-08,S5,Apparel,AP-907,return,1,0
2024-01-08,S5,Apparel,AP-653,count,0,0
2024-01-08,S5,Grocery,GR-928,return,2,0
2024-01-08,S5,Apparel,AP-975,sale,-5,0
2024-01-08,S5,Grocery,GR-390,sale,-5,0
2024-01-08,S5,Apparel,AP-637,receipt,54,0
2024-01-08,S5,Grocery,GR-592,return,2,0
2024-01-08,S5,Home,HO-700,receipt,52,0
2024-01-08,S5,Grocery,GR-845,sale,-3,0
2024-01-09,S1,Grocery,GR-569,sale,-4,0
2024-01-09,S1,Electronics,EL-822,sale,-4,0
2024-01-09,S1,Home,HO-520,sale,-4,0
2024-01-09,S1,Electronics,EL-699,sale,-5,0
2024-01-09,S1,Grocery,GR-604,receipt,26,0
