enrolment_id,lesson_no,completed,completed_date
59,5,1,2024-09-09
59,6,1,2024-09-15
59,7,0,
60,1,1,2024-06-23
60,2,1,2024-06-24
60,3,1,2024-06-28
60,4,1,2024-07-03
60,5,1,2024-07-04
60,6,1,2024-07-07
60,7,1,2024-07-13
60,8,1,2024-07-16
60,9,1,2024-07-20
60,10,0,
61,1,1,2024-01-07
61,2,1,2024-01-08
61,3,1,2024-01-12
61,4,0,
62,1,1,2024-09-09
62,2,0,
63,1,1,2024-07-01
63,2,1,2024-07-05
63,3,1,2024-07-06
63,4,0,
64,1,1,2024-08-10
64,2,1,2024-08-13
64,3,0,
65,1,0,
66,1,1,2024-10-11
66,2,0,
67,1,1,2024-09-22
67,2,1,2024-09-28
67,3,1,2024-09-30
67,4,1,2024-10-05
67,5,0,
68,1,1,2024-07-16
68,2,0,
69,1,1,2024-03-12
69,2,1,2024-03-15
69,3,1,2024-03-20
69,4,1,2024-03-26
69,5,1,2024-03-31
69,6,1,2024-04-04
69,7,1,2024-04-10
69,8,0,
70,1,1,2024-03-30
70,2,1,2024-04-01
70,3,1,2024-04-03
70,4,1,2024-04-04
70,5,1,2024-04-07
70,6,0,
71,1,1,2024-06-20
71,2,1,2024-06-23
71,3,1,2024-06-26
71,4,0,
72,1,1,2024-08-06
72,2,0,
73,1,1,2024-11-02
73,2,1,2024-11-07
73,3,0,
74,1,1,2024-05-02
74,2,1,2024-05-06
74,3,1,2024-05-07
74,4,0,
75,1,0,
76,1,1,2024-01-31
76,2,1,2024-02-01
76,3,1,2024-02-02
76,4,1,2024-02-07
76,5,1,2024-02-09
76,6,0,
77,1,1,2024-02-27
77,2,1,2024-03-03
77,3,1,2024-03-06
77,4,1,2024-03-08
77,5,1,2024-03-11
77,6,1,2024-03-14
77,7,1,2024-03-19
77,8,1,2024-03-20
77,9,1,2024-03-26
77,10,1,2024-03-31
77,11,1,2024-04-06
77,12,1,2024-04-08
78,1,1,2024-03-15
78,2,1,2024-03-20
78,3,1,2024-03-23
78,4,1,2024-03-28
78,5,1,2024-03-29
78,6,1,2024-04-04
78,7,1,2024-04-05
78,8,1,2024-04-06
78,9,1,2024-04-07
78,10,1,2024-04-12
78,11,1,2024-04-13
78,12,1,2024-04-17
79,1,1,2024-04-20
79,2,1,2024-04-21
79,3,1,2024-04-25
79,4,1,2024-04-30
79,5,1,2024-05-02
79,6,1,2024-05-03
79,7,1,2024-05-05
79,8,1,2024-05-06
79,9,0,
80,1,1,2024-08-10
80,2,1,2024-08-16
80,3,1,2024-08-20
80,4,1,2024-08-23
80,5,1,2024-08-27
80,6,1,2024-09-02
80,7,1,2024-09-04
80,8,1,2024-09-09
80,9,1,2024-09-13
80,10,1,2024-09-18
80,11,0,
81,1,1,2024-05-26
81,2,1,2024-05-27
81,3,1,2024-05-31
81,4,1,2024-06-02
81,5,0,
82,1,1,2024-05-24
82,2,1,2024-05-27
82,3,1,2024-05-31
82,4,1,2024-06-06
82,5,1,2024-06-09
82,6,1,2024-06-12
82,7,1,2024-06-15
82,8,1,2024-06-20
82,9,0,
83,1,1,2024-08-31
83,2,0,
84,1,1,2024-04-20
84,2,1,2024-04-23
84,3,1,2024-04-29
84,4,1,2024-04-30
84,5,1,2024-05-02
84,6,1,2024-05-08
84,7,1,2024-05-10
84,8,1,2024-05-11
84,9,1,2024-05-16
84,10,1,2024-05-22
84,11,1,2024-05-28
84,12,1,2024-05-30
85,1,0,
86,1,1,2024-05-17
86,2,1,2024-05-18
86,3,1,2024-05-22
86,4,1,2024-05-24
86,5,0,
87,1,1,2024-07-06
87,2,1,2024-07-08
87,3,1,2024-07-10
87,4,0,
88,1,1,2024-03-24
88,2,1,2024-03-26
88,3,1,2024-04-01
88,4,0,
89,1,1,2024-10-20
89,2,1,2024-10-21
89,3,1,2024-10-25
89,4,1,2024-10-31
89,5,0,
90,1,1,2024-07-12
90,2,1,2024-07-17
90,3,1,2024-07-18
90,4,1,2024-07-21
90,5,1,2024-07-27
90,6,1,2024-07-28
90,7,0,
91,1,1,2024-03-18
91,2,1,2024-03-23
91,3,1,2024-03-25
91,4,1,2024-03-27
91,5,1,2024-03-28
91,6,1,2024-03-29
91,7,1,2024-04-02
91,8,1,2024-04-04
91,9,0,
92,1,0,
93,1,1,2024-10-22
93,2,1,2024-10-24
93,3,1,2024-10-30
93,4,1,2024-11-02
93,5,1,2024-11-05
93,6,1,2024-11-10
93,7,1,2024-11-16
93,8,1,2024-11-21
93,9,0,
94,1,1,2024-04-18
94,2,0,
95,1,1,2024-05-15
95,2,0,
96,1,1,2024-06-22
96,2,1,2024-06-28
96,3,1,2024-06-30
96,4,1,2024-07-04
96,5,1,2024-07-10
96,6,1,2024-07-13
96,7,1,2024-07-19
96,8,1,2024-07-20
96,9,1,2024-07-24
96,10,1,2024-07-25
96,11,0,
97,1,1,2024-09-21
97,2,0,
98,1,1,2024-09-23
98,2,0,
99,1,0,
100,1,0,
101,1,0,
102,1,1,2024-02-12
102,2,1,2024-02-18
102,3,1,2024-02-24
102,4,1,2024-02-28
102,5,1,2024-03-01
102,6,1,2024-03-03
102,7,0,
103,1,1,2024-04-07
103,2,1,2024-04-11
103,3,0,
104,1,1,2024-04-26
104,2,1,2024-04-27
104,3,1,2024-04-29
104,4,1,2024-05-03
104,5,0,
105,1,0,
106,1,1,2024-01-25
106,2,1,2024-01-31
106,3,1,2024-02-01
106,4,1,2024-02-07
106,5,1,2024-02-10
106,6,1,2024-02-13
106,7,0,
107,1,1,2024-05-28
107,2,1,2024-05-29
107,3,1,2024-06-04
107,4,1,2024-06-08
107,5,1,2024-06-13
107,6,1,2024-06-17
107,7,1,2024-06-18
107,8,1,2024-06-19
107,9,1,2024-06-25
107,10,1,2024-06-29
107,11,0,
108,1,1,2024-03-01
108,2,1,2024-03-02
108,3,0,
109,1,1,2024-05-01
109,2,1,2024-05-02
109,3,1,2024-05-08
109,4,0,
110,1,1,2024-03-11
110,2,1,2024-03-13
110,3,1,2024-03-14
110,4,1,2024-03-19
110,5,1,2024-03-21
110,6,1,2024-03-23
110,7,0,
111,1,1,2024-09-29
111,2,1,2024-10-05
111,3,1,2024-10-11
111,4,1,2024-10-16
111,5,1,2024-10-22
111,6,1,2024-10-25
111,7,1,2024-10-29
111,8,1,2024-11-02
111,9,1,2024-11-07
111,10,0,
112,1,1,2024-01-20
112,2,1,2024-01-24
112,3,1,2024-01-27
112,4,1,2024-01-31
112,5,1,2024-02-05
112,6,1,2024-02-07
112,7,0,
113,1,1,2024-09-16
113,2,1,2024-09-17
113,3,1,2024-09-23
113,4,0,
114,1,1,2024-10-15
114,2,1,2024-10-16
114,3,1,2024-10-18
114,4,1,2024-10-19
114,5,1,2024-10-22
114,6,0,
115,1,1,2024-10-06
115,2,1,2024-10-11
115,3,1,2024-10-14
115,4,1,2024-10-16
115,5,1,2024-10-20
115,6,0,
116,1,1,2024-06-24
116,2,1,2024-06-28
116,3,1,2024-07-02
116,4,1,2024-07-04
116,5,1,2024-07-08
116,6,1,2024-07-14
116,7,1,2024-07-16
116,8,0,
117,1,1,2024-06-29
117,2,1,2024-07-05
117,3,1,2024-07-08
117,4,1,2024-07-09
117,5,0,
118,1,1,2024-04-01
118,2,1,2024-04-06
118,3,1,2024-04-10
118,4,1,2024-04-15
118,5,1,2024-04-16
118,6,1,2024-04-17
118,7,1,2024-04-19
118,8,1,2024-04-21
118,9,0,
119,1,0,
120,1,1,2024-08-31
120,2,1,2024-09-04
120,3,1,2024-09-07
120,4,1,2024-09-10
120,5,1,2024-09-11
120,6,1,2024-09-12
120,7,0,
121,1,1,2024-07-02
121,2,1,2024-07-05
121,3,1,2024-07-10
121,4,1,2024-07-11
121,5,1,2024-07-17
121,6,0,
122,1,1,2024-09-23
122,2,1,2024-09-28
122,3,0,
123,1,1,2024-06-25
123,2,1,2024-06-29
123,3,1,2024-07-02
123,4,1,2024-07-06
123,5,0,
124,1,1,2024-04-14
124,2,1,2024-04-18
124,3,1,2024-04-23
124,4,1,2024-04-28
124,5,1,2024-05-03
124,6,1,2024-05-08
124,7,1,2024-05-11
124,8,1,2024-05-14
124,9,1,2024-05-15
124,10,1,2024-05-16
124,11,1,2024-05-21
124,12,1,2024-05-24
125,1,1,2024-06-12
125,2,1,2024-06-14
125,3,1,2024-06-20
125,4,0,
126,1,1,2024-09-07
126,2,1,2024-09-11
126,3,0,
127,1,1,2024-05-11
127,2,0,
128,1,1,2024-04-03
128,2,1,2024-04-09
128,3,1,2024-04-13
128,4,1,2024-04-18
128,5,1,2024-04-21
128,6,1,2024-04-23
128,7,1,2024-04-26
128,8,1,2024-04-28
128,9,1,2024-05-04
128,10,0,
129,1,1,2024-10-07
129,2,1,2024-10-08
129,3,1,2024-10-11
129,4,1,2024-10-13
129,5,0,
130,1,1,2024-01-08
130,2,1,2024-01-09
130,3,1,2024-01-14
130,4,1,2024-01-20
130,5,1,2024-01-24
130,6,1,2024-01-28
130,7,1,2024-02-02
130,8,1,2024-02-03
130,9,0,
131,1,0,
132,1,1,2024-01-14
132,2,1,2024-01-18
132,3,1,2024-01-23
132,4,1,2024-01-25
132,5,0,
133,1,1,2024-02-28
133,2,1,2024-03-02
133,3,1,2024-03-07
133,4,1,2024-03-09
133,5,1,2024-03-14
133,6,0,
134,1,1,2024-02-11
134,2,0,
135,1,1,2024-08-22
135,2,1,2024-08-26
135,3,1,2024-08-30
135,4,1,2024-09-02
135,5,1,2024-09-05
135,6,1,2024-09-08
135,7,0,
136,1,1,2024-09-27
136,2,0,
137,1,1,2024-07-14
137,2,1,2024-07-15
137,3,1,2024-07-21
137,4,1,2024-07-23
137,5,0,
138,1,1,2024-05-25
138,2,1,2024-05-30
138,3,0,
139,1,1,2024-06-17
139,2,1,2024-06-18
139,3,1,2024-06-24
139,4,1,2024-06-29
139,5,0,
140,1,1,2024-10-27
140,2,1,2024-10-28
140,3,1,2024-10-29
140,4,1,2024-11-04
140,5,0,
141,1,1,2024-10-07
141,2,1,2024-10-09
141,3,1,2024-10-13
141,4,1,2024-10-14
141,5,1,2024-10-18
141,6,0,
142,1,1,2024-01-20
142,2,1,2024-01-26
142,3,1,2024-01-31
142,4,0,
143,1,1,2024-03-24
143,2,1,2024-03-25
143,3,1,2024-03-29
143,4,1,2024-03-31
143,5,1,2024-04-05
143,6,0,
144,1,1,2024-09-17
144,2,1,2024-09-22
144,3,0,
145,1,1,2024-01-23
145,2,1,2024-01-26
145,3,1,2024-01-30
145,4,0,
146,1,1,2024-07-19
146,2,1,2024-07-22
146,3,1,2024-07-23
146,4,1,2024-07-26
146,5,1,2024-07-27
146,6,1,2024-07-31
146,7,1,2024-08-05
146,8,1,2024-08-09
146,9,1,2024-08-11
146,10,1,2024-08-13
146,11,1,2024-08-15
146,12,1,2024-08-21
147,1,1,2024-08-06
147,2,1,2024-08-10
147,3,1,2024-08-11
147,4,0,
148,1,1,2024-01-25
148,2,0,
149,1,1,2024-07-24
149,2,1,2024-07-28
149,3,1,2024-08-01
149,4,1,2024-08-04
149,5,0,
150,1,1,2024-06-15
150,2,1,2024-06-18
150,3,1,2024-06-21
150,4,0,
151,1,1,2024-02-11
151,2,1,2024-02-13
151,3,1,2024-02-18
151,4,0,
152,1,1,2024-03-18
152,2,1,2024-03-22
152,3,1,2024-03-27
152,4,1,2024-04-01
152,5,1,2024-04-07
152,6,1,2024-04-13
152,7,1,2024-04-16
152,8,0,
153,1,1,2024-09-19
153,2,1,2024-09-24
153,3,1,2024-09-26
153,4,0,
154,1,1,2024-09-23
154,2,1,2024-09-24
154,3,1,2024-09-26
154,4,1,2024-10-02
154,5,1,2024-10-06
154,6,1,2024-10-12
154,7,0,
155,1,0,
156,1,1,2024-03-07
156,2,1,2024-03-09
156,3,1,2024-03-12
156,4,1,2024-03-18
156,5,0,
157,1,1,2024-07-29
157,2,1,2024-07-30
157,3,1,2024-08-03
157,4,1,2024-08-06
157,5,1,2024-08-09
157,6,1,2024-08-11
157,7,1,2024-08-17
157,8,1,2024-08-22
157,9,1,2024-08-27
157,10,1,2024-09-01
157,11,0,
158,1,1,2024-04-07
158,2,1,2024-04-12
158,3,1,2024-04-18
158,4,1,2024-04-20
158,5,1,2024-04-22
158,6,1,2024-04-24
158,7,1,2024-04-26
158,8,1,2024-04-29
158,9,0,
159,1,1,2024-01-25
159,2,1,2024-01-30
159,3,0,
160,1,1,2024-01-26
160,2,1,2024-01-28
160,3,1,2024-01-29
160,4,1,2024-02-01
160,5,1,2024-02-07
160,6,1,2024-02-10
160,7,1,2024-02-16
160,8,1,2024-02-19
160,9,1,2024-02-20
160,10,1,2024-02-26
160,11,0,
161,1,1,2024-06-07
161,2,1,2024-06-10
161,3,0,
162,1,0,
163,1,1,2024-05-29
163,2,1,2024-06-02
163,3,0,
164,1,1,2024-02-16
164,2,1,2024-02-18
164,3,1,2024-02-21
164,4,1,2024-02-22
164,5,1,2024-02-25
164,6,1,2024-02-26
164,7,1,2024-03-01
164,8,1,2024-03-06
164,9,0,
165,1,1,2024-08-31
165,2,1,2024-09-04
165,3,1,2024-09-10
165,4,1,2024-09-11
165,5,1,2024-09-17
165,6,1,2024-09-19
165,7,0,
166,1,1,2024-08-04
166,2,0,
167,1,1,2024-02-12
167,2,1,2024-02-14
167,3,1,2024-02-18
167,4,1,2024-02-22
167,5,1,2024-02-26
167,6,0,
168,1,1,2024-06-22
168,2,1,2024-06-26
168,3,1,2024-06-29
168,4,1,2024-06-30
168,5,1,2024-07-06
168,6,1,2024-07-07
168,7,1,2024-07-09
168,8,0,
169,1,1,2024-10-12
169,2,1,2024-10-17
169,3,1,2024-10-18
169,4,0,
170,1,1,2024-05-25
170,2,0,
171,1,1,2024-06-19
171,2,1,2024-06-23
171,3,1,2024-06-26
171,4,1,2024-06-27
171,5,1,2024-07-01
171,6,1,2024-07-02
171,7,1,2024-07-03
171,8,1,2024-07-05
171,9,1,2024-07-07
171,10,1,2024-07-09
171,11,0,
172,1,1,2024-09-16
172,2,0,
173,1,1,2024-04-29
173,2,1,2024-05-05
173,3,1,2024-05-06
173,4,1,2024-05-08
173,5,1,2024-05-09
173,6,0,
174,1,1,2024-06-19
174,2,1,2024-06-22
174,3,1,2024-06-27
174,4,0,
175,1,0,
176,1,1,2024-06-10
176,2,1,2024-06-14
176,3,1,2024-06-18
176,4,0,
177,1,1,2024-05-20
177,2,1,2024-05-23
177,3,0,
178,1,1,2024-09-29
178,2,1,2024-10-03
178,3,1,2024-10-08
178,4,1,2024-10-14
178,5,1,2024-10-20
178,6,1,2024-10-25
178,7,0,
179,1,1,2024-05-12
179,2,1,2024-05-16
179,3,1,2024-05-19
179,4,1,2024-05-21
179,5,1,2024-05-26
179,6,0,
180,1,1,2024-04-21
180,2,1,2024-04-22
180,3,1,2024-04-25
180,4,1,2024-04-26
180,5,1,2024-04-30
180,6,1,2024-05-04
180,7,0,
181,1,1,2024-05-16
181,2,0,
182,1,1,2024-03-05
182,2,1,2024-03-10
182,3,1,2024-03-11
182,4,1,2024-03-16
182,5,1,2024-03-20
182,6,1,2024-03-26
182,7,1,2024-03-29
182,8,1,2024-04-03
182,9,1,2024-04-05
182,10,1,2024-04-07
182,11,1,2024-04-12
182,12,1,2024-04-18
183,1,0,
184,1,0,
185,1,1,2024-02-16
185,2,1,2024-02-17
185,3,1,2024-02-21
185,4,1,2024-02-22
185,5,1,2024-02-24
185,6,1,2024-02-26
185,7,1,2024-03-03
185,8,1,2024-03-05
185,9,1,2024-03-11
185,10,1,2024-03-15
185,11,1,2024-03-19
185,12,1,2024-03-20
186,1,0,
187,1,1,2024-06-04
187,2,1,2024-06-07
187,3,1,2024-06-10
187,4,1,2024-06-12
187,5,1,2024-06-16
187,6,0,
188,1,1,2024-04-09
188,2,1,2024-04-14
188,3,1,2024-04-20
188,4,1,2024-04-25
188,5,1,2024-05-01
188,6,1,2024-05-05
188,7,1,2024-05-08
188,8,0,
189,1,1,2024-08-17
189,2,1,2024-08-18
189,3,1,2024-08-24
189,4,0,
190,1,0,
191,1,1,2024-03-19
191,2,1,2024-03-25
191,3,1,2024-03-28
191,4,0,
192,1,1,2024-02-03
192,2,0,
193,1,1,2024-04-02
193,2,1,2024-04-08
193,3,1,2024-04-13
193,4,1,2024-04-18
193,5,1,2024-04-24
193,6,1,2024-04-26
193,7,1,2024-05-01
193,8,1,2024-05-04
193,9,1,2024-05-05
193,10,1,2024-05-09
193,11,1,2024-05-13
193,12,1,2024-05-16
194,1,1,2024-01-23
194,2,1,2024-01-26
194,3,1,2024-01-30
194,4,0,
195,1,1,2024-09-15
195,2,0,
196,1,1,2024-04-05
196,2,1,2024-04-08
196,3,1,2024-04-11
196,4,1,2024-04-17
196,5,1,2024-04-21
196,6,1,2024-04-23
196,7,1,2024-04-27
196,8,0,
197,1,1,2024-02-06
197,2,0,
198,1,1,2024-04-15
198,2,1,2024-04-20
198,3,1,2024-04-24
198,4,1,2024-04-25
198,5,0,
199,1,1,2024-03-21
199,2,1,2024-03-24
199,3,1,2024-03-29
199,4,1,2024-04-04
199,5,1,2024-04-10
199,6,1,2024-04-15
199,7,1,2024-04-20
199,8,0,
200,1,1,2024-10-24
200,2,1,2024-10-26
200,3,1,2024-10-29
200,4,1,2024-10-31
200,5,1,2024-11-06
200,6,1,2024-11-08
200,7,1,2024-11-13
200,8,1,2024-11-15
200,9,1,2024-11-20
200,10,1,2024-11-22
200,11,1,2024-11-24
200,12,1,2024-11-25
201,1,1,2024-05-23
201,2,0,
202,1,1,2024-09-25
202,2,1,2024-09-29
202,3,1,2024-10-03
202,4,1,2024-10-06
202,5,1,2024-10-12
202,6,1,2024-10-17
202,7,0,
203,1,1,2024-04-05
203,2,1,2024-04-07
203,3,1,2024-04-11
203,4,1,2024-04-12
203,5,1,2024-04-13
203,6,1,2024-04-14
203,7,1,2024-04-15
203,8,1,2024-04-21
203,9,1,2024-04-22
203,10,0,
204,1,1,2024-10-03
204,2,1,2024-10-06
204,3,1,2024-10-12
204,4,1,2024-10-18
204,5,1,2024-10-23
204,6,1,2024-10-27
204,7,1,2024-10-28
204,8,1,2024-10-31
204,9,1,2024-11-06
204,10,1,2024-11-11
204,11,1,2024-11-17
204,12,0,
205,1,1,2024-01-29
205,2,1,2024-02-01
205,3,1,2024-02-06
205,4,1,2024-02-10
205,5,0,
206,1,1,2024-09-01
206,2,1,2024-09-07
206,3,1,2024-09-10
206,4,0,
207,1,1,2024-03-07
207,2,1,2024-03-09
207,3,1,2024-03-14
207,4,1,2024-03-16
207,5,0,
208,1,1,2024-02-03
208,2,1,2024-02-04
208,3,1,2024-02-08
208,4,1,2024-02-13
208,5,0,
209,1,1,2024-07-17
209,2,1,2024-07-22
209,3,1,2024-07-28
209,4,1,2024-08-01
209,5,0,
210,1,1,2024-10-27
210,2,1,2024-10-29
210,3,1,2024-10-30
210,4,1,2024-11-02
210,5,0,
211,1,1,2024-08-20
211,2,1,2024-08-26
211,3,1,2024-08-31
211,4,0,
212,1,0,
213,1,1,2024-02-03
213,2,1,2024-02-06
213,3,1,2024-02-12
213,4,1,2024-02-15
213,5,1,2024-02-19
213,6,1,2024-02-23
213,7,1,2024-02-27
213,8,0,
214,1,1,2024-10-19
214,2,1,2024-10-20
214,3,1,2024-10-22
214,4,1,2024-10-26
214,5,1,2024-11-01
214,6,1,2024-11-06
214,7,0,
215,1,1,2024-02-12
215,2,1,2024-02-13
215,3,1,2024-02-17
215,4,1,2024-02-18
215,5,1,2024-02-20
215,6,1,2024-02-24
215,7,1,2024-02-26
215,8,1,2024-02-28
215,9,1,2024-03-03
215,10,1,2024-03-05
215,11,1,2024-03-06
215,12,0,
216,1,1,2024-02-09
216,2,1,2024-02-15
216,3,1,2024-02-19
216,4,1,2024-02-25
216,5,1,2024-02-28
216,6,1,2024-03-04
216,7,1,2024-03-05
216,8,1,2024-03-09
216,9,0,
217,1,1,2024-09-06
217,2,1,2024-09-09
217,3,1,2024-09-15
217,4,1,2024-09-19
217,5,0,
218,1,1,2024-10-27
218,2,1,2024-11-01
218,3,1,2024-11-07
218,4,1,2024-11-12
218,5,1,2024-11-18
218,6,1,2024-11-19
218,7,0,
219,1,0,
220,1,1,2024-04-11
220,2,0,
221,1,1,2024-04-28
221,2,1,2024-05-04
221,3,0,
222,1,1,2024-01-16
222,2,1,2024-01-18
222,3,1,2024-01-20
222,4,1,2024-01-24
222,5,1,2024-01-25
222,6,1,2024-01-28
222,7,0,
223,1,1,2024-09-01
223,2,1,2024-09-05
223,3,1,2024-09-11
223,4,1,2024-09-15
223,5,1,2024-09-18
