enrolment_id,course,enrolled_date,plan
67,Python Intro,2024-09-17,free
68,SQL Basics,2024-07-14,free
69,Data 101,2024-03-10,free
70,Python Intro,2024-03-28,paid
71,Data 101,2024-06-17,paid
72,Data 101,2024-08-05,free
73,Python Intro,2024-10-27,paid
74,Python Intro,2024-04-27,free
75,Python Intro,2024-09-11,paid
76,SQL Basics,2024-01-27,paid
77,Python Intro,2024-02-25,paid
78,Data 101,2024-03-14,paid
79,Data 101,2024-04-16,paid
80,Data 101,2024-08-08,paid
81,Python Intro,2024-05-22,paid
82,Python Intro,2024-05-18,paid
83,Data 101,2024-08-29,free
84,Python Intro,2024-04-19,free
85,Data 101,2024-06-02,free
86,Python Intro,2024-05-13,paid
87,Data 101,2024-07-01,free
88,Python Intro,2024-03-20,paid
89,SQL Basics,2024-10-16,paid
90,Data 101,2024-07-08,paid
91,Python Intro,2024-03-14,free
92,Data 101,2024-06-21,free
93,Data 101,2024-10-16,paid
94,SQL Basics,2024-04-14,free
95,SQL Basics,2024-05-13,paid
96,Python Intro,2024-06-20,free
97,Python Intro,2024-09-19,paid
98,Data 101,2024-09-20,paid
99,SQL Basics,2024-04-24,paid
100,SQL Basics,2024-09-06,free
101,Data 101,2024-06-17,paid
102,Python Intro,2024-02-09,paid
103,Data 101,2024-04-05,paid
104,Data 101,2024-04-21,free
105,SQL Basics,2024-06-23,paid
106,Python Intro,2024-01-21,free
107,Data 101,2024-05-23,paid
108,Data 101,2024-02-24,free
109,Python Intro,2024-04-25,free
110,Data 101,2024-03-10,paid
111,SQL Basics,2024-09-26,paid
112,Python Intro,2024-01-17,free
113,Python Intro,2024-09-14,paid
114,Data 101,2024-10-09,paid
115,SQL Basics,2024-10-05,free
116,Python Intro,2024-06-22,free
117,Data 101,2024-06-25,paid
118,Python Intro,2024-03-30,paid
119,Python Intro,2024-04-27,free
120,SQL Basics,2024-08-30,paid
121,Python Intro,2024-07-01,free
122,SQL Basics,2024-09-18,free
123,Data 101,2024-06-21,paid
124,Data 101,2024-04-13,free
125,SQL Basics,2024-06-06,free
126,SQL Basics,2024-09-04,free
127,SQL Basics,2024-05-05,paid
128,Python Intro,2024-04-01,paid
129,Python Intro,2024-10-01,paid
130,Data 101,2024-01-07,paid
131,SQL Basics,2024-03-15,paid
132,Data 101,2024-01-12,free
133,Data 101,2024-02-23,free
134,Python Intro,2024-02-05,paid
135,SQL Basics,2024-08-16,paid
136,SQL Basics,2024-09-24,free
137,Python Intro,2024-07-08,paid
138,Data 101,2024-05-20,paid
139,Data 101,2024-06-13,paid
140,Python Intro,2024-10-21,paid
141,SQL Basics,2024-10-05,free
142,Data 101,2024-01-15,paid
143,Data 101,2024-03-18,free
144,Data 101,2024-09-15,free
145,Python Intro,2024-01-19,paid
146,Data 101,2024-07-18,paid
147,Data 101,2024-07-31,paid
148,SQL Basics,2024-01-22,free
149,Python Intro,2024-07-18,paid
150,Data 101,2024-06-10,paid
151,SQL Basics,2024-02-10,paid
152,SQL Basics,2024-03-14,paid
153,Data 101,2024-09-17,paid
154,Data 101,2024-09-19,free
155,SQL Basics,2024-07-07,paid
156,Data 101,2024-03-04,free
157,SQL Basics,2024-07-25,paid
158,Data 101,2024-04-05,free
159,Data 101,2024-01-19,paid
160,SQL Basics,2024-01-21,paid
161,Data 101,2024-06-03,paid
162,Data 101,2024-09-06,paid
163,SQL Basics,2024-05-28,paid
164,SQL Basics,2024-02-14,paid
165,SQL Basics,2024-08-27,paid
166,SQL Basics,2024-08-01,paid
167,Python Intro,2024-02-08,free
168,SQL Basics,2024-06-19,paid
169,Data 101,2024-10-11,free
170,Python Intro,2024-05-24,paid
171,SQL Basics,2024-06-13,free
172,SQL Basics,2024-09-15,free
173,SQL Basics,2024-04-27,free
174,SQL Basics,2024-06-16,paid
175,SQL Basics,2024-06-27,free
176,Data 101,2024-06-04,free
177,Data 101,2024-05-16,free
178,Python Intro,2024-09-25,free
179,SQL Basics,2024-05-11,free
180,Python Intro,2024-04-15,free
181,SQL Basics,2024-05-10,paid
182,Data 101,2024-02-29,paid
183,Data 101,2024-03-30,free
184,Data 101,2024-10-12,paid
185,Data 101,2024-02-14,free
186,SQL Basics,2024-08-12,paid
187,Python Intro,2024-05-30,paid
188,Data 101,2024-04-03,paid
189,SQL Basics,2024-08-15,free
190,SQL Basics,2024-08-29,free
191,SQL Basics,2024-03-15,paid
192,Data 101,2024-01-31,free
193,Python Intro,2024-03-31,free
194,SQL Basics,2024-01-17,paid
195,Python Intro,2024-09-12,paid
196,SQL Basics,2024-03-30,paid
197,Python Intro,2024-02-02,free
198,SQL Basics,2024-04-09,free
199,Data 101,2024-03-16,paid
200,Data 101,2024-10-19,paid
201,Data 101,2024-05-18,free
202,Python Intro,2024-09-24,free
203,Python Intro,2024-03-31,free
204,SQL Basics,2024-10-01,free
205,Data 101,2024-01-28,paid
206,Data 101,2024-08-26,free
207,SQL Basics,2024-03-03,paid
208,Data 101,2024-01-31,free
209,SQL Basics,2024-07-13,free
210,Data 101,2024-10-26,free
211,SQL Basics,2024-08-14,paid
212,SQL Basics,2024-03-28,paid
213,Data 101,2024-01-30,free
214,SQL Basics,2024-10-14,free
215,SQL Basics,2024-02-07,paid
216,SQL Basics,2024-02-05,free
217,SQL Basics,2024-09-01,paid
218,Data 101,2024-10-24,free
219,Python Intro,2024-07-11,paid
220,SQL Basics,2024-04-06,free
221,Data 101,2024-04-24,paid
222,Python Intro,2024-01-13,paid
223,SQL Basics,2024-08-30,free
224,Python Intro,2024-05-15,paid
225,SQL Basics,2024-08-01,free
226,Data 101,2024-04-23,paid
227,SQL Basics,2024-09-15,free
228,Python Intro,2024-02-15,paid
229,SQL Basics,2024-09-10,paid
230,Python Intro,2024-08-08,free
231,SQL Basics,2024-10-07,paid
232,Data 101,2024-05-10,free
233,SQL Basics,2024-10-10,paid
234,SQL Basics,2024-09-26,paid
235,SQL Basics,2024-09-13,free
236,Data 101,2024-02-22,free
237,Python Intro,2024-02-05,free
238,Python Intro,2024-08-26,paid
239,Python Intro,2024-07-31,free
240,Data 101,2024-10-27,free
241,Data 101,2024-04-18,paid
242,Data 101,2024-10-16,free
243,Python Intro,2024-02-09,paid
244,SQL Basics,2024-10-26,free
245,Data 101,2024-07-27,free
246,Python Intro,2024-01-12,paid
247,Data 101,2024-09-25,paid
248,SQL Basics,2024-08-17,free
249,SQL Basics,2024-03-15,free
250,SQL Basics,2024-01-11,free
251,Data 101,2024-09-01,free
252,Python Intro,2024-04-03,free
253,Python Intro,2024-07-31,paid
254,Python Intro,2024-04-03,paid
255,SQL Basics,2024-10-11,paid
256,Python Intro,2024-04-02,paid
257,Python Intro,2024-10-16,paid
258,Python Intro,2024-08-26,free
259,Data 101,2024-02-29,free
260,Python Intro,2024-06-01,free
261,SQL Basics,2024-01-13,free
262,SQL Basics,2024-06-10,paid
263,SQL Basics,2024-09-10,paid
264,SQL Basics,2024-03-06,free
265,Data 101,2024-09-19,free
266,Data 101,2024-09-10,paid
267,Data 101,2024-05-05,free
268,SQL Basics,2024-06-27,free
269,Data 101,2024-04-22,paid
270,Data 101,2024-07-08,free
271,Python Intro,2024-08-01,paid
272,Python Intro,2024-03-22,free
273,Data 101,2024-01-28,paid
274,Data 101,2024-05-18,paid
275,Python Intro,2024-09-21,free
276,Data 101,2024-08-05,free
277,Data 101,2024-08-19,paid
278,SQL Basics,2024-03-08,free
279,Python Intro,2024-02-16,free
280,SQL Basics,2024-03-13,paid
281,SQL Basics,2024-06-27,paid
282,SQL Basics,2024-10-06,free
283,Python Intro,2024-04-22,paid
284,Python Intro,2024-08-26,paid
285,SQL Basics,2024-08-25,paid
286,Python Intro,2024-04-02,paid
287,SQL Basics,2024-03-17,free
288,Python Intro,2024-08-31,paid
289,SQL Basics,2024-06-19,paid
290,Python Intro,2024-09-21,paid
291,SQL Basics,2024-08-29,free
292,Python Intro,2024-08-09,free
293,SQL Basics,2024-08-21,free
294,SQL Basics,2024-06-24,paid
295,SQL Basics,2024-08-18,paid
296,Python Intro,2024-07-31,paid
297,SQL Basics,2024-03-05,paid
298,SQL Basics,2024-07-20,free
299,SQL Basics,2024-05-22,free
300,Python Intro,2024-02-21,paid
301,SQL Basics,2024-05-09,paid
302,SQL Basics,2024-04-14,paid
303,SQL Basics,2024-10-04,paid
304,Python Intro,2024-10-07,paid
305,SQL Basics,2024-01-24,paid
306,SQL Basics,2024-09-29,paid
307,Data 101,2024-08-08,paid
308,Python Intro,2024-10-09,paid
309,SQL Basics,2024-05-11,free
310,Data 101,2024-08-28,paid
311,Python Intro,2024-06-14,paid
312,Data 101,2024-06-29,paid
313,Python Intro,2024-03-09,free
314,SQL Basics,2024-06-27,paid
315,SQL Basics,2024-02-06,paid
316,Data 101,2024-01-10,paid
317,SQL Basics,2024-10-25,paid
318,SQL Basics,2024-05-03,paid
319,Python Intro,2024-01-20,paid
320,Data 101,2024-06-01,paid
321,Data 101,2024-04-09,paid
322,SQL Basics,2024-03-13,paid
323,Data 101,2024-02-05,free
324,Data 101,2024-04-10,paid
325,Python Intro,2024-09-14,free
326,Python Intro,2024-09-10,free
327,Data 101,2024-06-01,free
328,Data 101,2024-06-12,free
329,Data 101,2024-10-18,free
330,SQL Basics,2024-07-01,free
331,Python Intro,2024-02-13,paid
332,Python Intro,2024-02-14,free
333,Python Intro,2024-07-10,free
334,Python Intro,2024-03-08,free
335,Python Intro,2024-09-12,free
336,Python Intro,2024-05-28,free
337,Data 101,2024-08-03,free
338,Data 101,2024-06-06,free
339,Python Intro,2024-03-05,free
340,Data 101,2024-04-01,paid
341,Data 101,2024-05-15,free
342,Data 101,2024-04-05,free
343,Python Intro,2024-02-03,free
344,Data 101,2024-08-22,paid
345,SQL Basics,2024-02-12,free
346,Data 101,2024-02-04,paid
347,Python Intro,2024-04-20,paid
348,Data 101,2024-07-20,paid
349,Data 101,2024-03-19,free
350,Data 101,2024-10-22,paid
351,SQL Basics,2024-10-10,free
352,Data 101,2024-07-01,free
353,Data 101,2024-09-03,free
354,Python Intro,2024-08-09,free
355,SQL Basics,2024-09-19,free
356,SQL Basics,2024-07-11,free
357,SQL Basics,2024-09-07,paid
358,SQL Basics,2024-01-22,free
359,Data 101,2024-03-12,paid
360,SQL Basics,2024-02-24,free
361,Data 101,2024-02-24,free
362,Python Intro,2024-01-24,free
363,SQL Basics,2024-10-27,paid
364,Data 101,2024-08-22,free
365,Python Intro,2024-01-19,paid
366,Data 101,2024-09-11,paid
367,Data 101,2024-08-07,free
368,Python Intro,2024-08-20,paid
369,Python Intro,2024-05-21,paid
370,Data 101,2024-04-21,free
371,SQL Basics,2024-02-16,free
372,Python Intro,2024-06-17,paid
373,Data 101,2024-01-10,paid
374,Python Intro,2024-04-29,paid
375,Data 101,2024-05-05,free
376,Python Intro,2024-03-21,paid
377,SQL Basics,2024-02-26,paid
378,Data 101,2024-05-20,paid
379,Python Intro,2024-05-09,free
380,Data 101,2024-09-30,paid
381,SQL Basics,2024-02-01,paid
382,SQL Basics,2024-05-11,free
383,Data 101,2024-07-20,free
384,SQL Basics,2024-08-28,free
385,Data 101,2024-10-19,paid
386,Data 101,2024-03-11,free
387,Python Intro,2024-03-12,paid
388,Data 101,2024-06-18,free
389,SQL Basics,2024-08-19,free
390,Data 101,2024-07-27,free
391,SQL Basics,2024-07-09,free
392,Data 101,2024-05-16,paid
393,Python Intro,2024-07-31,paid
394,Data 101,2024-09-01,paid
395,Python Intro,2024-02-04,free
396,Data 101,2024-01-03,free
397,Data 101,2024-10-26,free
398,Data 101,2024-09-01,paid
399,SQL Basics,2024-09-11,paid
400,SQL Basics,2024-06-09,free
401,Python Intro,2024-08-07,paid
402,Python Intro,2024-03-24,free
403,Data 101,2024-07-28,paid
404,SQL Basics,2024-04-06,free
405,Python Intro,2024-07-13,paid
406,Data 101,2024-01-01,free
407,Python Intro,2024-10-15,paid
408,SQL Basics,2024-09-01,paid
409,SQL Basics,2024-07-24,free
410,Data 101,2024-06-11,paid
411,SQL Basics,2024-04-21,paid
412,SQL Basics,2024-04-10,free
413,SQL Basics,2024-02-17,paid
414,Python Intro,2024-04-17,paid
415,Data 101,2024-06-05,free
416,SQL Basics,2024-06-26,free
417,Python Intro,2024-07-27,paid
418,Data 101,2024-08-31,free
419,Data 101,2024-10-25,paid
420,SQL Basics,2024-07-26,free
421,Data 101,2024-02-10,free
422,SQL Basics,2024-07-10,free
423,Python Intro,2024-05-16,free
424,Data 101,2024-06-11,free
425,Python Intro,2024-03-26,paid
426,Data 101,2024-09-13,paid
427,Python Intro,2024-06-05,free
428,SQL Basics,2024-10-09,free
429,SQL Basics,2024-07-21,free
430,Python Intro,2024-05-02,free
431,Python Intro,2024-06-10,free
432,Python Intro,2024-04-01,free
433,SQL Basics,2024-09-20,free
434,SQL Basics,2024-06-11,paid
435,Python Intro,2024-09-11,paid
436,Data 101,2024-01-18,paid
437,Data 101,2024-01-10,paid
438,Data 101,2024-03-21,paid
439,SQL Basics,2024-09-03,free
440,Python Intro,2024-06-14,free
441,Data 101,2024-03-28,free
442,SQL Basics,2024-03-12,paid
443,Data 101,2024-07-15,free
444,Python Intro,2024-05-21,free
445,SQL Basics,2024-02-18,paid
446,Data 101,2024-10-09,paid
447,SQL Basics,2024-08-06,paid
448,Data 101,2024-05-27,free
449,Python Intro,2024-03-14,paid
450,SQL Basics,2024-02-04,paid
451,SQL Basics,2024-06-20,free
452,Data 101,2024-04-29,paid
453,Data 101,2024-04-10,paid
454,SQL Basics,2024-09-29,free
455,Data 101,2024-03-04,paid
456,Data 101,2024-09-23,free
457,SQL Basics,2024-10-17,free
458,Data 101,2024-09-10,free
459,SQL Basics,2024-10-03,paid
460,Data 101,2024-10-22,paid
461,SQL Basics,2024-01-03,free
462,Python Intro,2024-04-04,free
463,Data 101,2024-05-02,free
464,SQL Basics,2024-04-12,free
465,Python Intro,2024-05-23,free
466,SQL Basics,2024-09-24,paid
467,Python Intro,2024-05-09,free
468,SQL Basics,2024-03-22,paid
469,Data 101,2024-08-22,free
470,SQL Basics,2024-07-09,paid
471,SQL Basics,2024-01-31,free
472,SQL Basics,2024-04-24,free
473,Data 101,2024-03-26,paid
474,SQL Basics,2024-07-21,free
475,Data 101,2024-05-03,paid
476,SQL Basics,2024-08-23,free
477,Python Intro,2024-03-18,paid
478,Python Intro,2024-02-02,paid
479,SQL Basics,2024-04-19,paid
480,Data 101,2024-03-18,paid
481,SQL Basics,2024-02-01,paid
482,Python Intro,2024-08-02,free
483,Python Intro,2024-08-25,free
484,Python Intro,2024-06-24,paid
485,SQL Basics,2024-10-26,free
486,Data 101,2024-06-22,free
487,Python Intro,2024-08-07,free
488,Data 101,2024-02-11,paid
489,Data 101,2024-01-30,free
490,Python Intro,2024-05-16,paid
491,SQL Basics,2024-09-07,paid
492,Data 101,2024-04-15,free
493,Python Intro,2024-09-18,paid
494,Data 101,2024-08-08,free
495,Python Intro,2024-01-21,paid
496,SQL Basics,2024-09-04,paid
497,Python Intro,2024-09-14,paid
498,Data 101,2024-04-23,paid
499,Python Intro,2024-08-08,free
500,SQL Basics,2024-01-13,paid
501,Data 101,2024-01-14,free
502,SQL Basics,2024-02-01,free
503,Python Intro,2024-06-08,paid
504,Data 101,2024-04-21,paid
505,Data 101,2024-08-12,paid
506,SQL Basics,2024-08-05,free
507,SQL Basics,2024-09-19,free
508,SQL Basics,2024-03-16,free
509,Python Intro,2024-05-28,paid
510,SQL Basics,2024-09-17,paid
511,SQL Basics,2024-06-19,free
512,Python Intro,2024-02-22,free
513,Data 101,2024-05-26,free
514,Data 101,2024-02-28,paid
515,Python Intro,2024-01-26,paid
516,Python Intro,2024-01-09,free
517,SQL Basics,2024-08-27,paid
518,SQL Basics,2024-01-08,paid
519,Data 101,2024-02-18,free
520,Python Intro,2024-02-14,free
521,Data 101,2024-05-16,paid
522,Data 101,2024-06-05,free
523,Data 101,2024-07-13,free
524,Python Intro,2024-01-28,paid
525,Data 101,2024-02-29,paid
526,Data 101,2024-07-10,paid
527,SQL Basics,2024-09-01,free
528,Python Intro,2024-06-05,paid
529,Data 101,2024-10-08,free
530,Data 101,2024-01-12,paid
531,Python Intro,2024-09-11,free
532,Python Intro,2024-05-15,free
533,Data 101,2024-06-14,free
534,Python Intro,2024-04-26,free
535,SQL Basics,2024-09-01,free
536,SQL Basics,2024-04-04,free
537,Data 101,2024-10-15,free
538,Python Intro,2024-07-09,paid
539,Data 101,2024-06-24,free
540,SQL Basics,2024-06-20,paid
541,SQL Basics,2024-10-19,paid
542,SQL Basics,2024-08-24,paid
543,Data 101,2024-08-08,free
544,Data 101,2024-08-06,free
545,SQL Basics,2024-08-04,free
546,Data 101,2024-05-26,paid
547,Data 101,2024-10-18,paid
548,Data 101,2024-04-03,free
549,Python Intro,2024-03-08,paid
550,Data 101,2024-03-10,free
551,Python Intro,2024-04-03,paid
552,SQL Basics,2024-02-15,paid
553,SQL Basics,2024-06-26,free
554,Data 101,2024-02-01,paid
555,Data 101,2024-10-12,paid
556,SQL Basics,2024-07-10,free
557,Python Intro,2024-08-09,paid
558,Python Intro,2024-10-01,free
559,Python Intro,2024-02-09,paid
560,Data 101,2024-02-27,paid
561,SQL Basics,2024-09-26,free
562,Data 101,2024-06-27,paid
563,SQL Basics,2024-04-16,paid
564,Data 101,2024-05-12,free
565,SQL Basics,2024-01-02,free
566,Python Intro,2024-01-17,free
567,Data 101,2024-01-28,free
568,Data 101,2024-01-19,free
569,Data 101,2024-01-22,free
570,Data 101,2024-06-09,free
571,Data 101,2024-08-14,paid
572,Python Intro,2024-07-29,free
573,SQL Basics,2024-04-19,paid
574,Python Intro,2024-06-13,paid
575,SQL Basics,2024-05-16,free
576,SQL Basics,2024-05-25,free
577,SQL Basics,2024-04-18,free
578,SQL Basics,2024-10-21,free
579,SQL Basics,2024-08-09,free
580,SQL Basics,2024-08-13,free
581,Data 101,2024-03-07,free
582,Python Intro,2024-10-21,paid
583,Data 101,2024-09-09,free
584,Python Intro,2024-09-07,free
585,Data 101,2024-08-26,paid
586,Python Intro,2024-09-17,paid
587,SQL Basics,2024-05-28,free
588,SQL Basics,2024-08-04,free
589,Data 101,2024-04-17,paid
590,SQL Basics,2024-08-09,paid
591,Data 101,2024-08-24,paid
592,Python Intro,2024-10-16,free
593,Data 101,2024-06-02,free
594,SQL Basics,2024-09-29,free
595,Data 101,2024-04-02,free
596,Python Intro,2024-07-25,paid
597,Data 101,2024-07-27,paid
598,Data 101,2024-08-18,free
599,Data 101,2024-10-15,free
600,SQL Basics,2024-03-14,paid
601,Python Intro,2024-06-16,free
602,SQL Basics,2024-08-17,free
603,SQL Basics,2024-05-25,free
604,Data 101,2024-06-27,free
605,SQL Basics,2024-05-08,paid
606,SQL Basics,2024-03-12,free
607,Data 101,2024-03-06,paid
608,Data 101,2024-09-10,paid
609,SQL Basics,2024-04-01,paid
610,Data 101,2024-08-24,free
611,Data 101,2024-01-28,free
612,Data 101,2024-10-27,paid
613,Data 101,2024-10-08,free
614,Data 101,2024-07-22,free
615,Data 101,2024-01-26,free
616,SQL Basics,2024-06-09,free
617,SQL Basics,2024-04-14,paid
618,Data 101,2024-01-04,free
619,Data 101,2024-03-19,paid
620,SQL Basics,2024-07-21,paid
621,Data 101,2024-04-10,free
622,Data 101,2024-08-28,free
623,SQL Basics,2024-08-16,paid
624,Data 101,2024-05-12,paid
625,Data 101,2024-08-12,free
626,Data 101,2024-05-15,free
627,Data 101,2024-04-05,free
628,Python Intro,2024-04-25,paid
629,SQL Basics,2024-01-01,free
630,SQL Basics,2024-01-27,paid
631,Data 101,2024-10-08,paid
632,Data 101,2024-05-22,free
633,SQL Basics,2024-08-21,paid
634,Data 101,2024-06-10,free
635,SQL Basics,2024-04-26,paid
636,Python Intro,2024-04-08,free
637,SQL Basics,2024-03-03,paid
638,Data 101,2024-07-11,free
639,Data 101,2024-03-18,paid
640,Data 101,2024-05-03,paid
641,Python Intro,2024-03-30,paid
642,Data 101,2024-05-18,paid
643,SQL Basics,2024-08-20,free
644,Data 101,2024-02-01,free
645,SQL Basics,2024-01-29,paid
646,SQL Basics,2024-07-10,paid
647,SQL Basics,2024-05-01,paid
648,Data 101,2024-01-10,free
649,SQL Basics,2024-06-25,paid
650,Python Intro,2024-05-26,paid
651,Data 101,2024-03-29,free
652,Python Intro,2024-07-03,free
653,Data 101,2024-01-31,paid
654,Data 101,2024-08-30,free
655,Python Intro,2024-09-20,free
656,SQL Basics,2024-07-31,free
657,Data 101,2024-06-03,free
658,SQL Basics,2024-05-28,paid
659,Python Intro,2024-07-29,paid
660,Data 101,2024-06-29,free
661,Data 101,2024-08-17,paid
662,SQL Basics,2024-01-01,paid
663,Python Intro,2024-09-23,free
664,SQL Basics,2024-03-08,free
665,Data 101,2024-02-24,paid
666,Data 101,2024-07-10,free
667,SQL Basics,2024-03-24,free
668,Data 101,2024-09-03,free
669,SQL Basics,2024-07-17,free
670,Data 101,2024-09-18,free
671,Data 101,2024-01-22,paid
672,Data 101,2024-03-28,free
673,SQL Basics,2024-06-02,free
674,Data 101,2024-01-16,free
675,Data 101,2024-06-22,free
676,Python Intro,2024-04-05,paid
677,Python Intro,2024-02-14,paid
678,Python Intro,2024-06-04,free
679,Data 101,2024-08-25,paid
680,Data 101,2024-02-11,paid
681,Data 101,2024-03-10,paid
682,SQL Basics,2024-04-21,free
683,Python Intro,2024-10-06,free
684,Python Intro,2024-05-27,paid
685,Python Intro,2024-07-25,paid
686,SQL Basics,2024-05-28,free
687,Python Intro,2024-08-25,free
688,Python Intro,2024-10-26,free
689,Python Intro,2024-06-05,paid
690,Data 101,2024-07-19,paid
691,Data 101,2024-04-30,free
692,Data 101,2024-02-28,free
693,SQL Basics,2024-01-01,paid
694,Data 101,2024-05-10,paid
695,SQL Basics,2024-08-14,free
696,Python Intro,2024-02-06,paid
697,SQL Basics,2024-07-31,free
698,Python Intro,2024-10-18,free
699,Python Intro,2024-10-18,paid
700,SQL Basics,2024-04-09,paid
701,Data 101,2024-09-12,free
702,SQL Basics,2024-05-29,free
703,Python Intro,2024-04-21,free
704,Data 101,2024-06-07,paid
705,SQL Basics,2024-10-25,free
706,Python Intro,2024-04-13,free
707,Data 101,2024-04-07,paid
708,SQL Basics,2024-03-08,free
709,SQL Basics,2024-01-26,paid
710,SQL Basics,2024-08-07,paid
711,SQL Basics,2024-10-03,paid
712,SQL Basics,2024-04-06,paid
713,SQL Basics,2024-07-27,free
714,Data 101,2024-07-31,paid
715,Python Intro,2024-08-31,paid
716,SQL Basics,2024-10-11,free
717,Data 101,2024-06-22,paid
718,Data 101,2024-06-08,free
719,Data 101,2024-03-10,paid
720,Data 101,2024-04-05,free
721,SQL Basics,2024-01-07,paid
722,SQL Basics,2024-06-30,paid
723,Python Intro,2024-06-02,free
724,Data 101,2024-10-19,paid
725,Data 101,2024-03-06,free
726,SQL Basics,2024-02-27,paid
727,Data 101,2024-04-28,paid
728,Python Intro,2024-02-13,free
729,Python Intro,2024-03-25,free
730,SQL Basics,2024-02-02,paid
731,Python Intro,2024-08-29,paid
732,Python Intro,2024-04-06,free
733,Python Intro,2024-08-08,paid
734,SQL Basics,2024-02-24,free
735,Data 101,2024-04-28,free
736,SQL Basics,2024-09-19,paid
737,SQL Basics,2024-04-08,paid
738,Data 101,2024-01-25,free
739,SQL Basics,2024-06-20,paid
740,Data 101,2024-02-26,paid
741,Python Intro,2024-09-19,paid
742,SQL Basics,2024-07-07,free
743,Data 101,2024-10-10,paid
744,Data 101,2024-10-13,paid
745,Data 101,2024-02-23,paid
746,Data 101,2024-02-10,free
747,Data 101,2024-02-01,free
748,Python Intro,2024-06-04,free
749,Data 101,2024-03-30,free
750,SQL Basics,2024-10-10,free
751,Python Intro,2024-09-26,free
752,SQL Basics,2024-08-06,free
753,Python Intro,2024-08-30,free
754,Data 101,2024-06-24,free
755,Data 101,2024-03-28,free
756,Data 101,2024-08-13,paid
757,SQL Basics,2024-05-05,paid
758,SQL Basics,2024-06-16,free
759,Python Intro,2024-03-15,free
760,SQL Basics,2024-08-08,paid
761,Python Intro,2024-02-21,paid
762,Python Intro,2024-06-03,paid
763,Python Intro,2024-01-02,free
764,SQL Basics,2024-02-25,free
765,Data 101,2024-01-21,paid
766,Data 101,2024-06-01,free
767,Python Intro,2024-06-29,free
768,SQL Basics,2024-03-17,paid
769,SQL Basics,2024-08-20,paid
770,SQL Basics,2024-08-01,paid
771,Python Intro,2024-07-28,free
772,Python Intro,2024-06-17,free
773,SQL Basics,2024-01-07,free
774,SQL Basics,2024-08-01,free
775,Python Intro,2024-08-16,free
776,Data 101,2024-01-25,paid
777,Data 101,2024-04-29,free
778,Python Intro,2024-07-23,paid
779,SQL Basics,2024-08-17,paid
780,SQL Basics,2024-08-07,paid
781,Data 101,2024-05-20,free
782,Python Intro,2024-03-25,paid
783,Python Intro,2024-06-25,free
784,Python Intro,2024-06-18,free
785,SQL Basics,2024-06-08,paid
786,Data 101,2024-03-17,paid
787,Python Intro,2024-04-21,free
788,SQL Basics,2024-03-27,paid
789,SQL Basics,2024-01-28,paid
790,SQL Basics,2024-05-02,free
791,SQL Basics,2024-07-29,free
792,SQL Basics,2024-03-07,free
793,SQL Basics,2024-09-17,free
794,SQL Basics,2024-06-26,paid
795,Python Intro,2024-07-17,paid
796,Python Intro,2024-07-08,paid
797,SQL Basics,2024-07-05,free
798,Python Intro,2024-05-23,free
799,Python Intro,2024-04-08,free
