subscriber_id,plan,tenure_months,monthly_gb,monthly_bill,support_tickets,churned
611,XL,56,8.9,22.62,3,0
612,L,56,6.5,19.83,0,0
613,L,26,5.2,18.2,5,0
614,L,23,10.1,27.15,2,0
615,L,67,10,24.02,1,0
616,M,46,8,21.54,6,0
617,M,39,6.6,19.98,4,0
618,L,29,10.5,24.64,6,0
619,L,22,6.1,22.36,3,0
620,L,1,7.9,24.43,0,0
621,M,678,11.4,25.66,6,0
622,L,5,4.9,20.88,3,0
623,L,9,7.7,24.25,6,0
624,M,19,5.5,21.56,3,0
625,L,6,9.3,26.14,2,0
626,L,19,8,24.56,1,1
627,XL,17,10.2,27.25,6,0
628,S,27,10.4,24.47,5,0
629,L,46,9.4,23.23,4,0
630,L,54,6.9,20.26,2,0
631,L,67,7,20.36,5,1
632,S,28,10.3,24.36,3,0
633,XL,29,5.7,18.86,4,1
634,M,66,5.5,18.65,0,0
635,M,40,6.1,19.33,2,0
636,L,55,7.7,21.28,6,0
637,XL,68,9,22.76,4,0
638,L,38,8.4,22.08,3,0
639,L,13,7.7,24.23,1,1
640,L,43,8.3,21.99,3,0
641,M,30,7.4,20.89,6,0
642,M,47,6.8,20.2,2,1
643,S,23,5.8,21.95,6,0
644,L,27,8.2,21.87,4,0
645,XL,25,10,23.94,5,0
646,XL,41,7.5,21.02,2,0
647,S,63,4.4,17.33,4,0
648,XL,67,6.9,20.24,3,0
649,L,15,7.3,23.74,6,0
650,M,58,8.8,22.5,0,0
651,L,63,8.3,21.95,1,1
652,XL,46,9.7,23.6,6,0
653,L,64,8.4,22.1,6,0
654,L,62,7.9,21.47,6,0
655,M,28,8.7,22.4,6,0
656,L,59,6.2,19.41,1,0
657,L,28,7.1,20.49,1,0
658,L,20,11.9,29.26,2,0
659,L,8,7,23.42,5,1
660,S,694,7.2,20.64,1,0
661,L,13,10.7,27.84,3,0
662,M,48,7.1,20.48,1,0
663,S,5,9,25.81,3,1
664,L,17,8.1,24.77,5,0
665,XL,1,8.2,24.82,2,0
666,L,14,7.1,23.49,3,0
667,L,68,11.1,25.37,5,0
668,S,1,9,25.76,1,0
669,M,44,7,20.35,6,0
670,S,2,11.4,28.7,6,0
671,M,50,5.8,18.96,2,0
672,XL,10,9.3,26.1,0,0
673,L,35,9.6,23.47,4,0
674,S,22,7,23.41,4,0
675,L,43,7.6,21.16,6,0
676,XL,10,5.6,21.71,2,1
677,L,23,7,23.44,5,0
678,L,32,9.1,22.91,1,0
679,L,9,9.8,26.78,2,0
680,L,54,6.4,19.72,1,0
681,L,42,6.7,19.99,4,0
682,L,15,6.8,23.2,3,0
683,L,22,4.6,20.52,6,0
684,S,17,10.3,27.34,4,0
685,XL,25,7.2,20.6,2,1
686,M,60,8.2,21.79,2,0
687,XL,36,9.6,23.55,6,0
688,XL,28,8.6,22.26,0,0
689,M,48,7.4,20.86,2,0
690,M,71,6.9,20.33,6,0
691,L,67,7.8,21.3,1,0
692,M,19,5.3,21.41,6,0
693,L,69,5.5,18.65,6,0
694,L,41,7,20.41,2,0
695,L,47,7.8,21.34,6,0
696,S,11,4.5,20.43,0,0
697,S,21,6.1,22.35,1,0
698,L,18,10.1,27.07,5,0
699,XL,51,10.8,24.94,1,0
700,L,5,7.4,23.87,5,1
701,L,30,6.5,19.78,1,0
702,L,70,6.2,19.4,2,0
703,L,61,8.4,22.11,6,1
704,S,59,7.2,20.6,4,0
705,S,67,7.1,20.54,6,0
706,M,54,5.7,18.8,6,0
707,L,68,5,18.06,1,0
708,XL,47,11.8,26.19,1,0
709,XL,72,5.9,19.07,2,0
710,S,49,7.3,20.81,0,0
711,L,71,6.9,20.33,3,0
712,L,59,9.3,23.15,0,0
713,M,42,11,25.19,3,0
714,XL,63,7.6,21.15,5,0
715,S,24,6.4,22.67,5,0
716,S,45,8.6,22.31,1,0
717,L,65,11.9,26.33,5,1
718,XL,56,11.7,26.03,4,0
719,XL,35,6.1,19.27,6,0
720,M,53,5.1,18.09,4,0
721,L,46,3.6,16.3,5,0
722,S,69,7.2,20.59,1,0
723,S,56,6.3,19.59,1,0
724,S,72,9.1,22.94,1,0
725,XL,24,8.1,24.66,3,0
726,L,48,8.4,22.05,3,0
727,XL,42,7,20.45,0,0
728,L,67,7.6,21.14,1,0
729,M,47,7,20.44,6,0
730,L,24,8.9,25.73,5,1
731,L,60,6.4,19.66,6,0
732,L,28,6.5,19.85,3,0
733,L,46,5,18.05,4,0
734,L,69,7.3,20.82,2,0
735,M,22,6.2,22.49,1,0
736,XL,45,5.9,19.04,2,0
737,L,16,10.1,27.1,1,0
738,S,21,9.6,26.49,3,0
739,L,44,6.8,20.14,2,0
740,L,22,7.2,23.68,2,0
741,XL,29,8.6,22.3,2,0
742,S,66,8.4,22.06,6,0
743,XL,72,8.8,22.58,3,0
744,S,16,7.7,24.18,4,0
745,L,72,5.7,18.8,0,0
746,L,58,5.2,18.25,4,0
747,XL,29,6.3,19.54,5,1
748,M,2,7.5,23.96,3,0
749,M,57,9.9,23.92,1,0
750,S,67,8.4,22.05,4,1
751,M,25,11.8,26.13,0,0
752,L,70,7.1,20.48,0,0
753,XL,47,9.7,23.65,2,0
754,M,4,7.5,23.99,4,0
755,S,49,7.3,20.78,2,0
756,XL,44,8.4,22.11,5,0
757,S,55,8.8,22.61,2,0
758,XL,49,7.9,21.45,1,0
759,L,3,4.2,20.05,5,0
760,L,65,8.1,21.68,5,0
761,L,1,10.2,27.24,6,0
762,XL,58,10.7,24.84,5,0
763,XL,60,8.4,22.06,6,1
764,S,16,6.4,22.71,1,0
765,L,33,8.8,22.5,1,0
766,M,8,7.9,24.44,5,0
767,L,67,5.8,18.98,6,0
768,L,8,8.3,24.98,4,0
769,M,8,8.5,25.23,4,0
770,M,38,9.2,23.01,3,0
771,XL,24,10.7,27.82,5,1
772,XL,63,9.4,23.27,2,0
773,L,45,8.3,21.91,5,0
774,L,24,5.8,22.01,2,1
