delivery_id,depot,driver_id,dispatch_ts,arrival_ts,distance_km,parcels
1102,North,71,2024-04-04T12:00,2024-04-04T13:18,53,2
1103,North,46,2024-04-13T09:00,2024-04-13T10:56,44,6
1104,South,77,2024-03-30T12:00,2024-03-30T13:41,35,2
1105,South,57,2024-04-13T06:00,2024-04-13T06:38,6,6
1106,West,103,2024-05-05T09:00,2024-05-05T10:13,28,5
1107,East,48,2024-05-26T15:00,2024-05-26T16:27,54,2
1108,North,105,2024-06-03T16:00,2024-06-03T17:24,57,5
1109,East,88,2024-05-26T12:00,2024-05-26T13:08,2,12
1110,West,37,2024-03-01T08:00,2024-03-01T11:00,35,2
1111,East,64,2024-04-30T07:00,2024-04-30T08:17,50,11
1112,West,28,2024-03-24T13:00,2024-03-24T14:38,32,8
1113,North,2,2024-01-12T11:00,2024-01-12T11:22,12,11
1113,West,78,2024-05-27T16:00,2024-05-27T17:25,37,5
1114,West,12,2024-04-13T08:00,2024-04-13T09:23,42,5
1115,South,113,2024-06-20T12:00,2024-06-20T11:54,38,8
1116,East,11,2024-03-09T13:00,2024-03-09T15:58,18,11
1117,West,54,2024-05-09T10:00,2024-05-09T12:54,59,12
1118,East,33,2024-04-10T09:00,2024-04-10T11:14,56,2
1119,West,57,2024-02-26T16:00,2024-02-26T17:50,5,4
1120,North,74,2024-03-17T10:00,2024-03-17T12:15,59,6
1121,West,13,2024-01-16T16:00,2024-01-16T16:53,27,6
1122,North,44,2024-03-24T09:00,2024-03-24T10:22,55,12
1123,East,7,2024-02-09T16:00,2024-02-09T18:56,51,11
1124,South,94,2024-01-02T12:00,2024-01-02T14:04,38,2
1125,South,103,2024-04-21T08:00,2024-04-21T08:59,32,8
1126,West,81,2024-04-12T16:00,2024-04-12T17:17,22,9
1127,East,57,2024-03-05T14:00,2024-03-05T17:00,45,11
1128,East,39,2024-05-06T08:00,2024-05-06T09:41,3,4
1129,West,114,2024-06-21T15:00,2024-06-21T17:46,16,5
1130,South,97,2024-06-24T06:00,2024-06-24T06:20,36,4
1131,East,74,2024-07-02T07:00,2024-07-02T08:55,20,10
1132,West,41,2024-07-11T15:00,2024-07-11T16:26,4,10
1133,East,16,2024-06-11T08:00,2024-06-11T08:48,49,6
1134,East,71,2024-02-18T06:00,2024-02-18T07:50,52,6
1135,East,6,2024-04-28T14:00,2024-04-28T16:48,33,8
1136,North,23,2024-03-28T12:00,2024-03-28T12:32,7,4
1137,North,113,2024-05-04T09:00,2024-05-04T12:00,36,10
1138,South,43,2024-04-24T09:00,2024-04-24T08:19,55,12
1139,East,25,2024-02-28T06:00,2024-02-28T08:57,8,6
1140,East,40,2024-04-15T09:00,2024-04-15T09:25,51,7
1141,East,96,2024-02-18T10:00,2024-02-18T11:03,7,3
1142,East,59,2024-02-28T10:00,2024-02-28T11:51,24,8
1143,South,59,2024-05-08T07:00,2024-05-08T07:44,5,1
1144,East,115,2024-01-04T13:00,2024-01-04T13:22,15,3
1145,South,38,2024-01-06T11:00,2024-01-06T12:18,45,6
1146,West,7,2024-06-11T10:00,2024-06-11T12:37,44,8
1147,East,21,2024-01-29T06:00,2024-01-29T08:21,59,9
1148,South,17,2024-01-23T06:00,2024-01-23T07:44,53,10
1149,West,59,2024-06-06T13:00,2024-06-06T13:35,46,10
1150,South,40,2024-07-12T16:00,2024-07-12T15:54,23,5
1151,North,25,2024-06-02T15:00,2024-06-02T16:37,53,8
1152,North,67,2024-03-01T07:00,2024-03-01T08:38,37,6
1153,South,102,2024-02-23T10:00,2024-02-23T12:18,5,8
1154,West,5,2024-01-08T08:00,2024-01-08T09:41,45,9
1155,South,75,2024-03-17T13:00,2024-03-17T15:29,5,8
1156,West,117,2024-05-10T14:00,2024-05-10T14:35,16,2
1157,North,44,2024-03-08T12:00,2024-03-08T13:42,16,6
1158,North,117,2024-06-09T08:00,2024-06-09T08:41,58,11
1159,West,113,2024-05-05T07:00,2024-05-05T08:03,44,7
1160,North,91,2024-04-22T09:00,2024-04-22T10:31,39,7
1161,North,89,2024-02-05T07:00,2024-02-05T09:44,42,10
1162,West,69,2024-05-08T07:00,2024-05-08T09:07,40,8
1163,West,107,2024-04-14T15:00,2024-04-14T15:58,52,10
1164,East,115,2024-05-13T06:00,2024-05-13T08:20,45,11
1165,West,44,2024-01-28T13:00,2024-01-28T15:19,13,6
1166,East,99,2024-02-15T10:00,2024-02-15T11:44,49,3
1167,South,91,2024-04-10T07:00,2024-04-10T07:24,13,11
1168,West,90,2024-05-25T09:00,2024-05-25T09:30,48,1
1169,North,60,2024-03-09T10:00,2024-03-09T10:49,35,10
1170,East,34,2024-07-14T09:00,2024-07-14T09:27,55,4
1171,East,12,2024-03-08T12:00,2024-03-08T14:30,10,5
1172,West,92,2024-06-15T11:00,2024-06-15T13:57,23,7
1173,North,92,2024-02-19T16:00,2024-02-19T18:44,44,1
1174,North,115,2024-02-28T14:00,2024-02-28T15:47,13,11
1175,South,15,2024-07-05T11:00,2024-07-05T12:57,45,6
1176,East,12,2024-06-30T16:00,2024-06-30T16:34,7,12
1177,West,71,2024-01-16T09:00,2024-01-16T10:06,18,10
1178,East,4,2024-06-10T09:00,2024-06-10T11:42,57,8
1179,East,56,2024-01-13T15:00,2024-01-13T17:36,49,2
1180,East,99,2024-02-21T15:00,2024-02-21T17:33,41,8
1181,East,83,2024-07-19T06:00,2024-07-19T08:30,56,3
1182,North,83,2024-03-25T09:00,2024-03-25T11:54,10,9
1183,East,47,2024-01-15T12:00,2024-01-15T13:27,10,1
1184,West,97,2024-03-19T09:00,2024-03-19T09:58,18,3
1185,East,53,2024-05-20T06:00,2024-05-20T07:18,7,6
1186,North,106,2024-06-07T12:00,2024-06-07T13:59,17,12
1187,West,1,2024-01-16T09:00,2024-01-16T11:38,54,9
1188,South,118,2024-02-28T06:00,2024-02-28T06:34,33,7
1189,West,52,2024-04-29T13:00,2024-04-29T15:42,2,5
1190,North,23,2024-04-30T14:00,2024-04-30T16:55,26,9
1191,North,88,2024-04-16T09:00,2024-04-16T11:17,12,1
1192,North,113,2024-02-05T15:00,2024-02-05T16:08,43,10
1193,South,79,2024-03-14T15:00,2024-03-14T14:45,11,1
1194,West,104,2024-05-29T12:00,2024-05-29T14:36,20,5
1195,North,88,2024-06-16T08:00,2024-06-16T10:55,4,1
1196,West,96,2024-04-05T14:00,2024-04-05T15:24,32,4
1197,North,109,2024-05-12T07:00,2024-05-12T07:53,14,2
1198,West,118,2024-06-20T11:00,2024-06-20T12:05,48,4
1199,North,90,2024-07-15T11:00,2024-07-15T12:30,36,7
1200,North,16,2024-02-17T07:00,2024-02-17T09:09,37,8
1201,West,68,2024-05-23T10:00,2024-05-23T12:37,7,2
1202,South,86,2024-06-11T13:00,2024-06-11T14:55,52,2
1203,South,68,2024-06-06T12:00,2024-06-06T14:04,36,5
1204,West,3,2024-02-02T09:00,2024-02-02T11:00,18,6
1205,West,114,2024-01-23T12:00,2024-01-23T14:32,25,2
1206,East,16,2024-07-11T15:00,2024-07-11T16:11,18,2
1207,East,96,2024-03-29T08:00,2024-03-29T10:35,39,7
1208,East,45,2024-03-05T06:00,2024-03-05T07:08,10,3
1209,North,62,2024-04-17T07:00,2024-04-17T08:53,56,2
1210,East,56,2024-05-09T07:00,2024-05-09T07:34,10,3
1211,East,84,2024-04-25T12:00,2024-04-25T12:50,43,5
1212,South,108,2024-05-22T15:00,2024-05-22T16:24,33,10
1213,South,39,2024-01-28T10:00,2024-01-28T10:36,5,12
1214,South,4,2024-07-13T12:00,2024-07-13T13:44,11,12
1215,South,114,2024-04-19T12:00,2024-04-19T14:40,49,5
1216,North,120,2024-03-09T07:00,2024-03-09T09:16,47,8
1217,South,35,2024-02-10T13:00,2024-02-10T15:59,45,12
1218,South,57,2024-01-19T12:00,2024-01-19T12:25,2,8
1219,North,95,2024-05-06T15:00,2024-05-06T17:20,59,6
1220,West,29,2024-03-12T15:00,2024-03-12T15:23,19,2
1221,North,48,2024-03-27T12:00,2024-03-27T13:20,46,3
1222,South,54,2024-05-05T14:00,2024-05-05T15:04,51,11
1223,North,42,2024-03-17T15:00,2024-03-17T17:04,36,12
1224,South,44,2024-06-19T08:00,2024-06-19T08:45,40,11
1225,East,96,2024-04-09T14:00,2024-04-09T14:38,60,7
1226,South,86,2024-01-08T08:00,2024-01-08T08:26,27,10
1227,North,6,2024-06-08T13:00,2024-06-08T13:46,40,11
1228,North,56,2024-06-13T07:00,2024-06-13T08:05,34,7
1229,South,73,2024-02-15T09:00,2024-02-15T08:29,44,6
1230,West,117,2024-07-16T12:00,2024-07-16T14:24,45,8
1231,South,52,2024-01-13T10:00,2024-01-13T12:20,56,11
1231,West,101,2024-03-26T16:00,2024-03-26T17:54,44,7
1232,North,45,2024-04-06T07:00,2024-04-06T08:10,9,2
1233,South,42,2024-03-08T16:00,2024-03-08T17:18,15,4
1234,North,24,2024-01-02T10:00,2024-01-02T10:56,5,4
1235,East,80,2024-02-27T06:00,2024-02-27T07:55,42,6
1236,East,65,2024-01-12T11:00,2024-01-12T11:58,14,12
1237,South,91,2024-01-12T13:00,2024-01-12T14:29,51,4
1238,North,20,2024-03-02T10:00,2024-03-02T10:41,35,2
1239,North,81,2024-01-21T12:00,2024-01-21T13:50,10,3
1240,West,30,2024-02-29T15:00,2024-02-29T17:23,5,10
1241,South,67,2024-02-20T12:00,2024-02-20T11:12,18,11
1242,South,43,2024-03-11T15:00,2024-03-11T16:27,40,6
1243,East,86,2024-05-28T14:00,2024-05-28T15:25,55,10
1244,East,49,2024-02-02T06:00,2024-02-02T07:53,22,2
1245,East,60,2024-05-09T12:00,2024-05-09T13:44,50,10
1246,North,10,2024-02-17T14:00,2024-02-17T16:41,43,2
1247,North,46,2024-06-12T09:00,2024-06-12T09:23,10,3
1248,South,20,2024-03-31T07:00,2024-03-31T09:27,6,10
1249,West,57,2024-02-07T14:00,2024-02-07T15:58,7,3
1250,West,19,2024-05-30T16:00,2024-05-30T16:44,7,10
1251,North,27,2024-07-03T10:00,2024-07-03T12:42,34,12
1252,East,100,2024-05-29T06:00,2024-05-29T07:21,41,4
1253,North,57,2024-02-01T08:00,2024-02-01T10:39,53,3
1254,South,117,2024-06-05T14:00,2024-06-05T14:59,2,6
1255,South,23,2024-04-26T11:00,2024-04-26T12:18,32,10
1256,West,81,2024-03-04T10:00,2024-03-04T11:29,32,2
1257,North,26,2024-01-18T09:00,2024-01-18T11:59,4,11
1258,South,18,2024-02-05T16:00,2024-02-05T18:16,58,3
1259,East,58,2024-02-17T16:00,2024-02-17T16:40,56,1
1260,East,58,2024-02-24T06:00,2024-02-24T08:41,3,5
1261,West,74,2024-01-30T12:00,2024-01-30T14:44,44,6
1262,South,73,2024-01-03T10:00,2024-01-03T11:27,45,12
1263,North,57,2024-03-20T09:00,2024-03-20T09:29,13,8
1264,South,21,2024-05-06T06:00,2024-05-06T07:49,53,8
1265,South,8,2024-04-12T09:00,2024-04-12T11:35,60,9
1266,South,4,2024-01-20T14:00,2024-01-20T13:51,21,9
1267,East,21,2024-04-03T09:00,2024-04-03T11:54,54,5
1268,North,102,2024-07-16T12:00,2024-07-16T13:38,15,5
1269,North,42,2024-02-17T08:00,2024-02-17T09:17,10,1
1270,West,46,2024-02-22T13:00,2024-02-22T14:31,45,9
1271,West,70,2024-05-11T12:00,2024-05-11T13:41,42,11
1272,East,111,2024-06-09T09:00,2024-06-09T09:44,59,7
1273,South,43,2024-06-26T11:00,2024-06-26T11:42,39,7
1274,East,26,2024-07-18T16:00,2024-07-18T17:18,32,10
1275,South,108,2024-01-13T14:00,2024-01-13T16:43,46,1
1276,East,75,2024-05-22T11:00,2024-05-22T11:24,56,4
1277,West,75,2024-02-01T14:00,2024-02-01T16:43,34,4
1278,West,19,2024-07-07T14:00,2024-07-07T15:25,14,2
1279,North,47,2024-02-24T14:00,2024-02-24T15:17,9,7
1280,East,32,2024-03-05T11:00,2024-03-05T11:26,47,9
1281,East,86,2024-07-13T13:00,2024-07-13T15:54,24,2
1282,East,21,2024-07-03T08:00,2024-07-03T09:10,35,5
1283,East,46,2024-01-25T12:00,2024-01-25T13:10,4,6
1284,East,65,2024-04-09T10:00,2024-04-09T11:03,23,1
1285,North,89,2024-07-13T15:00,2024-07-13T16:52,43,10
1286,West,88,2024-06-15T10:00,2024-06-15T11:24,50,10
1287,East,120,2024-03-24T07:00,2024-03-24T08:06,55,1
1288,South,76,2024-01-10T06:00,2024-01-10T07:38,59,10
1289,South,92,2024-02-29T07:00,2024-02-29T07:34,6,11
1290,South,41,2024-03-22T12:00,2024-03-22T13:49,3,10
1291,West,21,2024-03-26T10:00,2024-03-26T10:40,9,3
1292,West,13,2024-05-12T10:00,2024-05-12T10:28,14,5
1293,North,92,2024-04-11T08:00,2024-04-11T09:35,44,6
1294,East,65,2024-03-20T16:00,2024-03-20T17:23,42,8
1295,West,108,2024-05-29T16:00,2024-05-29T16:38,16,1
1296,South,49,2024-02-16T06:00,2024-02-16T08:01,34,11
1297,East,20,2024-06-07T08:00,2024-06-07T09:52,14,6
1298,East,110,2024-06-20T08:00,2024-06-20T09:24,48,11
1299,East,20,2024-06-24T09:00,2024-06-24T11:27,11,8
1300,North,74,2024-04-29T15:00,2024-04-29T16:57,50,9
1301,North,55,2024-03-06T08:00,2024-03-06T10:08,32,3
1302,West,10,2024-05-16T15:00,2024-05-16T15:56,53,2
1303,South,21,2024-05-12T08:00,2024-05-12T08:29,34,2
1304,North,8,2024-06-03T12:00,2024-06-03T13:16,46,6
1305,North,54,2024-01-16T14:00,2024-01-16T16:51,28,11
1306,South,49,2024-06-21T12:00,2024-06-21T13:48,52,10
1307,North,19,2024-04-13T16:00,2024-04-13T17:20,26,12
1308,West,44,2024-01-13T12:00,2024-01-13T12:34,59,5
1309,East,16,2024-04-22T16:00,2024-04-22T16:41,30,11
1310,South,16,2024-02-06T15:00,2024-02-06T17:40,53,11
1311,East,83,2024-01-16T16:00,2024-01-16T16:48,33,4
1312,West,39,2024-01-15T15:00,2024-01-15T17:11,30,6
1313,West,8,2024-03-09T12:00,2024-03-09T14:55,10,9
1314,East,91,2024-03-18T10:00,2024-03-18T11:40,33,8
1315,North,77,2024-02-22T14:00,2024-02-22T16:52,30,7
1316,South,115,2024-05-05T15:00,2024-05-05T16:58,30,10
1317,South,107,2024-01-21T06:00,2024-01-21T05:06,57,7
1318,West,15,2024-06-11T13:00,2024-06-11T14:46,53,6
1319,North,34,2024-07-12T15:00,2024-07-12T15:38,23,9
1320,East,63,2024-05-23T13:00,2024-05-23T14:05,4,6
1321,West,4,2024-06-18T12:00,2024-06-18T14:19,26,12
1322,South,112,2024-05-10T07:00,2024-05-10T09:09,44,12
1323,East,66,2024-06-20T09:00,2024-06-20T10:09,19,3
1324,East,105,2024-06-15T06:00,2024-06-15T06:25,58,11
1325,East,103,2024-01-08T10:00,2024-01-08T11:11,54,1
1326,North,8,2024-07-13T15:00,2024-07-13T17:57,39,7
1327,West,63,2024-07-11T13:00,2024-07-11T14:58,2,1
1328,South,5,2024-01-07T16:00,2024-01-07T16:47,44,7
1329,South,29,2024-04-03T12:00,2024-04-03T14:33,29,3
1330,North,65,2024-05-01T16:00,2024-05-01T17:50,24,6
1331,North,33,2024-02-04T06:00,2024-02-04T08:29,54,11
1332,West,42,2024-05-09T13:00,2024-05-09T14:53,39,7
1333,North,81,2024-04-01T14:00,2024-04-01T15:48,50,4
1334,South,69,2024-01-21T10:00,2024-01-21T11:19,28,4
1335,North,18,2024-03-29T06:00,2024-03-29T08:57,12,5
1336,South,88,2024-05-20T14:00,2024-05-20T13:07,29,2
1337,East,89,2024-05-25T16:00,2024-05-25T17:05,6,11
1338,North,51,2024-03-30T11:00,2024-03-30T11:20,13,11
1339,North,68,2024-03-21T11:00,2024-03-21T13:50,58,12
1340,West,103,2024-01-01T08:00,2024-01-01T08:42,50,3
1341,North,68,2024-05-30T12:00,2024-05-30T14:50,9,5
1342,West,40,2024-05-20T15:00,2024-05-20T17:29,31,1
1343,East,51,2024-02-20T13:00,2024-02-20T13:27,32,11
1344,West,27,2024-02-20T14:00,2024-02-20T15:06,14,3
1345,North,8,2024-03-26T11:00,2024-03-26T13:26,53,4
1346,South,91,2024-01-17T13:00,2024-01-17T14:46,56,2
1347,North,103,2024-06-10T08:00,2024-06-10T09:57,20,8
1348,East,101,2024-04-22T16:00,2024-04-22T18:34,51,5
1349,North,119,2024-05-29T14:00,2024-05-29T14:32,16,8
1350,East,19,2024-06-17T08:00,2024-06-17T10:55,35,7
1351,East,104,2024-06-14T07:00,2024-06-14T07:58,4,9
1352,East,51,2024-01-02T07:00,2024-01-02T09:11,43,11
1353,West,14,2024-07-11T16:00,2024-07-11T18:05,55,3
1354,West,54,2024-04-02T09:00,2024-04-02T09:26,34,4
1355,West,58,2024-04-21T11:00,2024-04-21T13:51,14,8
1356,North,23,2024-05-06T08:00,2024-05-06T10:33,59,9
1357,East,110,2024-04-25T06:00,2024-04-25T07:03,16,3
1358,South,23,2024-01-03T14:00,2024-01-03T14:59,53,3
1359,East,13,2024-06-26T16:00,2024-06-26T18:57,46,1
1360,South,41,2024-02-18T10:00,2024-02-18T12:34,8,10
1361,West,114,2024-01-28T08:00,2024-01-28T08:34,20,3
1362,North,108,2024-07-12T07:00,2024-07-12T07:40,22,3
1363,West,8,2024-01-10T14:00,2024-01-10T14:56,6,12
1364,South,73,2024-04-20T06:00,2024-04-20T05:47,23,11
1365,North,1,2024-03-09T14:00,2024-03-09T15:35,47,6
1366,East,71,2024-04-21T07:00,2024-04-21T07:43,52,3
1367,West,17,2024-02-24T09:00,2024-02-24T09:49,43,3
1368,East,87,2024-05-12T15:00,2024-05-12T17:27,10,6
1369,North,79,2024-03-20T15:00,2024-03-20T16:35,25,12
1370,South,51,2024-07-03T13:00,2024-07-03T14:49,51,7
1371,East,29,2024-02-08T10:00,2024-02-08T12:38,14,4
1372,West,114,2024-07-06T16:00,2024-07-06T16:55,24,10
1373,West,75,2024-04-01T09:00,2024-04-01T11:59,25,12
1374,East,115,2024-01-11T07:00,2024-01-11T08:14,53,10
1375,East,95,2024-01-13T12:00,2024-01-13T12:48,21,9
1376,North,48,2024-07-18T11:00,2024-07-18T12:59,20,4
1377,West,76,2024-04-14T16:00,2024-04-14T18:06,50,6
1378,North,98,2024-02-14T08:00,2024-02-14T09:04,31,3
1379,West,62,2024-02-11T08:00,2024-02-11T10:15,15,10
1380,East,12,2024-04-08T12:00,2024-04-08T12:54,31,7
1381,West,9,2024-02-13T16:00,2024-02-13T18:52,4,5
1382,North,39,2024-05-15T16:00,2024-05-15T17:11,21,6
1383,East,6,2024-01-30T13:00,2024-01-30T14:56,27,3
1384,East,70,2024-04-21T07:00,2024-04-21T09:25,29,7
1385,East,7,2024-07-04T13:00,2024-07-04T15:40,48,12
1386,East,92,2024-05-10T16:00,2024-05-10T17:24,26,6
1387,West,55,2024-05-01T12:00,2024-05-01T13:01,21,2
1388,North,45,2024-01-05T13:00,2024-01-05T15:44,14,8
1389,West,15,2024-02-12T16:00,2024-02-12T18:28,40,9
1390,South,15,2024-01-18T14:00,2024-01-18T15:00,7,8
1391,East,33,2024-04-25T11:00,2024-04-25T13:43,18,1
1392,South,93,2024-04-14T16:00,2024-04-14T17:50,51,11
1393,South,95,2024-03-23T08:00,2024-03-23T09:03,38,4
1394,South,118,2024-05-29T09:00,2024-05-29T10:01,40,4
1395,South,34,2024-04-04T10:00,2024-04-04T10:23,18,9
1396,East,3,2024-05-31T10:00,2024-05-31T12:57,44,10
1397,West,27,2024-05-31T06:00,2024-05-31T06:27,28,6
1398,East,72,2024-01-02T12:00,2024-01-02T12:35,17,11
1399,East,81,2024-07-11T09:00,2024-07-11T10:41,51,8
1400,West,96,2024-03-27T16:00,2024-03-27T17:00,5,9
1401,North,89,2024-05-13T15:00,2024-05-13T15:36,27,3
1402,East,96,2024-07-10T13:00,2024-07-10T15:58,2,11
1403,North,69,2024-06-06T12:00,2024-06-06T13:12,36,12
1404,West,18,2024-04-30T14:00,2024-04-30T15:42,8,7
1405,North,118,2024-01-19T13:00,2024-01-19T14:22,29,11
1406,North,35,2024-01-10T16:00,2024-01-10T18:29,42,7
1407,North,117,2024-06-09T16:00,2024-06-09T17:04,16,1
1408,North,19,2024-02-06T10:00,2024-02-06T12:03,52,4
1409,West,35,2024-01-22T07:00,2024-01-22T09:34,29,11
1410,South,83,2024-05-12T14:00,2024-05-12T16:10,4,9
1411,West,44,2024-01-10T14:00,2024-01-10T16:04,3,6
1412,South,115,2024-04-23T11:00,2024-04-23T13:35,21,9
1413,South,64,2024-07-01T10:00,2024-07-01T09:28,31,10
1414,East,44,2024-03-29T14:00,2024-03-29T16:58,10,11
1415,South,100,2024-07-17T09:00,2024-07-17T11:38,7,4
1416,West,17,2024-01-16T06:00,2024-01-16T07:46,36,5
1417,North,73,2024-01-08T16:00,2024-01-08T16:42,16,8
1418,South,63,2024-07-06T07:00,2024-07-06T06:54,20,5
