employee_id,department,hire_date,level,last_promo_date,salary,status
94,Engineering,2024-07-18,2,2024-06-19,95308,active
95,Engineering,2024-08-20,2,,79666,active
96,Support,2024-01-28,3,,71784,active
97,Sales,2024-07-03,2,,73793,active
98,Engineering,2024-11-07,3,2024-01-13,98315,active
99,Engineering,2024-01-05,2,2024-03-21,75037,active
100,Marketing,2024-07-05,1,2024-08-26,85108,active
101,Engineering,2024-01-03,2,,91555,active
102,Marketing,2024-11-07,1,,51341,active
103,Engineering,2024-06-13,2,,93925,active
104,Sales,2024-05-12,1,,93104,active
105,Marketing,2024-05-17,3,2024-01-04,81515,active
106,Marketing,2024-04-06,2,2024-05-11,96491,active
107,Ops,2024-04-02,1,,85022,active
108,Support,2024-11-10,1,2024-11-15,78224,active
109,Engineering,2024-12-26,1,,64118,active
110,Sales,2024-11-07,2,,75122,active
111,Support,2024-12-24,2,,76658,active
112,Engineering,2024-11-03,3,,89865,active
113,Sales,2024-08-24,1,2024-09-21,85164,active
114,Sales,2024-11-29,2,,65992,active
115,Engineering,2024-03-14,3,,89407,active
116,Marketing,2024-12-01,2,,44083,active
117,Marketing,2024-03-10,2,,93303,active
118,Sales,2024-12-28,1,2024-03-02,44969,active
119,Engineering,2024-11-16,3,,91551,active
120,Sales,2024-01-11,3,2024-02-03,50671,active
121,Engineering,2024-02-18,1,,117750,active
122,Sales,2024-01-13,1,,90019,active
123,Support,2024-12-06,2,,74037,active
124,Sales,2024-07-04,1,2024-05-22,50787,active
125,Sales,2024-08-30,2,,60912,active
126,Ops,2024-06-28,3,2024-11-05,88335,active
127,Support,2024-10-30,3,2024-10-13,59673,active
128,Sales,2024-04-16,2,,67608,active
129,Marketing,2024-02-20,1,,55012,active
130,Sales,2024-10-22,1,2024-06-03,89355,active
131,Engineering,2024-10-23,1,2024-05-29,82332,active
132,Engineering,2024-03-02,2,2024-08-19,63995,active
133,Sales,2024-07-19,2,,56569,left
134,Ops,2024-01-13,2,,46231,active
135,Marketing,2024-03-12,2,2024-06-24,67433,active
136,Sales,2024-07-18,2,,64240,active
137,Marketing,2024-07-01,1,,68588,active
138,Marketing,2024-04-11,3,,91622,active
139,Support,2024-11-15,3,2024-10-03,83070,active
140,Support,2024-04-24,1,2024-08-27,96518,left
141,Ops,2024-09-09,1,,59294,active
142,Marketing,2024-03-11,2,,79954,active
143,Marketing,2024-05-31,2,2024-07-10,59991,active
144,Ops,2024-05-03,3,,90426,active
145,Ops,2024-05-08,1,,77368,active
146,Ops,2024-08-29,3,2024-04-13,82784,active
147,Ops,2024-12-03,2,2024-06-06,75640,active
148,Support,2024-05-25,1,,43318,active
149,Support,2024-11-16,1,2024-10-04,50075,active
150,Marketing,2024-11-04,3,2024-10-07,45379,active
151,Engineering,2024-03-08,1,,77678,active
152,Ops,2024-02-08,2,,54785,active
153,Ops,2024-02-26,1,2024-06-07,70125,active
154,Ops,2024-07-19,1,,68713,left
155,Engineering,2024-11-15,2,,115328,active
156,Engineering,2024-06-25,2,2024-02-10,98341,active
157,Ops,2024-02-15,1,2024-04-03,50740,left
158,Engineering,2024-01-03,3,,104750,active
159,Support,2024-06-10,1,,89425,active
160,Sales,2024-09-05,3,,55578,active
161,Engineering,2024-12-13,3,,110373,active
162,Sales,2024-11-08,3,,87898,active
163,Support,2024-02-01,2,2024-09-22,44410,active
164,Engineering,2024-05-10,2,,82948,active
165,Marketing,2024-07-24,3,,52206,active
166,Support,2024-06-03,2,2024-08-12,60208,active
167,Marketing,2024-09-09,2,,92030,active
168,Marketing,2024-06-06,1,2024-12-15,53354,active
169,Marketing,2024-06-29,3,,80100,active
170,Engineering,2024-07-30,2,2024-07-02,79023,left
171,Marketing,2024-02-01,3,,51156,active
172,Ops,2024-02-11,2,2024-04-16,65179,active
173,Engineering,2024-04-13,2,2024-10-21,62223,active
174,Support,2024-12-25,2,2024-07-29,45698,active
175,Marketing,2024-09-17,2,,99899,active
176,Sales,2024-04-21,1,,53632,active
177,Ops,2024-12-29,3,2024-05-31,95360,active
178,Sales,2024-08-03,1,,58713,active
179,Engineering,2024-09-08,2,2024-07-24,104609,active
180,Ops,2024-11-26,1,,69084,active
181,Support,2024-08-09,1,,78756,left
182,Sales,2024-07-27,2,2024-08-04,81393,active
183,Engineering,2024-05-12,3,2024-10-18,62964,active
184,Engineering,2024-11-16,2,,110817,active
185,Engineering,2024-12-27,1,2024-01-01,62620,active
186,Support,2024-04-30,1,,47125,active
187,Support,2024-09-27,1,2024-01-22,72252,active
188,Support,2024-03-12,1,2024-08-15,85900,active
189,Ops,2024-03-30,1,,69035,active
190,Marketing,2024-02-28,1,,63874,active
191,Engineering,2024-01-16,3,,94170,active
192,Marketing,2024-10-22,3,,57845,active
193,Ops,2024-01-26,1,,60337,active
194,Sales,2024-11-11,2,,41015,active
195,Sales,2024-10-05,3,2024-09-26,80562,active
196,Ops,2024-03-11,2,,92605,active
197,Marketing,2024-02-25,3,,52845,active
198,Ops,2024-02-10,3,,96068,active
199,Engineering,2024-03-23,2,2024-09-28,74288,active
200,Engineering,2024-07-02,1,,116998,active
201,Engineering,2024-05-02,1,,96112,active
202,Sales,2024-11-19,3,,46519,active
203,Engineering,2024-08-28,2,,69143,active
204,Sales,2024-02-19,3,,42449,active
205,Support,2024-11-26,3,,54693,active
206,Sales,2024-08-28,1,2024-09-20,89642,active
207,Engineering,2024-07-27,3,,109768,active
208,Sales,2024-10-22,3,,83445,active
209,Ops,2024-01-25,1,,84758,active
210,Support,2024-04-04,1,,46372,active
211,Engineering,2024-06-09,1,,89486,active
212,Support,2024-11-17,1,,41728,active
213,Support,2024-01-14,1,,41642,active
214,Support,2024-06-28,3,2024-07-14,56907,active
215,Support,2024-06-04,1,2024-11-19,76960,active
216,Ops,2024-01-13,2,,64720,active
217,Sales,2024-05-19,3,2024-11-21,78938,active
218,Support,2024-10-20,1,,55516,active
219,Sales,2024-06-22,1,,89507,active
220,Ops,2024-07-01,2,,60399,active
221,Engineering,2024-03-25,3,,109028,active
222,Support,2024-03-22,2,2024-09-24,47631,active
223,Engineering,2024-05-29,2,,70825,active
224,Sales,2024-05-23,3,2024-09-09,69334,active
225,Support,2024-12-16,2,,83536,left
226,Support,2024-02-28,3,,65342,active
227,Ops,2024-07-08,2,,41526,active
228,Sales,2024-05-04,3,,91701,active
229,Sales,2024-11-03,1,,42214,active
230,Marketing,2024-08-16,3,,63062,active
231,Support,2024-07-19,3,,72114,active
232,Marketing,2024-07-10,2,2024-12-20,93631,active
233,Ops,2024-02-24,1,2024-07-25,52388,active
234,Support,2024-06-03,2,,45976,active
235,Engineering,2024-09-22,1,2024-12-29,82408,active
236,Marketing,2024-08-28,1,2024-07-07,97065,active
237,Marketing,2024-03-09,3,2024-07-13,86815,left
238,Marketing,2024-09-16,1,2024-12-04,82053,active
239,Engineering,2024-07-03,2,2024-07-15,75179,active
240,Engineering,2024-08-15,2,,78492,active
241,Ops,2024-09-11,2,,93588,active
242,Ops,2024-11-08,3,,52229,active
243,Sales,2024-04-19,3,2024-06-20,91645,active
244,Ops,2024-05-20,2,2024-09-26,43756,left
245,Engineering,2024-07-17,2,2024-05-19,91999,active
246,Ops,2024-02-16,2,,62085,active
247,Sales,2024-12-28,2,,87546,left
248,Support,2024-12-10,2,,92220,active
249,Ops,2024-05-10,1,2024-08-06,50125,active
250,Ops,2024-06-12,1,,93292,active
251,Ops,2024-02-07,3,,94921,active
252,Engineering,2024-12-18,2,,77822,active
253,Engineering,2024-03-14,1,2024-02-13,103740,active
254,Ops,2024-05-27,1,,43443,active
255,Engineering,2024-05-28,3,,83694,active
256,Marketing,2024-11-23,3,2024-01-21,75516,active
257,Engineering,2024-08-10,2,,73626,active
258,Support,2024-02-21,1,2024-10-10,51296,left
259,Engineering,2024-06-30,3,,117726,active
260,Ops,2024-10-15,2,,79707,active
261,Support,2024-03-05,2,,79099,active
262,Engineering,2024-01-14,3,2024-07-11,96358,active
263,Engineering,2024-12-22,3,2024-07-04,78148,active
264,Engineering,2024-03-04,1,,107780,left
265,Ops,2024-03-09,1,2024-04-08,61434,active
266,Ops,2024-03-03,1,,82943,active
267,Marketing,2024-10-03,2,,85327,active
268,Engineering,2024-11-22,1,,105184,active
269,Sales,2024-06-14,3,,90432,active
270,Ops,2024-03-22,1,,99536,active
271,Engineering,2024-02-29,1,,112158,active
272,Marketing,2024-01-26,2,2024-07-29,62176,active
273,Support,2024-02-25,1,,57271,active
274,Sales,2024-12-26,3,2024-12-20,69201,active
275,Support,2024-08-25,2,,52508,active
276,Marketing,2024-09-22,1,2024-04-06,72296,active
277,Marketing,2024-06-28,3,,85417,left
278,Engineering,2024-10-09,2,2024-12-25,93200,active
279,Support,2024-11-02,3,,61130,active
280,Support,2024-11-08,3,2024-11-16,47573,active
281,Engineering,2024-10-28,2,,96664,active
282,Support,2024-09-12,2,,63886,active
283,Engineering,2024-05-01,3,2024-03-31,117138,left
284,Support,2024-03-11,1,,92731,active
285,Support,2024-03-24,1,2024-04-15,62463,active
286,Support,2024-03-18,2,2024-01-17,80557,active
287,Sales,2024-11-25,2,,58375,active
288,Support,2024-08-14,2,,69781,active
289,Support,2024-07-23,2,2024-02-16,71280,active
290,Sales,2024-05-04,2,,59046,active
291,Marketing,2024-04-25,2,,43677,active
292,Ops,2024-02-05,1,2024-08-23,42389,active
293,Support,2024-10-12,1,,55756,active
294,Engineering,2024-08-21,2,,98350,active
295,Marketing,2024-07-28,1,2024-10-23,71899,active
296,Marketing,2024-05-06,2,,67813,active
297,Sales,2024-11-14,1,,79785,active
298,Engineering,2024-04-15,3,,101828,active
299,Support,2024-11-24,1,2024-12-28,65143,active
300,Marketing,2024-08-18,1,,73698,active
301,Ops,2024-06-20,1,,76688,active
302,Ops,2024-05-24,2,,61180,active
303,Support,2024-11-22,3,2024-02-26,45474,active
304,Ops,2024-05-28,1,2024-10-21,41296,active
305,Sales,2024-12-07,3,,90532,active
306,Ops,2024-09-02,3,,58180,active
307,Engineering,2024-10-18,1,2024-11-14,79664,active
308,Sales,2024-12-10,3,2024-07-20,54534,active
309,Engineering,2024-06-20,1,,86933,active
310,Ops,2024-11-23,2,2024-07-01,94663,active
311,Sales,2024-01-18,1,,76455,left
312,Ops,2024-08-30,2,2024-09-21,72519,active
313,Ops,2024-05-04,2,,68618,active
314,Ops,2024-06-17,3,,51756,active
315,Marketing,2024-03-27,2,2024-05-03,64014,active
316,Support,2024-04-29,1,,81513,active
317,Sales,2024-05-06,2,2024-12-23,48048,left
318,Support,2024-09-15,2,,91797,active
319,Engineering,2024-09-14,2,,62822,active
320,Sales,2024-05-04,2,,93538,active
321,Support,2024-02-08,3,,88371,active
322,Marketing,2024-03-01,3,,92057,left
323,Marketing,2024-05-23,3,,87850,left
324,Sales,2024-09-21,2,,62015,left
325,Marketing,2024-06-03,1,2024-04-20,68752,active
326,Marketing,2024-08-06,2,,46021,active
327,Ops,2024-04-15,3,,47878,active
328,Sales,2024-08-22,1,,52992,active
329,Support,2024-02-18,3,2024-04-13,55918,active
330,Sales,2024-09-06,3,,86143,left
331,Ops,2024-07-26,2,,63978,active
332,Support,2024-04-16,1,,72933,active
333,Sales,2024-10-22,1,,75030,active
334,Engineering,2024-08-27,3,,85334,active
335,Sales,2024-06-14,3,,71621,left
336,Engineering,2024-04-29,3,,101369,active
337,Ops,2024-03-03,1,2024-10-16,84406,active
338,Marketing,2024-07-16,3,2024-12-06,68716,active
339,Sales,2024-09-11,2,,45141,active
340,Marketing,2024-02-21,1,2024-09-27,81077,left
341,Ops,2024-05-21,3,,61126,active
342,Marketing,2024-03-01,3,,51797,active
343,Engineering,2024-09-12,3,2024-02-24,69041,active
344,Sales,2024-05-17,3,2024-08-01,53463,active
345,Sales,2024-09-03,3,2024-08-25,48644,left
346,Support,2024-10-11,3,,63126,left
347,Support,2024-02-12,2,2024-05-24,88719,active
348,Marketing,2024-09-03,1,,52682,active
349,Support,2024-09-09,3,2024-04-10,88622,left
350,Sales,2024-05-02,1,2024-10-04,91172,active
351,Ops,2024-05-13,1,,44419,active
352,Sales,2024-01-22,2,,80623,active
353,Sales,2024-08-17,2,,47107,active
354,Support,2024-06-16,1,2024-06-19,73746,active
355,Sales,2024-07-24,3,,88067,active
356,Marketing,2024-12-19,1,,57788,left
357,Ops,2024-04-08,2,,67165,active
358,Support,2024-03-04,1,,53544,active
359,Sales,2024-12-27,1,,68558,active
360,Marketing,2024-05-27,2,,56642,active
361,Support,2024-08-25,1,,82216,left
362,Engineering,2024-05-14,3,,80175,active
363,Marketing,2024-03-18,1,2024-08-15,48064,active
364,Support,2024-03-23,3,,89703,active
365,Ops,2024-07-08,2,2024-12-18,83375,active
366,Marketing,2024-02-13,1,2024-01-28,94921,active
367,Sales,2024-06-12,1,,98914,active
368,Sales,2024-09-27,1,2024-04-27,40158,active
369,Ops,2024-05-13,3,,85377,active
370,Marketing,2024-11-05,3,,76424,active
371,Support,2024-08-18,2,2024-01-10,96612,active
372,Marketing,2024-04-06,2,,66439,active
373,Marketing,2024-04-02,2,,76836,active
374,Sales,2024-10-09,1,,96989,active
375,Ops,2024-05-15,2,,49052,active
376,Sales,2024-12-27,1,,93281,active
377,Engineering,2024-10-10,3,2024-10-08,60224,active
378,Ops,2024-07-01,1,,64009,active
379,Engineering,2024-06-22,1,,109347,active
380,Marketing,2024-11-18,2,,92551,active
381,Ops,2024-07-16,3,,64878,active
382,Marketing,2024-09-29,2,,58002,active
383,Sales,2024-12-12,1,,54791,left
384,Ops,2024-12-05,1,,92401,left
385,Sales,2024-04-10,2,,47676,active
386,Marketing,2024-07-19,2,,40128,active
387,Ops,2024-09-11,1,,40100,active
388,Sales,2024-11-11,3,,90479,active
389,Ops,2024-11-08,3,,73650,active
390,Sales,2024-06-30,2,,58476,active
391,Sales,2024-11-26,1,,40630,active
392,Marketing,2024-03-11,2,,72228,active
393,Engineering,2024-05-12,2,,60509,active
394,Support,2024-03-12,2,,93110,left
395,Ops,2024-07-30,3,,70170,left
396,Support,2024-04-26,1,,63484,active
397,Engineering,2024-10-15,3,2024-03-06,77259,active
398,Marketing,2024-07-05,3,,57290,active
399,Marketing,2024-01-17,2,,64096,active
400,Marketing,2024-08-15,1,2024-02-21,99912,active
401,Ops,2024-02-28,1,2024-05-29,99086,active
402,Ops,2024-02-09,2,2024-05-08,60552,active
403,Support,2024-09-10,3,2024-01-14,91966,active
404,Ops,2024-07-18,1,,51962,active
405,Ops,2024-12-05,2,2024-06-28,97065,active
406,Support,2024-06-07,1,,86203,left
407,Sales,2024-04-29,2,,68385,active
408,Ops,2024-03-20,3,2024-02-14,56378,active
409,Marketing,2024-10-23,3,2024-03-10,40421,active
410,Marketing,2024-04-21,3,,86182,active
411,Support,2024-06-11,1,,60243,active
412,Engineering,2024-05-12,2,,93735,active
413,Ops,2024-05-29,1,2024-10-23,77335,active
414,Engineering,2024-08-09,1,,84415,active
415,Sales,2024-03-28,2,,63212,active
416,Marketing,2024-02-14,2,,43226,left
417,Sales,2024-10-17,1,2024-04-05,64817,active
418,Sales,2024-04-30,1,2024-12-09,63759,active
419,Sales,2024-05-17,2,,51301,active
420,Sales,2024-11-03,2,,79303,active
421,Sales,2024-11-20,1,,42853,active
422,Sales,2024-03-22,3,,66835,active
423,Engineering,2024-12-09,2,,60072,active
424,Support,2024-03-16,2,,55217,active
425,Engineering,2024-09-04,2,2024-02-15,87383,active
426,Ops,2024-11-02,3,,81177,active
427,Engineering,2024-11-21,1,,119733,active
428,Engineering,2024-04-19,2,,85001,active
429,Ops,2024-03-09,3,2024-02-28,56625,active
430,Support,2024-03-26,2,,41829,active
431,Marketing,2024-02-10,1,,63371,active
432,Support,2024-05-31,3,,86922,left
433,Marketing,2024-11-07,2,,97104,active
434,Marketing,2024-09-13,3,2024-04-03,95691,active
435,Engineering,2024-04-19,2,,103976,active
436,Sales,2024-07-02,1,,68804,active
437,Engineering,2024-06-09,2,,68234,active
438,Sales,2024-06-01,1,2024-08-28,98317,active
439,Marketing,2024-02-15,2,,86265,active
440,Support,2024-11-10,2,2024-02-18,98680,active
441,Ops,2024-04-21,1,2024-12-10,78453,active
442,Support,2024-10-19,3,,81458,active
443,Sales,2024-02-19,1,2024-04-18,82693,active
444,Engineering,2024-11-02,3,,64567,left
445,Ops,2024-08-22,1,2024-03-06,80923,active
446,Support,2024-02-26,1,2024-02-07,83707,left
447,Ops,2024-07-22,3,,48688,left
448,Support,2024-05-13,1,2024-10-26,68007,active
449,Marketing,2024-07-11,1,2024-09-21,66979,active
450,Marketing,2024-03-02,3,,82383,active
451,Ops,2024-05-17,3,2024-06-07,68942,active
452,Ops,2024-01-15,3,,48213,active
453,Ops,2024-02-14,3,,63662,active
454,Marketing,2024-11-04,3,,92425,active
455,Marketing,2024-05-12,2,,55708,active
456,Ops,2024-01-08,2,2024-07-25,69930,active
457,Marketing,2024-04-25,3,,87893,active
458,Engineering,2024-09-26,1,2024-10-12,81222,active
459,Ops,2024-02-09,1,,55279,active
460,Engineering,2024-05-11,2,2024-05-07,117807,active
461,Marketing,2024-10-10,1,2024-01-12,63712,active
462,Marketing,2024-09-07,1,2024-04-30,53719,active
463,Support,2024-03-05,2,,41172,active
464,Sales,2024-10-11,2,2024-09-04,92800,active
465,Sales,2024-05-14,3,,95678,active
466,Engineering,2024-07-11,3,,65205,active
467,Engineering,2024-01-28,3,2024-01-09,92160,active
468,Support,2024-03-29,1,,71846,active
469,Ops,2024-02-07,2,,85749,left
470,Engineering,2024-09-12,3,,105502,left
471,Sales,2024-03-29,3,2024-11-13,97675,active
472,Ops,2024-09-08,3,,43427,active
473,Marketing,2024-01-07,3,2024-12-11,54375,active
474,Support,2024-08-22,2,,87528,active
475,Sales,2024-10-02,3,,68469,active
476,Engineering,2024-01-02,1,,103923,active
477,Engineering,2024-09-11,1,2024-01-19,90620,active
478,Engineering,2024-01-20,2,,91531,active
479,Marketing,2024-09-27,1,,89088,left
480,Ops,2024-12-05,1,,67835,active
481,Ops,2024-08-08,2,,70402,active
482,Marketing,2024-04-18,1,2024-12-04,96545,left
483,Sales,2024-08-27,2,,87948,left
484,Support,2024-02-17,1,,81457,active
485,Marketing,2024-02-10,2,2024-02-28,96720,active
486,Engineering,2024-07-30,3,,71355,active
487,Marketing,2024-03-07,3,,88734,active
488,Support,2024-12-14,1,2024-11-25,43177,left
489,Sales,2024-03-17,2,,68651,active
490,Marketing,2024-04-09,2,,41250,active
491,Support,2024-01-26,2,,72916,active
492,Marketing,2024-08-27,2,,62967,active
493,Marketing,2024-10-19,2,2024-02-02,65135,active
494,Engineering,2024-05-27,2,,84016,active
495,Marketing,2024-05-29,2,2024-06-07,67246,left
496,Marketing,2024-12-04,1,,61945,active
497,Marketing,2024-01-11,2,2024-06-23,88210,active
498,Ops,2024-02-29,1,,69278,active
499,Sales,2024-03-22,1,,73254,active
500,Ops,2024-07-08,3,,40841,active
501,Engineering,2024-02-07,1,2024-01-02,80389,active
502,Marketing,2024-09-19,1,,68586,active
503,Marketing,2024-03-20,1,,71252,active
504,Support,2024-12-01,3,,49772,active
505,Support,2024-10-25,3,,62793,active
506,Support,2024-05-29,1,2024-09-21,87543,active
507,Support,2024-02-27,1,,81831,active
508,Ops,2024-11-28,3,,90641,left
509,Marketing,2024-05-21,3,,41536,active
510,Sales,2024-05-19,3,,86749,active
511,Marketing,2024-05-25,2,,89628,active
512,Ops,2024-03-08,1,,47644,active
513,Sales,2024-11-15,1,2024-06-12,66837,active
514,Ops,2024-03-20,3,2024-09-13,66049,active
515,Marketing,2024-12-30,1,,73545,active
516,Marketing,2024-08-27,1,2024-06-26,74344,active
517,Sales,2024-02-09,1,2024-04-30,43095,active
518,Marketing,2024-10-07,2,,43464,active
519,Support,2024-01-11,2,2024-07-27,72832,active
520,Ops,2024-05-28,3,,65499,active
521,Support,2024-02-17,2,2024-06-12,71230,active
522,Marketing,2024-08-09,2,,64508,active
523,Support,2024-04-24,2,,82233,active
524,Support,2024-12-03,1,2024-06-16,90669,active
525,Ops,2024-02-18,3,,59894,active
526,Support,2024-03-29,1,,99267,active
527,Sales,2024-03-25,3,,59395,active
528,Ops,2024-09-26,3,,44555,active
529,Engineering,2024-10-25,1,,82747,active
530,Engineering,2024-05-10,2,,117235,active
531,Engineering,2024-11-14,2,2024-09-17,69337,active
532,Marketing,2024-08-09,3,2024-06-28,45056,active
533,Marketing,2024-12-03,1,,63614,active
534,Engineering,2024-10-01,3,,72352,active
535,Support,2024-06-16,2,,41342,active
536,Engineering,2024-03-31,3,,89424,active
537,Support,2024-05-20,3,,54701,left
538,Engineering,2024-01-11,1,,74043,active
539,Engineering,2024-06-15,3,,60808,active
540,Marketing,2024-05-16,2,2024-04-28,47607,active
541,Support,2024-05-03,3,,75042,active
542,Sales,2024-06-27,2,,86648,active
543,Engineering,2024-08-29,1,,73507,active
544,Sales,2024-09-14,3,2024-11-21,93234,active
545,Marketing,2024-10-26,3,,63022,active
546,Engineering,2024-08-08,2,2024-06-05,73679,active
547,Marketing,2024-03-04,1,,44907,active
548,Support,2024-03-03,2,2024-02-19,87742,active
549,Support,2024-02-10,1,2024-05-09,73089,active
550,Ops,2024-02-03,3,2024-06-17,46449,active
551,Support,2024-06-30,1,,54359,active
552,Marketing,2024-05-19,1,,94426,left
553,Support,2024-06-26,2,,77922,active
554,Marketing,2024-04-20,2,2024-07-23,64855,active
555,Support,2024-05-27,1,2024-04-30,96754,active
556,Sales,2024-07-08,2,2024-05-19,67285,active
557,Ops,2024-06-11,3,2024-07-10,51717,active
558,Support,2024-06-07,1,,84997,active
559,Engineering,2024-03-23,1,2024-05-30,98262,active
560,Marketing,2024-02-27,1,,73606,active
561,Engineering,2024-08-07,1,,101870,active
562,Engineering,2024-01-03,2,,80479,active
563,Support,2024-02-29,3,,58506,active
564,Support,2024-03-30,3,2024-04-05,76820,active
565,Ops,2024-09-16,3,,56353,active
566,Sales,2024-09-29,2,,45844,active
567,Engineering,2024-12-04,2,,108711,active
568,Ops,2024-11-12,2,,64636,active
569,Support,2024-05-07,2,,55358,active
570,Ops,2024-10-29,1,,55654,active
571,Ops,2024-02-03,2,2024-02-10,77610,active
572,Ops,2024-08-13,1,,68482,active
573,Support,2024-05-09,2,,97520,active
574,Ops,2024-04-28,2,,62756,active
575,Engineering,2024-04-11,3,,92885,active
576,Ops,2024-11-24,2,,86026,active
577,Ops,2024-06-22,3,,44936,active
578,Support,2024-03-11,3,2024-01-24,81926,active
579,Ops,2024-07-14,3,2024-10-21,42893,active
580,Sales,2024-11-04,2,,99721,active
581,Sales,2024-11-05,1,,86398,active
582,Support,2024-11-01,3,,45602,left
583,Support,2024-12-21,2,2024-02-19,89112,active
584,Sales,2024-07-28,3,,54038,active
585,Engineering,2024-11-02,2,2024-03-13,73367,active
586,Marketing,2024-04-22,1,,47099,active
587,Sales,2024-07-02,3,,56829,active
588,Support,2024-12-09,1,2024-10-24,46736,left
589,Marketing,2024-02-14,1,,51976,active
590,Sales,2024-09-08,3,2024-03-15,89919,active
591,Sales,2024-03-05,3,,87194,active
592,Support,2024-07-07,3,,73148,active
593,Marketing,2024-09-20,3,,82082,active
594,Ops,2024-01-21,2,2024-03-04,50133,active
595,Sales,2024-02-19,2,,66468,active
596,Sales,2024-03-19,2,2024-10-04,71919,active
597,Support,2024-12-06,1,,89297,active
598,Support,2024-07-11,3,,87842,active
599,Ops,2024-06-05,3,,48614,active
600,Sales,2024-09-15,3,2024-05-02,94781,active
601,Sales,2024-03-22,1,2024-06-10,50098,active
