employee_id,exit_date,exit_reason
1125,2024-02-22,pay
1137,2024-01-08,better offer $$$
1149,2024-02-01,comp
1150,2024-05-12,family
1169,2024-05-07,better offer $$$
1170,2024-06-18,role change
1177,2024-10-19,comp
1180,2024-07-25,salary
1222,2024-09-03,compensation
1228,2024-05-24,role change
1234,2024-02-07,comp
1237,2024-02-22,manager
1254,2024-08-30,better offer $$$
1259,2024-05-14,salary
1260,2024-08-26,compensation
1264,2024-10-10,comp
1266,2024-07-09,comp
1286,2024-02-07,relocation
1297,2024-01-12,salary
1304,2024-06-22,salary
1329,2024-03-14,relocation
1380,2024-06-19,pay
1388,2024-02-23,comp
1403,2024-10-25,relocation
1410,2024-02-11,family
1418,2024-04-25,better offer $$$
1447,2024-02-27,better offer $$$
1466,2024-03-23,comp
1470,2024-01-24,comp
1491,2024-04-19,salary
1500,2024-09-03,pay
1510,2024-04-18,role change
1518,2024-04-07,better offer $$$
1552,2024-06-21,burnout
1561,2024-03-04,comp
1570,2024-05-18,better offer $$$
1571,2024-07-11,role change
1580,2024-04-14,family
1596,2024-09-20,pay
1598,2024-03-20,burnout
1612,2024-08-24,salary
1622,2024-03-27,relocation
1624,2024-08-30,family
1632,2024-09-03,compensation
1646,2024-08-24,burnout
1654,2024-07-20,family
1659,2024-10-19,burnout
1680,2024-02-27,relocation
1684,2024-07-30,relocation
1691,2024-07-17,comp
1694,2024-02-20,family
1744,2024-08-29,salary
1752,2024-10-08,manager
1777,2024-06-24,relocation
1786,2024-10-24,family
1834,2024-08-25,salary
1835,2024-06-11,family
1841,2024-03-07,salary
1843,2024-07-25,relocation
1846,2024-09-09,pay
1855,2024-09-21,relocation
1856,2024-02-02,relocation
1862,2024-08-23,better offer $$$
1896,2024-09-30,burnout
1903,2024-04-14,pay
1904,2024-10-27,better offer $$$
1918,2024-06-30,comp
1922,2024-04-28,family
1935,2024-02-03,comp
1943,2024-08-01,pay
1949,2024-07-01,family
1952,2024-07-19,comp
1960,2024-10-21,burnout
1963,2024-06-18,burnout
1968,2024-03-31,manager
1970,2024-10-16,family
2005,2024-06-07,pay
2008,2024-05-23,manager
2016,2024-07-08,compensation
2037,2024-02-03,pay
2047,2024-08-22,compensation
2058,2024-08-27,pay
2059,2024-03-08,pay
2064,2024-09-08,manager
2066,2024-08-29,role change
2080,2024-09-11,salary
2088,2024-06-26,family
2090,2024-07-06,manager
2096,2024-08-02,role change
2104,2024-02-09,comp
2115,2024-08-12,compensation
2124,2024-05-02,family
2125,2024-03-30,salary
2133,2024-05-17,family
2139,2024-08-18,better offer $$$
2154,2024-10-07,family
2156,2024-04-30,pay
2167,2024-03-29,comp
2182,2024-07-08,burnout
2193,2024-08-04,comp
2195,2024-05-20,better offer $$$
2199,2024-01-20,compensation
2222,2024-08-04,relocation
2226,2024-03-24,compensation
2253,2024-08-19,salary
2262,2024-04-26,burnout
2294,2024-01-09,family
2306,2024-08-19,role change
2329,2024-08-22,pay
2330,2024-09-29,salary
2338,2024-03-19,better offer $$$
2355,2024-07-01,pay
2356,2024-06-28,comp
2360,2024-06-09,compensation
2361,2024-05-17,comp
2371,2024-06-24,family
2400,2024-05-23,relocation
2408,2024-06-30,family
2439,2024-10-19,role change
2444,2024-07-09,salary
2451,2024-05-22,relocation
2453,2024-09-10,family
2459,2024-05-19,compensation
2472,2024-02-04,better offer $$$
2473,2024-01-26,pay
2483,2024-06-16,comp
2527,2024-10-27,role change
2530,2024-06-13,salary
2532,2024-03-27,pay
2536,2024-02-17,comp
2559,2024-05-31,relocation
2574,2024-05-26,manager
2575,2024-05-26,salary
2577,2024-09-01,compensation
2590,2024-09-08,salary
2594,2024-10-01,family
2595,2024-07-02,manager
2602,2024-08-23,burnout
2607,2024-06-05,relocation
2616,2024-04-21,salary
2617,2024-03-21,pay
2626,2024-04-08,burnout
2672,2024-09-16,comp
2687,2024-07-14,manager
2688,2024-04-12,family
2697,2024-05-08,comp
2705,2024-06-03,comp
2709,2024-09-08,pay
2711,2024-09-05,comp
2730,2024-03-08,relocation
2742,2024-07-15,family
2835,2024-07-25,salary
2852,2024-01-09,role change
2868,2024-08-11,salary
2875,2024-06-08,burnout
2879,2024-05-09,comp
2884,2024-10-05,compensation
2888,2024-03-07,comp
2889,2024-02-08,role change
2907,2024-03-02,comp
2928,2024-05-19,salary
2935,2024-04-07,comp
2937,2024-04-24,manager
2940,2024-09-12,pay
2944,2024-08-09,family
2954,2024-05-28,comp
2960,2024-06-20,comp
2961,2024-04-04,better offer $$$
2978,2024-03-08,relocation
2994,2024-09-15,role change
2996,2024-03-10,compensation
2998,2024-03-28,role change
3004,2024-04-20,compensation
3035,2024-04-15,better offer $$$
3054,2024-05-10,relocation
3065,2024-03-16,relocation
3075,2024-01-16,pay
3093,2024-10-12,pay
3116,2024-08-21,role change
3118,2024-02-21,manager
3122,2024-01-24,compensation
3125,2024-01-19,manager
3131,2024-10-10,pay
3137,2024-06-24,family
3143,2024-02-29,better offer $$$
3148,2024-08-30,family
3171,2024-08-14,manager
3185,2024-03-09,role change
3187,2024-01-25,relocation
3189,2024-01-03,compensation
3197,2024-06-26,relocation
