date,platform,post_type,impressions,reach,likes,comments,shares
2024-02-05,TikTok,text,17443,,639,96,64
2024-02-05,LinkedIn,video,33369,,1077,162,107
2024-02-05,X,video,14386,,254,38,25
2024-02-06,Instagram,video,31091,,536,80,54
2024-02-06,TikTok,text,9746,,375,56,38
2024-02-06,LinkedIn,text,33841,,1259,189,126
2024-02-06,X,photo,31437,,1169,175,117
2024-02-07,Instagram,carousel,36431,,665,100,66
2024-02-07,TikTok,text,17288,,538,81,53
2024-02-07,LinkedIn,video,24378,,513,77,51
2024-02-07,X,text,10468,,247,37,25
2024-02-08,Instagram,carousel,18511,,625,94,62
2024-02-08,TikTok,text,34276,,1086,163,109
2024-02-08,LinkedIn,text,26954,,830,125,83
2024-02-08,X,text,26308,,508,76,51
2024-02-09,Instagram,carousel,18474,,603,90,61
2024-02-09,TikTok,carousel,22001,,533,80,53
2024-02-09,LinkedIn,text,31221,,737,111,73
2024-02-09,X,text,17552,,389,58,39
2024-02-10,Instagram,video,36825,,1422,213,142
2024-02-10,TikTok,carousel,6211,,203,30,21
2024-02-10,LinkedIn,video,15882,,572,86,57
2024-02-10,X,carousel,35948,,1250,188,125
2024-02-11,Instagram,video,16809,,597,90,59
2024-02-11,TikTok,carousel,22493,,607,91,61
2024-02-11,LinkedIn,carousel,8071,,142,21,15
2024-02-11,X,photo,39761,,731,110,73
2024-02-12,Instagram,carousel,17790,,304,46,30
2024-02-12,TikTok,video,23638,,470,71,47
2024-02-12,LinkedIn,text,28723,,710,107,71
2024-02-12,X,text,29154,,1106,166,111
2024-02-13,Instagram,carousel,8619,,313,47,31
2024-02-13,TikTok,photo,15022,,315,47,32
2024-02-13,LinkedIn,carousel,37950,,1115,167,112
2024-02-13,X,photo,29561,,706,106,70
2024-02-14,Instagram,video,3012,,117,18,11
2024-02-14,TikTok,carousel,37983,,1437,216,143
2024-02-14,LinkedIn,photo,32416,,561,84,56
2024-02-14,X,video,37065,,1390,209,139
2024-02-15,Instagram,text,4929,,162,24,17
2024-02-15,TikTok,photo,39190,,1170,176,117
2024-02-15,LinkedIn,video,28716,,1069,160,107
2024-02-15,X,carousel,39766,,1294,194,129
2024-02-16,Instagram,video,29940,,542,81,55
2024-02-16,TikTok,carousel,6019,,178,27,17
2024-02-16,LinkedIn,text,8745,,301,45,30
2024-02-16,X,carousel,39164,,962,144,97
2024-02-17,Instagram,text,12609,,449,67,45
2024-02-17,TikTok,carousel,25937,,621,93,62
2024-02-17,LinkedIn,text,17077,,342,51,34
2024-02-17,X,video,33528,,692,104,69
2024-02-18,Instagram,text,17864,,450,68,45
2024-02-18,TikTok,carousel,3863,,110,16,11
2024-02-18,LinkedIn,video,30339,,758,114,75
2024-02-18,X,carousel,39277,,810,121,81
2024-02-19,Instagram,text,34374,,656,98,66
2024-02-19,TikTok,carousel,25554,,1014,152,102
2024-02-19,LinkedIn,text,16582,,482,72,48
2024-02-19,X,carousel,36348,,684,103,68
2024-02-20,Instagram,text,33921,,782,117,79
2024-02-20,TikTok,text,36974,,1407,211,141
2024-02-20,LinkedIn,carousel,32667,,1130,169,113
2024-02-20,X,video,27577,,813,122,81
2024-02-21,Instagram,photo,30779,,564,85,56
2024-02-21,TikTok,text,17672,,638,96,64
2024-02-21,LinkedIn,video,17625,,350,53,35
2024-02-21,X,text,22068,,357,54,35
2024-02-22,Instagram,video,27088,,942,141,95
2024-02-22,TikTok,carousel,2155,,70,11,7
2024-02-22,LinkedIn,video,4045,,150,22,15
2024-02-22,X,video,18576,,694,104,70
2024-02-23,Instagram,video,34228,,1120,168,112
2024-02-23,TikTok,carousel,25266,,974,146,97
2024-02-23,LinkedIn,photo,25443,,524,79,52
2024-02-23,X,text,26874,,862,129,86
2024-02-24,Instagram,carousel,18190,,438,66,43
2024-02-24,TikTok,text,29554,,858,129,85
2024-02-24,LinkedIn,video,23634,,715,107,72
2024-02-24,X,video,13133,,485,73,48
2024-02-25,Instagram,video,34963,,910,137,91
2024-02-25,TikTok,carousel,38655,,718,108,72
2024-02-25,LinkedIn,photo,22116,,784,118,78
2024-02-25,X,carousel,35297,,715,107,72
2024-02-26,Instagram,text,23894,,926,139,92
2024-02-26,TikTok,carousel,26662,,1004,151,100
2024-02-26,LinkedIn,video,33435,,1240,186,124
2024-02-26,X,carousel,36452,,988,148,99
2024-02-27,Instagram,video,19074,,428,64,43
2024-02-27,TikTok,carousel,15502,,594,89,60
2024-02-27,LinkedIn,carousel,4568,,97,15,9
2024-02-27,X,photo,18208,,673,101,67
2024-02-28,Instagram,text,18708,,360,54,36
2024-02-28,TikTok,text,20313,,811,122,81
2024-02-28,LinkedIn,video,28294,,915,137,92
2024-02-28,X,video,24075,,896,134,90
2024-02-29,Instagram,video,6493,3921,224,34,22
2024-02-29,TikTok,video,32814,22802,1126,169,113
2024-02-29,LinkedIn,carousel,22569,13032,700,105,70
2024-02-29,X,text,8828,5125,218,33,21
2024-03-01,Instagram,video,10989,9089,420,63,42
2024-03-01,TikTok,text,4685,2689,166,25,17
2024-03-01,LinkedIn,photo,17902,13489,704,106,70
2024-03-01,X,photo,11893,9295,369,55,37
2024-03-02,Instagram,carousel,12997,7316,506,76,50
2024-03-02,TikTok,carousel,20941,14844,697,105,69
2024-03-02,LinkedIn,carousel,26730,17416,597,90,59
2024-03-02,X,text,26717,19118,758,114,75
2024-03-03,Instagram,carousel,4933,3865,182,27,18
2024-03-03,TikTok,carousel,17302,9796,318,48,31
2024-03-03,LinkedIn,video,26793,15076,903,135,91
2024-03-03,X,text,22140,17116,590,88,59
2024-03-04,Instagram,photo,12205,7292,307,46,31
2024-03-04,TikTok,text,29577,21710,958,144,95
2024-03-04,LinkedIn,carousel,20507,15601,514,77,51
2024-03-04,X,carousel,39779,22404,1083,162,109
2024-03-05,Instagram,video,38584,24789,630,94,63
2024-03-05,TikTok,carousel,25029,15419,623,93,63
2024-03-05,LinkedIn,text,18344,12771,725,109,72
2024-03-05,X,text,25392,20507,621,93,62
2024-03-06,Instagram,carousel,11581,9031,218,33,21
2024-03-06,TikTok,text,37760,23608,877,132,87
2024-03-06,LinkedIn,photo,22200,13087,474,71,48
2024-03-06,X,photo,2263,1661,70,11,7
2024-03-07,Instagram,video,31825,25071,1234,185,123
2024-03-07,TikTok,text,38076,29605,1440,216,144
2024-03-07,LinkedIn,carousel,8776,5486,292,44,29
2024-03-07,X,video,16570,9449,520,78,52
2024-03-08,Instagram,text,14432,10904,488,73,49
2024-03-08,TikTok,video,29871,23472,1187,178,119
2024-03-08,LinkedIn,carousel,26952,20092,482,72,49
2024-03-08,X,carousel,6763,4987,214,32,21
2024-03-09,Instagram,video,14386,8299,493,74,49
2024-03-09,TikTok,video,33995,25605,1165,175,116
2024-03-09,LinkedIn,photo,29157,21696,1155,173,116
2024-03-09,X,video,14938,11118,547,82,55
2024-03-10,Instagram,video,19910,12820,491,74,49
2024-03-10,TikTok,carousel,33636,22449,1287,193,129
2024-03-10,LinkedIn,photo,6749,4454,146,22,15
2024-03-10,X,text,18214,14221,503,75,51
2024-03-11,Instagram,text,11841,8771,206,31,21
2024-03-11,TikTok,text,33686,26747,1138,171,113
2024-03-11,LinkedIn,carousel,11392,6504,409,61,41
2024-03-11,X,text,26105,15966,934,140,94
2024-03-12,Instagram,video,23009,16966,693,104,69
2024-03-12,TikTok,photo,6123,3492,107,16,11
2024-03-12,LinkedIn,photo,24424,16795,391,59,39
2024-03-12,X,carousel,25897,14767,614,92,61
2024-03-13,Instagram,photo,7606,5198,298,45,29
2024-03-13,TikTok,carousel,25387,20293,666,100,66
2024-03-13,LinkedIn,text,16237,13755,382,57,38
2024-03-13,X,text,4022,3026,124,19,12
2024-03-14,Instagram,text,14568,8769,426,64,43
2024-03-14,TikTok,carousel,23747,17649,438,66,43
2024-03-14,LinkedIn,carousel,5650,3427,185,28,18
2024-03-14,X,text,5434,4403,169,25,17
2024-03-15,Instagram,carousel,18942,11041,357,54,35
2024-03-15,TikTok,carousel,2684,1656,53,8,5
2024-03-15,LinkedIn,photo,5286,4427,150,23,15
2024-03-15,X,carousel,2985,1927,90,13,9
2024-03-16,Instagram,photo,19269,11121,726,109,72
2024-03-16,TikTok,photo,16263,12734,465,70,46
2024-03-16,LinkedIn,video,4946,4048,157,24,15
2024-03-16,X,video,32796,26360,630,94,63
2024-03-17,Instagram,photo,20953,16556,674,101,68
2024-03-17,TikTok,carousel,2506,1613,43,6,5
2024-03-17,LinkedIn,photo,30982,22622,900,135,90
2024-03-17,X,text,25634,19685,624,94,62
2024-03-18,Instagram,text,19638,11307,691,104,69
2024-03-18,TikTok,photo,32772,27373,974,146,98
2024-03-18,LinkedIn,video,15673,13293,341,51,34
2024-03-18,X,video,18290,10098,659,99,66
2024-03-19,Instagram,text,22586,14226,525,79,52
2024-03-19,TikTok,text,29125,18151,1148,172,115
2024-03-19,LinkedIn,text,8605,6342,240,36,24
2024-03-19,X,photo,22951,18252,795,119,80
2024-03-20,Instagram,text,32046,21926,1222,183,122
2024-03-20,TikTok,text,13717,9518,303,45,31
2024-03-20,LinkedIn,photo,8038,6785,286,43,28
2024-03-20,X,carousel,10573,7983,422,63,42
2024-03-21,Instagram,carousel,28634,22909,586,88,58
2024-03-21,TikTok,photo,16157,13725,482,72,48
2024-03-21,LinkedIn,text,20286,16089,571,86,57
2024-03-21,X,text,8263,6623,136,20,14
2024-03-22,Instagram,carousel,30706,17261,832,125,83
2024-03-22,TikTok,text,18887,13246,457,69,45
2024-03-22,LinkedIn,photo,5090,3452,175,26,18
2024-03-22,X,text,6644,4723,129,19,13
2024-03-23,Instagram,photo,39733,26708,663,99,67
2024-03-23,TikTok,carousel,16561,10994,366,55,37
2024-03-23,LinkedIn,text,10995,6125,365,55,36
2024-03-23,X,video,19241,12683,532,80,53
2024-03-24,Instagram,text,23675,15218,454,68,45
2024-03-24,TikTok,text,37414,31738,936,140,94
2024-03-24,LinkedIn,text,6723,5685,186,28,19
2024-03-24,X,carousel,27847,19945,489,73,49
2024-03-25,Instagram,text,14359,9924,246,37,25
2024-03-25,TikTok,photo,12641,7033,259,39,26
2024-03-25,LinkedIn,text,16548,10109,377,57,37
2024-03-25,X,carousel,3900,2493,142,21,14
2024-03-26,Instagram,carousel,14854,9400,292,44,29
2024-03-26,TikTok,video,25772,19950,821,123,82
2024-03-26,LinkedIn,carousel,27673,18410,714,107,72
2024-03-26,X,text,5864,3320,210,32,21
2024-03-27,Instagram,video,20839,11989,821,123,82
2024-03-27,TikTok,carousel,30044,19994,705,106,70
2024-03-27,LinkedIn,carousel,11603,7659,291,44,29
2024-03-27,X,text,10598,8591,184,28,18
2024-03-28,Instagram,carousel,3988,2840,90,13,9
2024-03-28,TikTok,photo,21780,14514,488,73,49
2024-03-28,LinkedIn,carousel,21522,14619,836,125,84
2024-03-28,X,photo,10729,8094,365,55,36
2024-03-29,Instagram,photo,9338,7624,162,24,17
2024-03-29,TikTok,text,23761,18489,567,85,57
2024-03-29,LinkedIn,text,23664,17356,490,74,49
2024-03-29,X,video,36036,26723,846,127,85
2024-03-30,Instagram,video,24667,15652,826,124,82
2024-03-30,TikTok,carousel,30603,20238,511,77,51
2024-03-30,LinkedIn,video,32693,18087,966,145,97
2024-03-30,X,photo,22815,15347,597,90,59
2024-03-31,Instagram,photo,39867,23117,696,104,70
2024-03-31,TikTok,carousel,30128,18968,993,149,99
2024-03-31,LinkedIn,video,19075,11127,736,110,74
2024-03-31,X,photo,25261,17632,458,69,45
2024-04-01,Instagram,video,30322,19004,711,107,71
2024-04-01,TikTok,carousel,24745,20869,724,109,72
2024-04-01,LinkedIn,video,6455,3719,214,32,21
2024-04-01,X,video,8838,6289,291,44,29
2024-04-02,Instagram,video,16279,11462,363,54,37
2024-04-02,TikTok,carousel,14821,11911,480,72,48
2024-04-02,LinkedIn,text,17029,9972,613,92,61
2024-04-02,X,video,23661,17619,449,67,45
2024-04-03,Instagram,photo,8228,6493,191,29,19
2024-04-03,TikTok,photo,20057,12950,418,63,41
2024-04-03,LinkedIn,photo,16921,12871,626,94,62
2024-04-03,X,video,35861,27249,1189,178,119
2024-04-04,Instagram,video,28274,19828,765,115,76
2024-04-04,TikTok,carousel,24864,15728,550,83,55
2024-04-04,LinkedIn,photo,13558,11380,251,38,25
2024-04-04,X,text,24969,18591,653,98,65
2024-04-05,Instagram,carousel,17508,13930,491,74,49
2024-04-05,TikTok,text,37735,24509,702,105,70
2024-04-05,LinkedIn,text,39046,32896,1134,170,114
2024-04-05,X,carousel,5287,4255,191,29,19
2024-04-06,Instagram,photo,9391,5230,367,55,37
2024-04-06,TikTok,photo,36622,21863,754,113,75
2024-04-06,LinkedIn,video,19541,11085,320,48,32
2024-04-06,X,video,9263,6107,205,31,20
2024-04-07,Instagram,text,37123,29453,800,120,80
2024-04-07,TikTok,photo,28314,22222,570,86,57
2024-04-07,LinkedIn,text,24629,14313,530,79,53
2024-04-07,X,carousel,32868,20785,1103,165,111
2024-04-08,Instagram,carousel,3017,2203,91,14,9
2024-04-08,TikTok,photo,31806,26270,525,79,52
2024-04-08,LinkedIn,photo,22698,18509,814,122,82
2024-04-08,X,photo,18964,16095,374,56,38
2024-04-09,Instagram,photo,3881,3117,92,14,9
2024-04-09,TikTok,video,23677,14916,413,62,41
2024-04-09,LinkedIn,text,16314,10757,441,66,44
2024-04-09,X,video,30693,22297,719,108,72
2024-04-10,Instagram,text,10383,6782,342,51,34
2024-04-10,TikTok,video,35468,28269,603,90,61
2024-04-10,LinkedIn,video,25596,14165,918,138,91
2024-04-10,X,text,6836,3905,262,39,26
2024-04-11,Instagram,text,2434,1750,46,7,5
2024-04-11,TikTok,carousel,23050,14098,479,72,48
2024-04-11,LinkedIn,photo,33589,19596,1159,174,116
2024-04-11,X,carousel,11200,8621,382,57,39
2024-04-12,Instagram,carousel,28560,23760,555,83,56
2024-04-12,TikTok,video,2005,1677,47,7,5
2024-04-12,LinkedIn,video,7641,4387,179,27,18
2024-04-12,X,carousel,25987,17768,810,122,81
2024-04-13,Instagram,text,37276,22688,1055,158,106
2024-04-13,TikTok,video,31002,24956,1080,162,108
2024-04-13,LinkedIn,photo,34783,27232,1161,174,116
2024-04-13,X,video,11169,9419,319,48,32
2024-04-14,Instagram,video,12464,9294,285,43,28
2024-04-14,TikTok,text,5160,3188,166,25,16
2024-04-14,LinkedIn,photo,39090,31032,1185,178,118
2024-04-14,X,carousel,39868,25571,1218,183,122
2024-04-15,Instagram,photo,32746,23345,1197,180,119
2024-04-15,TikTok,video,19444,12321,675,101,68
2024-04-15,LinkedIn,carousel,31071,25200,1161,174,116
2024-04-15,X,photo,15724,12999,374,56,37
2024-04-16,Instagram,carousel,26858,17383,444,67,44
2024-04-16,TikTok,carousel,10017,6658,330,49,33
2024-04-16,LinkedIn,video,15035,8309,244,37,24
2024-04-16,X,photo,36276,21692,969,145,97
2024-04-17,Instagram,video,23026,19487,398,60,40
2024-04-17,TikTok,video,3633,2433,138,21,13
2024-04-17,LinkedIn,photo,10471,8841,383,57,39
2024-04-17,X,carousel,34332,23952,663,99,67
2024-04-18,Instagram,photo,18343,12154,626,94,62
2024-04-18,TikTok,video,25004,21209,864,130,86
2024-04-18,LinkedIn,carousel,35420,25275,1332,200,133
2024-04-18,X,video,27349,22032,448,67,45
2024-04-19,Instagram,video,38143,26576,1087,163,109
2024-04-19,TikTok,text,4172,3478,134,20,13
2024-04-19,LinkedIn,text,13847,10839,298,45,29
2024-04-19,X,carousel,24804,20654,524,79,52
2024-04-20,Instagram,carousel,5370,4250,138,21,14
2024-04-20,TikTok,carousel,25893,17815,415,62,42
2024-04-20,LinkedIn,carousel,25026,16604,778,117,77
2024-04-20,X,video,11571,8271,308,46,31
2024-04-21,Instagram,photo,27965,20288,570,86,57
2024-04-21,TikTok,video,9003,6253,210,32,21
2024-04-21,LinkedIn,text,20904,17764,649,97,65
2024-04-21,X,carousel,7296,5884,127,19,13
2024-04-22,Instagram,photo,2229,1353,58,9,5
2024-04-22,TikTok,video,31800,17563,723,108,73
2024-04-22,LinkedIn,text,37482,26703,1112,167,111
2024-04-22,X,photo,11770,9117,223,33,23
2024-04-23,Instagram,text,14207,9481,393,59,39
2024-04-23,TikTok,carousel,11413,7641,418,63,41
2024-04-23,LinkedIn,text,26190,18130,847,127,85
2024-04-23,X,photo,26306,15582,710,106,71
2024-04-24,Instagram,photo,19057,14394,633,95,63
2024-04-24,TikTok,carousel,29185,22110,654,98,66
2024-04-24,LinkedIn,video,27260,16194,514,77,52
2024-04-24,X,text,37115,23477,1233,185,123
2024-04-25,Instagram,photo,14427,10538,364,55,36
2024-04-25,TikTok,carousel,10036,8275,186,28,18
2024-04-25,LinkedIn,carousel,39100,22694,668,100,67
2024-04-25,X,text,36678,20609,981,147,98
2024-04-26,Instagram,photo,23832,13266,837,126,83
2024-04-26,TikTok,photo,9850,6589,249,37,25
2024-04-26,LinkedIn,carousel,39674,26396,1286,193,128
2024-04-26,X,video,7120,4517,139,21,14
2024-04-27,Instagram,photo,4025,2803,99,15,10
2024-04-27,TikTok,photo,8845,5075,270,41,27
2024-04-27,LinkedIn,carousel,7870,6359,198,30,20
2024-04-27,X,text,17595,10298,425,64,42
2024-04-28,Instagram,carousel,18377,12942,571,86,57
2024-04-28,TikTok,carousel,8945,7155,318,48,32
2024-04-28,LinkedIn,video,20882,14758,678,102,68
2024-04-28,X,carousel,17646,11021,542,81,54
2024-04-29,Instagram,text,30247,24814,770,115,77
2024-04-29,TikTok,video,17161,13384,554,83,56
2024-04-29,LinkedIn,text,9581,7591,241,36,24
2024-04-29,X,text,10590,6682,349,52,35
2024-04-30,Instagram,text,38359,21667,1271,191,127
2024-04-30,TikTok,video,28960,20624,826,124,83
2024-04-30,LinkedIn,carousel,7890,6487,234,35,24
2024-04-30,X,carousel,36892,31200,1090,163,109
2024-05-01,Instagram,carousel,22180,13992,887,133,89
2024-05-01,TikTok,carousel,11645,8782,302,45,30
2024-05-01,LinkedIn,photo,22159,12716,745,112,74
2024-05-01,X,photo,5536,4241,141,21,14
2024-05-02,Instagram,text,39289,22737,690,104,69
2024-05-02,TikTok,photo,39729,32429,842,126,84
2024-05-02,LinkedIn,photo,14542,12200,508,76,51
2024-05-02,X,photo,19405,14343,648,97,65
2024-05-03,Instagram,video,18757,13687,389,58,39
2024-05-03,TikTok,video,12305,8071,391,59,39
2024-05-03,LinkedIn,photo,38371,31338,754,113,76
2024-05-03,X,photo,16651,9255,465,70,46
2024-05-04,Instagram,text,10520,7990,222,33,22
2024-05-04,TikTok,video,16430,9380,414,62,42
2024-05-04,LinkedIn,carousel,31529,19165,1118,168,111
2024-05-04,X,text,20074,14944,362,54,37
2024-05-05,Instagram,video,16754,11599,478,72,47
2024-05-05,TikTok,video,6491,3851,109,16,11
2024-05-05,LinkedIn,photo,27828,19712,691,104,69
2024-05-05,X,text,6495,3665,166,25,16
2024-05-06,Instagram,video,13251,9200,275,41,28
2024-05-06,TikTok,video,15587,9092,352,53,35
2024-05-06,LinkedIn,carousel,26384,15912,501,75,50
2024-05-06,X,carousel,4131,3303,155,23,16
2024-05-07,Instagram,carousel,8792,4990,146,22,15
2024-05-07,TikTok,video,24898,15506,944,142,94
2024-05-07,LinkedIn,text,12987,8568,246,37,25
2024-05-07,X,carousel,37974,21021,1266,190,126
2024-05-08,Instagram,photo,28525,21214,857,129,85
2024-05-08,TikTok,carousel,23064,18662,870,131,87
2024-05-08,LinkedIn,video,19485,14074,420,63,42
2024-05-08,X,photo,37157,23831,1206,181,121
2024-05-09,Instagram,carousel,21334,12324,487,73,49
2024-05-09,TikTok,text,27562,20648,742,111,75
2024-05-09,LinkedIn,video,31149,25081,634,95,63
2024-05-09,X,video,8336,5706,210,31,21
2024-05-10,Instagram,photo,33225,27961,890,134,89
2024-05-10,TikTok,video,30073,16615,523,78,53
2024-05-10,LinkedIn,video,8054,4724,254,38,26
2024-05-10,X,text,19067,13432,410,62,41
2024-05-11,Instagram,carousel,38688,31659,966,145,97
2024-05-11,TikTok,video,17865,11178,531,80,53
2024-05-11,LinkedIn,carousel,20455,14370,482,72,48
2024-05-11,X,text,29175,17979,846,127,85
2024-05-12,Instagram,photo,38081,30290,960,144,96
2024-05-12,TikTok,video,33165,18766,753,113,75
2024-05-12,LinkedIn,photo,4156,3077,158,24,15
2024-05-12,X,carousel,26130,16262,784,118,78
2024-05-13,Instagram,text,3002,1977,113,17,11
2024-05-13,TikTok,text,4532,3418,175,26,18
2024-05-13,LinkedIn,carousel,9893,8241,233,35,23
2024-05-13,X,carousel,8425,5951,263,39,27
2024-05-14,Instagram,video,11666,6836,325,49,32
2024-05-14,TikTok,photo,34239,22262,1271,191,127
2024-05-14,LinkedIn,carousel,34701,19148,1030,154,103
2024-05-14,X,text,6951,5053,122,18,12
