po_id,supplier,created_date,promised_date,received_date,value,on_time
51,SOYLENT,2024-05-29,2024-05-24,2024-06-04,59333,0
52,Soylent Ltd,2024-02-03,2024-03-14,2024-03-09,69799,1
53,Initech Ltd,2024-06-18,2024-07-01,2024-07-10,46719,0
54,STARK,2024-07-27,2024-08-09,2024-08-06,14779,1
55,Initech  Ltd.,2024-03-30,2024-05-13,2024-05-12,39029,1
56,Globex Ltd,2024-09-29,2024-10-29,2024-11-07,84512,0
57,Initech  Ltd.,2024-01-29,2024-02-20,2024-02-18,38117,1
58,Soylent Ltd,2024-09-12,2024-10-13,2024-10-11,71650,1
59,Stark Ltd,2024-01-08,2024-01-30,2024-01-26,3620,1
60,Stark Limited,2024-09-07,2024-09-17,2024-09-16,76246,1
61,Acme,2024-05-03,2024-06-06,2024-06-01,15180,1
62,Stark,2024-05-15,2024-05-22,2024-05-20,41460,1
63,UMBRELLA,2024-09-22,2024-10-20,2024-11-05,76661,0
64,Initech  Ltd.,2024-07-11,2024-07-31,2024-07-26,5287,1
65,Initech Ltd,2024-05-17,2024-06-16,2024-06-12,9866,1
66,ACME,2024-08-14,2024-09-25,2024-09-22,83773,1
67,ACME,2024-06-23,2024-07-27,2024-08-03,64261,0
68,Soylent,2024-07-01,2024-07-11,2024-07-09,6727,1
69,Acme Limited,2024-02-29,2024-04-06,2024-04-04,5185,1
70,Soylent,2024-06-12,2024-07-15,2024-07-11,85456,1
71,Globex Ltd,2024-09-06,2024-10-01,2024-09-28,81582,1
72,Globex Ltd,2024-06-03,2024-07-08,2024-07-05,32463,1
73,Soylent Ltd,2024-07-03,2024-07-16,2024-07-13,24704,1
74,Globex Limited,2024-02-03,2024-02-23,2024-03-03,18684,0
75,Stark  Ltd.,2024-04-23,2024-05-23,2024-05-23,15843,1
76,Acme,2024-07-19,2024-08-11,2024-08-11,30194,1
77,Globex Ltd,2024-07-28,2024-09-06,2024-09-09,43043,0
78,Umbrella Limited,2024-03-22,2024-04-21,2024-05-06,30435,0
79,Initech Ltd,2024-10-18,2024-10-26,2024-11-07,63319,0
80,Stark Ltd,2024-09-22,2024-11-05,2024-11-03,32926,1
81,Stark,2024-05-17,2024-05-30,2024-06-02,75377,0
82,Initech Limited,2024-04-14,2024-05-25,2024-05-21,84491,1
83,Acme  Ltd.,2024-04-21,2024-06-04,2024-06-04,13333,1
84,Stark Ltd,2024-05-29,2024-07-09,2024-07-05,69469,1
85,Acme  Ltd.,2024-10-03,2024-11-03,2024-11-03,87935,1
86,Initech  Ltd.,2024-02-25,2024-03-16,2024-03-14,50939,1
87,Umbrella Limited,2024-04-21,2024-05-27,2024-05-28,53772,0
88,Initech Limited,2024-04-18,2024-04-17,2024-04-13,2352,1
89,Stark,2024-10-20,2024-11-06,2024-11-01,53374,1
90,Initech,2024-09-01,2024-09-27,2024-10-12,64896,0
91,Globex  Ltd.,2024-10-16,2024-11-19,2024-11-16,37479,1
92,UMBRELLA,2024-06-11,2024-07-21,2024-07-17,841,1
93,Initech,2024-02-02,2024-02-25,2024-02-23,51783,1
94,Initech,2024-09-03,2024-09-23,2024-09-18,84471,1
95,Soylent Ltd,2024-04-26,2024-05-20,2024-05-19,18553,1
96,STARK,2024-09-11,2024-10-11,2024-10-27,77626,0
97,Umbrella,2024-02-18,2024-03-07,2024-03-07,44038,1
98,Acme Ltd,2024-07-02,2024-08-14,2024-08-12,85550,1
99,Soylent,2024-10-27,2024-11-25,2024-11-21,21315,1
100,Acme  Ltd.,2024-07-29,2024-08-11,2024-08-06,70235,1
101,ACME,2024-05-22,2024-06-21,2024-06-18,38628,1
102,INITECH,2024-02-08,2024-03-24,2024-03-21,79766,1
103,Acme Limited,2024-10-23,2024-12-02,2024-11-30,71736,1
104,Soylent Ltd,2024-02-12,2024-03-14,2024-03-12,30160,1
105,Umbrella  Ltd.,2024-06-21,2024-07-25,2024-07-20,34253,1
106,Umbrella Ltd,2024-01-08,2024-01-29,2024-01-24,24217,1
107,STARK,2024-08-07,2024-09-14,2024-09-13,6994,1
108,Stark Ltd,2024-10-05,2024-10-17,2024-10-23,43855,0
109,STARK,2024-03-01,2024-04-04,2024-04-04,19822,1
110,Acme Ltd,2024-07-14,2024-07-23,2024-07-20,89961,1
111,Stark  Ltd.,2024-09-03,2024-09-28,2024-09-27,12484,1
112,Initech Ltd,2024-05-30,2024-06-06,2024-06-04,53730,1
113,Umbrella Ltd,2024-03-30,2024-04-13,2024-04-12,63960,1
114,Globex Ltd,2024-01-18,2024-02-02,2024-01-29,35514,1
115,Soylent,2024-01-16,2024-02-15,2024-02-12,84806,1
116,Acme,2024-01-07,2024-02-11,2024-02-07,37159,1
117,Stark,2024-01-03,2024-01-31,2024-01-29,46496,1
118,Initech Ltd,2024-01-02,2024-01-13,2024-01-09,12356,1
119,Stark,2024-05-06,2024-06-05,2024-06-05,31772,1
120,Soylent Ltd,2024-04-16,2024-05-28,2024-05-26,6478,1
121,Initech  Ltd.,2024-07-23,2024-08-25,2024-08-23,16477,1
122,INITECH,2024-10-14,2024-10-28,2024-10-26,27929,1
123,Globex Ltd,2024-02-07,2024-03-04,2024-02-29,9407,1
124,Acme  Ltd.,2024-01-17,2024-02-03,2024-02-22,8983,0
125,SOYLENT,2024-09-15,2024-09-30,2024-09-29,13155,1
126,Soylent,2024-01-20,2024-01-28,2024-01-28,35132,1
127,Soylent  Ltd.,2024-06-18,2024-07-31,2024-07-29,74449,1
128,Soylent Ltd,2024-04-26,2024-05-30,2024-05-28,37429,1
129,Globex Ltd,2024-04-01,2024-04-21,2024-05-04,65998,0
130,Globex Ltd,2024-03-04,2024-03-22,2024-03-18,21828,1
131,Acme Limited,2024-04-14,2024-04-29,2024-04-28,5339,1
132,Globex Ltd,2024-04-08,2024-04-24,2024-05-01,30033,0
133,ACME,2024-10-19,2024-12-03,2024-11-30,15679,1
134,Initech  Ltd.,2024-10-14,2024-11-24,2024-11-22,10839,1
135,Initech Ltd,2024-03-25,2024-03-20,2024-03-19,60077,1
136,Globex Limited,2024-01-19,2024-02-18,2024-02-15,60238,1
137,Stark,2024-07-04,2024-06-26,2024-06-24,52447,1
138,Umbrella  Ltd.,2024-04-06,2024-04-25,2024-04-20,46610,1
139,Initech  Ltd.,2024-09-21,2024-09-30,2024-09-26,18743,1
140,Initech Limited,2024-04-05,2024-05-05,2024-05-05,61380,1
141,Soylent Limited,2024-06-10,2024-06-27,2024-06-27,17261,1
142,ACME,2024-08-09,2024-09-19,2024-09-17,78045,1
143,STARK,2024-02-14,2024-02-10,2024-02-07,89434,1
144,Stark,2024-10-12,2024-11-14,2024-11-22,81703,0
145,Globex Ltd,2024-06-30,2024-07-28,2024-07-28,4401,1
146,Stark Limited,2024-09-08,2024-10-23,2024-10-21,10382,1
147,Initech  Ltd.,2024-09-07,2024-10-09,2024-10-05,8717,1
148,Stark Ltd,2024-10-18,2024-11-19,2024-11-18,8186,1
149,Globex,2024-07-13,2024-08-12,2024-08-11,85991,1
150,Stark  Ltd.,2024-02-29,2024-03-18,2024-03-17,71177,1
151,Stark,2024-09-18,2024-10-15,2024-10-11,16792,1
152,GLOBEX,2024-09-10,2024-09-29,2024-09-25,28741,1
153,Stark,2024-04-13,2024-05-02,2024-04-30,77878,1
154,Umbrella,2024-08-24,2024-09-30,2024-09-28,63807,1
155,Initech Limited,2024-01-01,2024-01-24,2024-02-05,40906,0
156,Stark Ltd,2024-06-03,2024-06-15,2024-06-16,69566,0
157,Soylent  Ltd.,2024-09-27,2024-10-24,2024-10-20,50653,1
158,Umbrella Limited,2024-02-25,2024-03-08,2024-03-26,80188,0
159,Acme,2024-04-04,2024-05-03,2024-04-28,71238,1
160,Soylent,2024-07-27,2024-08-24,2024-09-03,75041,0
161,Acme  Ltd.,2024-08-21,2024-09-14,2024-09-10,48334,1
162,Soylent,2024-08-08,2024-08-15,2024-08-10,51412,1
163,Stark Ltd,2024-02-16,2024-03-22,2024-03-18,71395,1
164,STARK,2024-09-14,2024-10-26,2024-10-24,7723,1
165,Acme  Ltd.,2024-07-30,2024-09-03,2024-08-31,88368,1
166,Acme Limited,2024-06-11,2024-06-20,2024-06-18,16253,1
167,Globex Ltd,2024-02-11,2024-02-20,2024-02-20,67915,1
168,Soylent Ltd,2024-03-14,2024-03-13,2024-03-12,13086,1
169,Umbrella  Ltd.,2024-06-16,2024-07-07,2024-07-24,55482,0
170,Soylent Limited,2024-08-31,2024-09-30,2024-09-28,60830,1
171,Initech,2024-02-09,2024-02-19,2024-02-15,68981,1
172,INITECH,2024-09-23,2024-11-04,2024-11-02,63725,1
173,SOYLENT,2024-05-30,2024-06-18,2024-06-15,58266,1
174,Soylent Ltd,2024-08-24,2024-09-27,2024-09-22,52047,1
175,Umbrella Ltd,2024-01-14,2024-01-27,2024-01-26,37921,1
176,Umbrella Limited,2024-01-05,2024-02-03,2024-01-30,59656,1
177,Soylent,2024-07-01,2024-07-19,2024-07-16,51291,1
178,Initech,2024-05-18,2024-06-10,2024-06-05,84837,1
179,Umbrella,2024-04-03,2024-04-29,2024-04-24,41815,1
180,Soylent  Ltd.,2024-02-25,2024-03-04,2024-02-29,51147,1
181,SOYLENT,2024-04-22,2024-05-08,2024-05-09,82378,0
182,Initech Ltd,2024-03-17,2024-04-19,2024-04-16,36757,1
183,Globex,2024-09-30,2024-10-15,2024-10-11,67651,1
184,Soylent  Ltd.,2024-06-12,2024-07-14,2024-07-10,56300,1
185,Stark Ltd,2024-08-14,2024-09-26,2024-09-24,32933,1
186,ACME,2024-06-14,2024-07-23,2024-07-20,21706,1
187,Stark Ltd,2024-03-20,2024-03-16,2024-03-15,11184,1
188,Soylent,2024-03-13,2024-03-25,2024-03-21,9418,1
189,Soylent,2024-01-23,2024-02-08,2024-02-23,76640,0
190,Initech  Ltd.,2024-06-30,2024-07-18,2024-07-16,81162,1
191,Soylent Ltd,2024-06-30,2024-08-04,2024-08-03,29336,1
192,Initech Ltd,2024-10-09,2024-11-22,2024-11-21,7690,1
193,Soylent Limited,2024-03-10,2024-03-17,2024-03-12,63534,1
194,INITECH,2024-01-29,2024-03-04,2024-03-03,24037,1
195,Globex Ltd,2024-10-08,2024-10-17,2024-10-13,59279,1
196,Initech Limited,2024-04-05,2024-05-16,2024-05-14,20257,1
197,GLOBEX,2024-09-20,2024-10-29,2024-11-02,57876,0
198,Acme Limited,2024-09-02,2024-10-09,2024-10-08,16896,1
199,INITECH,2024-10-13,2024-11-02,2024-10-31,21355,1
200,Globex Ltd,2024-04-07,2024-04-14,2024-05-01,13960,0
201,Initech Ltd,2024-04-21,2024-05-03,2024-04-30,39443,1
202,Umbrella  Ltd.,2024-07-19,2024-08-26,2024-08-26,18887,1
203,Acme  Ltd.,2024-03-03,2024-03-29,2024-03-26,89027,1
204,Stark,2024-04-01,2024-04-23,2024-04-26,74510,0
205,INITECH,2024-10-18,2024-11-27,2024-12-09,62129,0
206,Initech Ltd,2024-10-05,2024-10-20,2024-10-19,18528,1
207,Umbrella,2024-02-15,2024-02-22,2024-02-27,62371,0
208,Initech Ltd,2024-10-23,2024-11-10,2024-11-09,48480,1
209,Acme Ltd,2024-08-31,2024-09-26,2024-09-23,74946,1
210,GLOBEX,2024-03-24,2024-04-19,2024-05-09,33704,0
211,Umbrella Ltd,2024-02-05,2024-03-19,2024-03-14,84084,1
212,Globex,2024-05-28,2024-07-10,2024-07-06,80316,1
213,Initech Limited,2024-10-05,2024-10-19,2024-10-16,11522,1
214,Initech Ltd,2024-08-24,2024-09-08,2024-09-04,22167,1
215,SOYLENT,2024-04-10,2024-05-22,2024-05-17,12976,1
216,STARK,2024-04-10,2024-05-14,2024-05-13,75326,1
217,Globex Limited,2024-03-13,2024-04-13,2024-05-02,58604,0
218,Stark Limited,2024-09-30,2024-11-14,2024-11-13,60536,1
219,Globex,2024-10-03,2024-10-18,2024-10-19,50479,0
220,UMBRELLA,2024-05-06,2024-05-02,2024-04-29,37365,1
221,Stark Limited,2024-01-23,2024-02-26,2024-02-25,58426,1
222,Umbrella Limited,2024-06-23,2024-07-08,2024-07-03,38401,1
223,GLOBEX,2024-06-28,2024-08-03,2024-08-02,36170,1
224,Acme,2024-05-07,2024-06-04,2024-06-22,36938,0
225,Initech  Ltd.,2024-04-16,2024-05-27,2024-05-22,11142,1
226,Globex  Ltd.,2024-08-15,2024-08-22,2024-08-21,68462,1
227,Initech,2024-05-19,2024-05-27,2024-05-26,80405,1
228,ACME,2024-05-17,2024-05-28,2024-05-25,24507,1
229,SOYLENT,2024-09-25,2024-10-24,2024-10-19,65614,1
230,Initech Limited,2024-05-03,2024-04-23,2024-04-22,83598,1
231,Initech  Ltd.,2024-06-14,2024-07-24,2024-08-06,34992,0
232,ACME,2024-04-07,2024-05-08,2024-05-07,55372,1
233,Acme  Ltd.,2024-07-11,2024-08-07,2024-08-04,4601,1
234,Initech Limited,2024-06-09,2024-07-06,2024-07-02,57704,1
235,Initech,2024-03-14,2024-04-22,2024-04-18,49866,1
236,Stark Ltd,2024-08-21,2024-09-07,2024-09-02,57662,1
237,Initech Ltd,2024-06-11,2024-07-03,2024-06-30,68500,1
238,Acme,2024-01-07,2024-02-02,2024-02-03,80784,0
239,Stark Limited,2024-06-15,2024-07-04,2024-07-01,8296,1
240,Initech Limited,2024-02-04,2024-03-10,2024-03-05,15299,1
241,GLOBEX,2024-03-06,2024-03-14,2024-03-12,29352,1
242,Initech,2024-09-10,2024-09-25,2024-09-22,42850,1
243,Acme Limited,2024-05-11,2024-05-18,2024-05-15,39781,1
244,Soylent  Ltd.,2024-10-25,2024-11-27,2024-11-26,84704,1
245,Umbrella Ltd,2024-02-14,2024-03-19,2024-03-30,36935,0
246,Umbrella,2024-05-02,2024-05-16,2024-05-21,53474,0
247,GLOBEX,2024-04-22,2024-05-08,2024-05-06,1122,1
248,Soylent Limited,2024-01-21,2024-03-04,2024-03-02,15344,1
249,Umbrella  Ltd.,2024-04-01,2024-04-21,2024-04-21,57828,1
250,STARK,2024-02-10,2024-02-21,2024-02-20,83780,1
251,STARK,2024-04-14,2024-04-23,2024-04-21,13428,1
252,Acme,2024-01-09,2024-02-07,2024-02-07,44750,1
253,Acme,2024-02-27,2024-03-30,2024-04-17,54414,0
254,Umbrella Ltd,2024-05-21,2024-07-01,2024-06-30,55946,1
255,Globex Limited,2024-09-18,2024-10-05,2024-10-21,14608,0
256,Initech  Ltd.,2024-06-20,2024-07-30,2024-07-26,3500,1
257,Acme  Ltd.,2024-09-03,2024-10-17,2024-10-13,74383,1
258,Acme Ltd,2024-09-17,2024-10-17,2024-10-14,22207,1
259,Stark Ltd,2024-10-15,2024-11-03,2024-11-02,27879,1
260,Umbrella Limited,2024-05-02,2024-05-17,2024-05-14,31234,1
261,GLOBEX,2024-08-05,2024-08-27,2024-08-26,71728,1
262,Stark  Ltd.,2024-08-27,2024-09-26,2024-09-22,75351,1
263,ACME,2024-02-15,2024-03-08,2024-03-06,72263,1
264,Umbrella  Ltd.,2024-03-20,2024-04-07,2024-04-06,39640,1
265,Globex,2024-10-09,2024-11-10,2024-11-24,85747,0
266,Initech,2024-08-10,2024-08-30,2024-08-27,80222,1
267,INITECH,2024-05-30,2024-06-19,2024-06-16,73085,1
268,GLOBEX,2024-09-25,2024-10-02,2024-10-02,70465,1
269,Globex  Ltd.,2024-01-11,2024-01-28,2024-01-23,62044,1
270,STARK,2024-03-02,2024-04-01,2024-03-29,31716,1
271,Stark Limited,2024-06-23,2024-07-29,2024-07-29,40974,1
272,Initech Ltd,2024-01-14,2024-02-05,2024-02-04,27008,1
273,Acme,2024-01-26,2024-02-17,2024-03-02,31526,0
274,Initech,2024-08-01,2024-08-18,2024-08-13,54788,1
275,Soylent Ltd,2024-05-20,2024-05-18,2024-05-14,46315,1
276,Initech Limited,2024-07-31,2024-09-01,2024-08-30,65088,1
277,Acme  Ltd.,2024-10-10,2024-11-24,2024-11-23,40280,1
278,Globex  Ltd.,2024-05-17,2024-06-12,2024-06-23,65603,0
279,Acme  Ltd.,2024-09-03,2024-09-17,2024-09-12,22690,1
280,Acme,2024-05-11,2024-06-13,2024-06-09,44156,1
281,GLOBEX,2024-05-19,2024-07-01,2024-07-13,42500,0
282,INITECH,2024-05-29,2024-06-28,2024-06-26,5348,1
283,Umbrella Limited,2024-02-09,2024-03-13,2024-03-10,72542,1
284,Soylent Limited,2024-03-19,2024-03-30,2024-03-25,37074,1
285,Initech Limited,2024-03-17,2024-04-15,2024-04-28,59862,0
286,UMBRELLA,2024-10-03,2024-10-12,2024-10-07,2868,1
287,Umbrella Limited,2024-03-15,2024-03-22,2024-03-22,65566,1
288,Globex  Ltd.,2024-01-16,2024-02-24,2024-02-23,39745,1
289,Umbrella Ltd,2024-04-05,2024-04-20,2024-04-18,46665,1
290,Soylent,2024-05-13,2024-06-22,2024-07-01,71547,0
291,SOYLENT,2024-03-21,2024-04-28,2024-04-28,85417,1
292,Initech Limited,2024-09-25,2024-10-13,2024-10-12,38283,1
293,Globex Ltd,2024-04-11,2024-04-30,2024-04-29,81670,1
294,Acme,2024-01-05,2024-02-01,2024-01-30,35978,1
295,Globex,2024-10-23,2024-12-02,2024-12-01,71709,1
296,Globex Limited,2024-01-21,2024-02-24,2024-02-21,9013,1
297,Soylent  Ltd.,2024-08-04,2024-09-01,2024-09-01,10097,1
298,Soylent Limited,2024-08-17,2024-09-04,2024-09-03,68969,1
299,Acme Limited,2024-09-28,2024-10-10,2024-10-06,88521,1
300,SOYLENT,2024-01-20,2024-02-26,2024-02-26,7970,1
301,STARK,2024-06-18,2024-07-18,2024-07-13,70131,1
302,Acme,2024-01-09,2024-01-16,2024-01-15,65033,1
303,Initech  Ltd.,2024-03-05,2024-04-07,2024-04-07,55890,1
304,Soylent Limited,2024-06-23,2024-08-06,2024-08-04,81403,1
305,Globex,2024-07-20,2024-08-11,2024-08-06,87414,1
306,Initech Ltd,2024-04-16,2024-04-29,2024-04-26,87900,1
307,INITECH,2024-09-08,2024-10-12,2024-10-14,18314,0
308,Soylent Ltd,2024-05-30,2024-06-19,2024-06-16,86767,1
309,Soylent Ltd,2024-06-14,2024-07-28,2024-07-25,12048,1
310,Acme,2024-05-26,2024-07-07,2024-07-04,12506,1
311,Globex,2024-04-21,2024-04-12,2024-04-25,65957,0
312,STARK,2024-06-23,2024-08-04,2024-08-16,69640,0
313,Initech Limited,2024-05-22,2024-06-09,2024-06-09,72800,1
314,Stark Ltd,2024-10-17,2024-11-17,2024-11-13,29682,1
315,Acme,2024-08-21,2024-09-30,2024-09-30,7833,1
316,Initech,2024-01-13,2024-02-07,2024-02-02,54726,1
317,Umbrella,2024-03-17,2024-03-27,2024-03-27,2847,1
318,Initech,2024-08-23,2024-08-30,2024-08-31,18766,0
319,Stark,2024-10-14,2024-11-02,2024-10-31,16658,1
320,Stark  Ltd.,2024-07-30,2024-08-18,2024-08-18,84312,1
321,Umbrella Limited,2024-08-14,2024-08-22,2024-09-05,42086,0
322,Initech Ltd,2024-05-03,2024-05-23,2024-05-21,14356,1
323,Soylent,2024-09-24,2024-10-08,2024-10-20,44415,0
324,Globex Ltd,2024-02-26,2024-03-11,2024-03-06,5846,1
325,Umbrella Limited,2024-06-19,2024-07-18,2024-07-13,78870,1
326,Soylent,2024-06-12,2024-07-04,2024-07-04,1649,1
327,Initech Limited,2024-05-27,2024-06-06,2024-06-06,50078,1
328,Globex  Ltd.,2024-08-18,2024-09-04,2024-09-02,76523,1
329,Soylent Limited,2024-05-10,2024-05-17,2024-05-16,8544,1
330,Soylent Limited,2024-06-03,2024-06-17,2024-06-12,17583,1
331,Globex Ltd,2024-09-02,2024-09-25,2024-10-07,89116,0
332,Acme Ltd,2024-04-12,2024-05-27,2024-05-25,68275,1
333,Stark,2024-03-11,2024-04-02,2024-03-31,1949,1
334,Umbrella Limited,2024-03-29,2024-04-09,2024-04-04,61339,1
335,Acme Limited,2024-01-19,2024-02-12,2024-02-09,44987,1
336,Soylent,2024-05-17,2024-05-28,2024-05-26,73281,1
337,Initech  Ltd.,2024-10-23,2024-11-27,2024-11-25,57917,1
338,Stark Ltd,2024-06-02,2024-07-12,2024-07-16,4839,0
339,Acme Limited,2024-06-21,2024-07-10,2024-07-19,76646,0
340,GLOBEX,2024-03-31,2024-03-26,2024-03-23,88091,1
341,GLOBEX,2024-07-29,2024-08-16,2024-08-17,36735,0
342,Acme Limited,2024-05-08,2024-06-21,2024-06-30,21278,0
343,SOYLENT,2024-09-30,2024-11-11,2024-11-06,63697,1
344,Globex  Ltd.,2024-05-18,2024-06-14,2024-06-22,5400,0
345,Acme,2024-10-07,2024-11-12,2024-11-11,83559,1
346,UMBRELLA,2024-03-03,2024-03-20,2024-03-17,81034,1
347,Stark Limited,2024-10-23,2024-12-04,2024-12-01,3390,1
348,Acme,2024-09-20,2024-10-30,2024-11-16,45516,0
349,Globex Ltd,2024-09-08,2024-09-20,2024-09-16,26820,1
350,Initech Limited,2024-09-20,2024-09-30,2024-09-26,85038,1
351,Soylent,2024-02-05,2024-03-18,2024-04-06,33123,0
352,Umbrella  Ltd.,2024-02-13,2024-02-26,2024-02-24,64235,1
353,Globex  Ltd.,2024-07-14,2024-08-11,2024-08-24,30320,0
354,Soylent Limited,2024-05-13,2024-06-09,2024-06-04,68786,1
355,UMBRELLA,2024-08-05,2024-08-18,2024-09-07,71270,0
356,Acme,2024-07-26,2024-09-09,2024-09-05,53002,1
357,Stark Limited,2024-05-14,2024-06-23,2024-06-22,80261,1
358,Umbrella Limited,2024-03-15,2024-04-26,2024-04-24,24423,1
359,Umbrella  Ltd.,2024-01-10,2024-02-11,2024-02-06,37608,1
360,ACME,2024-03-21,2024-03-30,2024-03-26,49412,1
361,Stark Ltd,2024-02-07,2024-03-11,2024-03-10,74743,1
362,Umbrella,2024-10-16,2024-11-25,2024-11-23,79744,1
363,INITECH,2024-02-02,2024-02-13,2024-02-13,32310,1
364,INITECH,2024-10-15,2024-11-05,2024-11-04,47706,1
365,UMBRELLA,2024-05-04,2024-05-26,2024-06-14,2762,0
366,Acme Ltd,2024-06-23,2024-07-12,2024-07-10,50688,1
367,Initech Limited,2024-09-09,2024-09-20,2024-09-17,67451,1
368,STARK,2024-02-23,2024-03-09,2024-03-04,88276,1
369,ACME,2024-09-16,2024-09-30,2024-09-30,33719,1
370,Stark,2024-05-08,2024-05-31,2024-05-27,67846,1
371,Stark Ltd,2024-10-12,2024-11-23,2024-11-23,66999,1
372,Umbrella,2024-07-17,2024-07-29,2024-07-29,78660,1
373,Acme Ltd,2024-09-16,2024-10-30,2024-11-04,69905,0
374,Acme  Ltd.,2024-02-17,2024-03-17,2024-03-17,39457,1
375,Umbrella Limited,2024-10-23,2024-11-20,2024-11-15,45825,1
376,Acme  Ltd.,2024-05-23,2024-07-05,2024-07-03,62047,1
377,Acme Limited,2024-07-05,2024-07-28,2024-07-27,15015,1
378,SOYLENT,2024-08-13,2024-09-08,2024-09-05,9406,1
379,Globex Ltd,2024-04-06,2024-05-17,2024-05-14,20196,1
380,STARK,2024-01-06,2024-02-09,2024-02-07,38272,1
381,Globex,2024-02-23,2024-04-08,2024-04-11,42642,0
382,Umbrella  Ltd.,2024-06-04,2024-06-16,2024-06-13,67732,1
383,Stark Ltd,2024-02-17,2024-03-13,2024-03-09,7779,1
384,Umbrella Ltd,2024-01-03,2024-02-08,2024-02-08,53321,1
385,GLOBEX,2024-04-30,2024-06-11,2024-06-08,59276,1
386,Stark Limited,2024-01-28,2024-03-03,2024-03-01,82116,1
387,Soylent Limited,2024-06-09,2024-07-12,2024-07-11,27638,1
388,Globex  Ltd.,2024-05-31,2024-07-04,2024-07-21,20325,0
389,Acme  Ltd.,2024-10-24,2024-11-05,2024-11-02,62304,1
390,UMBRELLA,2024-05-12,2024-06-17,2024-06-12,55890,1
391,Globex Ltd,2024-04-02,2024-05-03,2024-04-29,10735,1
392,Acme Limited,2024-09-20,2024-10-14,2024-10-10,77568,1
393,Umbrella Limited,2024-05-18,2024-06-12,2024-06-10,50515,1
394,Umbrella Limited,2024-09-16,2024-10-29,2024-10-29,38535,1
395,STARK,2024-02-18,2024-03-03,2024-03-02,68435,1
396,GLOBEX,2024-09-09,2024-09-18,2024-09-14,51478,1
